speaker,segfile
a960625_m_us_001,files/segments/a960625__turn0_seg0.npy
bill_clinton,files/segments/a960625__turn1_seg0.npy
bill_clinton,files/segments/a960625__turn1_seg1.npy
bill_clinton,files/segments/a960625__turn1_seg2.npy
ted_koppel,files/segments/a960625__turn2_seg0.npy
ted_koppel,files/segments/a960625__turn2_seg1.npy
ted_koppel,files/segments/a960625__turn2_seg2.npy
bill_clinton,files/segments/a960625__turn3_seg0.npy
bill_clinton,files/segments/a960625__turn3_seg1.npy
bill_clinton,files/segments/a960625__turn3_seg2.npy
bill_clinton,files/segments/a960625__turn3_seg3.npy
ted_koppel,files/segments/a960625__turn4_seg0.npy
ted_koppel,files/segments/a960625__turn4_seg1.npy
william_perry,files/segments/a960625__turn5_seg0.npy
william_perry,files/segments/a960625__turn5_seg1.npy
william_perry,files/segments/a960625__turn5_seg2.npy
ted_koppel,files/segments/a960625__turn6_seg0.npy
ted_koppel,files/segments/a960625__turn6_seg1.npy
a960625_m_us_001,files/segments/a960625__turn7_seg0.npy
a960625_m_us_001,files/segments/a960625__turn7_seg1.npy
a960625_m_us_001,files/segments/a960625__turn7_seg2.npy
ted_koppel,files/segments/a960625__turn8_seg0.npy
ted_koppel,files/segments/a960625__turn8_seg1.npy
ted_koppel,files/segments/a960625__turn8_seg2.npy
ted_koppel,files/segments/a960625__turn8_seg3.npy
ted_koppel,files/segments/a960625__turn8_seg4.npy
ted_koppel,files/segments/a960625__turn8_seg5.npy
ted_koppel,files/segments/a960625__turn8_seg6.npy
ted_koppel,files/segments/a960625__turn8_seg7.npy
ted_koppel,files/segments/a960625__turn8_seg8.npy
ted_koppel,files/segments/a960625__turn8_seg9.npy
ted_koppel,files/segments/a960625__turn8_seg10.npy
ted_koppel,files/segments/a960625__turn8_seg11.npy
ted_koppel,files/segments/a960625__turn8_seg12.npy
ted_koppel,files/segments/a960625__turn8_seg13.npy
ted_koppel,files/segments/a960625__turn8_seg14.npy
ted_koppel,files/segments/a960625__turn8_seg15.npy
ted_koppel,files/segments/a960625__turn8_seg16.npy
ted_koppel,files/segments/a960625__turn8_seg17.npy
ted_koppel,files/segments/a960625__turn8_seg18.npy
ted_koppel,files/segments/a960625__turn8_seg19.npy
ted_koppel,files/segments/a960625__turn8_seg20.npy
ted_koppel,files/segments/a960625__turn8_seg21.npy
ted_koppel,files/segments/a960625__turn8_seg22.npy
ted_koppel,files/segments/a960625__turn8_seg23.npy
ted_koppel,files/segments/a960625__turn8_seg24.npy
ted_koppel,files/segments/a960625__turn8_seg25.npy
ted_koppel,files/segments/a960625__turn8_seg26.npy
ted_koppel,files/segments/a960625__turn8_seg27.npy
ted_koppel,files/segments/a960625__turn8_seg28.npy
ted_koppel,files/segments/a960625__turn8_seg29.npy
ted_koppel,files/segments/a960625__turn8_seg30.npy
ted_koppel,files/segments/a960625__turn8_seg31.npy
ted_koppel,files/segments/a960625__turn8_seg32.npy
ted_koppel,files/segments/a960625__turn8_seg33.npy
ted_koppel,files/segments/a960625__turn8_seg34.npy
ted_koppel,files/segments/a960625__turn8_seg35.npy
ted_koppel,files/segments/a960625__turn8_seg36.npy
ted_koppel,files/segments/a960625__turn8_seg37.npy
ted_koppel,files/segments/a960625__turn8_seg38.npy
david_ensor,files/segments/a960625__turn10_seg0.npy
david_ensor,files/segments/a960625__turn10_seg1.npy
david_ensor,files/segments/a960625__turn11_seg0.npy
david_ensor,files/segments/a960625__turn11_seg1.npy
david_ensor,files/segments/a960625__turn11_seg2.npy
david_ensor,files/segments/a960625__turn11_seg3.npy
david_ensor,files/segments/a960625__turn11_seg4.npy
david_ensor,files/segments/a960625__turn11_seg5.npy
david_ensor,files/segments/a960625__turn11_seg6.npy
david_ensor,files/segments/a960625__turn11_seg7.npy
david_ensor,files/segments/a960625__turn11_seg8.npy
david_ensor,files/segments/a960625__turn11_seg9.npy
david_ensor,files/segments/a960625__turn11_seg10.npy
david_ensor,files/segments/a960625__turn11_seg11.npy
david_ensor,files/segments/a960625__turn11_seg12.npy
david_ensor,files/segments/a960625__turn11_seg13.npy
david_ensor,files/segments/a960625__turn11_seg14.npy
david_ensor,files/segments/a960625__turn11_seg15.npy
david_ensor,files/segments/a960625__turn11_seg16.npy
david_ensor,files/segments/a960625__turn11_seg17.npy
david_ensor,files/segments/a960625__turn11_seg18.npy
david_ensor,files/segments/a960625__turn11_seg19.npy
david_ensor,files/segments/a960625__turn11_seg20.npy
david_ensor,files/segments/a960625__turn11_seg21.npy
david_ensor,files/segments/a960625__turn11_seg22.npy
david_ensor,files/segments/a960625__turn11_seg23.npy
david_ensor,files/segments/a960625__turn11_seg24.npy
david_ensor,files/segments/a960625__turn11_seg25.npy
william_perry,files/segments/a960625__turn12_seg0.npy
william_perry,files/segments/a960625__turn12_seg1.npy
william_perry,files/segments/a960625__turn12_seg2.npy
william_perry,files/segments/a960625__turn12_seg3.npy
william_perry,files/segments/a960625__turn12_seg4.npy
william_perry,files/segments/a960625__turn12_seg5.npy
william_perry,files/segments/a960625__turn12_seg6.npy
david_ensor,files/segments/a960625__turn13_seg0.npy
david_ensor,files/segments/a960625__turn13_seg1.npy
david_ensor,files/segments/a960625__turn13_seg2.npy
david_ensor,files/segments/a960625__turn13_seg3.npy
david_ensor,files/segments/a960625__turn13_seg4.npy
david_ensor,files/segments/a960625__turn13_seg5.npy
david_ensor,files/segments/a960625__turn13_seg6.npy
david_ensor,files/segments/a960625__turn13_seg7.npy
david_ensor,files/segments/a960625__turn13_seg8.npy
david_ensor,files/segments/a960625__turn13_seg9.npy
david_ensor,files/segments/a960625__turn13_seg10.npy
david_ensor,files/segments/a960625__turn13_seg11.npy
david_ensor,files/segments/a960625__turn13_seg12.npy
david_ensor,files/segments/a960625__turn13_seg13.npy
david_ensor,files/segments/a960625__turn13_seg14.npy
david_ensor,files/segments/a960625__turn13_seg15.npy
david_ensor,files/segments/a960625__turn13_seg16.npy
david_ensor,files/segments/a960625__turn13_seg17.npy
ted_koppel,files/segments/a960625__turn14_seg0.npy
ted_koppel,files/segments/a960625__turn14_seg1.npy
ted_koppel,files/segments/a960625__turn14_seg2.npy
ted_koppel,files/segments/a960625__turn14_seg3.npy
david_baldwin,files/segments/a960625__turn15_seg0.npy
david_baldwin,files/segments/a960625__turn15_seg1.npy
david_baldwin,files/segments/a960625__turn15_seg2.npy
david_baldwin,files/segments/a960625__turn15_seg3.npy
david_baldwin,files/segments/a960625__turn15_seg4.npy
david_baldwin,files/segments/a960625__turn15_seg5.npy
david_baldwin,files/segments/a960625__turn15_seg6.npy
ted_koppel,files/segments/a960625__turn16_seg0.npy
ted_koppel,files/segments/a960625__turn16_seg1.npy
ted_koppel,files/segments/a960625__turn16_seg2.npy
david_baldwin,files/segments/a960625__turn17_seg0.npy
david_baldwin,files/segments/a960625__turn17_seg1.npy
david_baldwin,files/segments/a960625__turn17_seg2.npy
david_baldwin,files/segments/a960625__turn17_seg3.npy
ted_koppel,files/segments/a960625__turn20_seg0.npy
ted_koppel,files/segments/a960625__turn20_seg1.npy
david_baldwin,files/segments/a960625__turn21_seg0.npy
david_baldwin,files/segments/a960625__turn21_seg1.npy
david_baldwin,files/segments/a960625__turn21_seg2.npy
david_baldwin,files/segments/a960625__turn21_seg3.npy
david_baldwin,files/segments/a960625__turn21_seg4.npy
david_baldwin,files/segments/a960625__turn21_seg5.npy
david_baldwin,files/segments/a960625__turn21_seg6.npy
david_baldwin,files/segments/a960625__turn21_seg7.npy
david_baldwin,files/segments/a960625__turn21_seg8.npy
david_baldwin,files/segments/a960625__turn21_seg9.npy
david_baldwin,files/segments/a960625__turn21_seg10.npy
david_baldwin,files/segments/a960625__turn21_seg11.npy
ted_koppel,files/segments/a960625__turn22_seg0.npy
ted_koppel,files/segments/a960625__turn22_seg1.npy
ted_koppel,files/segments/a960625__turn22_seg2.npy
david_baldwin,files/segments/a960625__turn23_seg0.npy
david_baldwin,files/segments/a960625__turn23_seg1.npy
david_baldwin,files/segments/a960625__turn23_seg2.npy
david_baldwin,files/segments/a960625__turn23_seg3.npy
david_baldwin,files/segments/a960625__turn23_seg4.npy
david_baldwin,files/segments/a960625__turn23_seg5.npy
david_baldwin,files/segments/a960625__turn23_seg6.npy
david_baldwin,files/segments/a960625__turn23_seg7.npy
ted_koppel,files/segments/a960625__turn24_seg0.npy
ted_koppel,files/segments/a960625__turn24_seg1.npy
ted_koppel,files/segments/a960625__turn24_seg2.npy
ted_koppel,files/segments/a960625__turn24_seg3.npy
ted_koppel,files/segments/a960625__turn24_seg4.npy
ted_koppel,files/segments/a960625__turn24_seg5.npy
ted_koppel,files/segments/a960625__turn24_seg6.npy
ted_koppel,files/segments/a960625__turn26_seg0.npy
ted_koppel,files/segments/a960625__turn26_seg1.npy
david_baldwin,files/segments/a960625__turn27_seg0.npy
david_baldwin,files/segments/a960625__turn27_seg1.npy
david_baldwin,files/segments/a960625__turn27_seg2.npy
david_baldwin,files/segments/a960625__turn27_seg3.npy
david_baldwin,files/segments/a960625__turn27_seg4.npy
david_baldwin,files/segments/a960625__turn27_seg5.npy
david_baldwin,files/segments/a960625__turn27_seg6.npy
ted_koppel,files/segments/a960625__turn28_seg0.npy
ted_koppel,files/segments/a960625__turn28_seg1.npy
ted_koppel,files/segments/a960625__turn28_seg2.npy
ted_koppel,files/segments/a960625__turn28_seg3.npy
britt_hume,files/segments/a960625__turn29_seg0.npy
britt_hume,files/segments/a960625__turn29_seg1.npy
britt_hume,files/segments/a960625__turn29_seg2.npy
britt_hume,files/segments/a960625__turn29_seg3.npy
britt_hume,files/segments/a960625__turn29_seg4.npy
britt_hume,files/segments/a960625__turn29_seg5.npy
britt_hume,files/segments/a960625__turn29_seg6.npy
britt_hume,files/segments/a960625__turn29_seg7.npy
britt_hume,files/segments/a960625__turn29_seg8.npy
bill_clinton,files/segments/a960625__turn30_seg0.npy
bill_clinton,files/segments/a960625__turn30_seg1.npy
bill_clinton,files/segments/a960625__turn31_seg0.npy
bill_clinton,files/segments/a960625__turn31_seg1.npy
bill_clinton,files/segments/a960625__turn31_seg2.npy
bill_clinton,files/segments/a960625__turn31_seg3.npy
bill_clinton,files/segments/a960625__turn31_seg4.npy
bill_clinton,files/segments/a960625__turn31_seg5.npy
bill_clinton,files/segments/a960625__turn31_seg6.npy
bill_clinton,files/segments/a960625__turn31_seg7.npy
bill_clinton,files/segments/a960625__turn31_seg8.npy
bill_clinton,files/segments/a960625__turn31_seg9.npy
bill_clinton,files/segments/a960625__turn31_seg10.npy
bill_clinton,files/segments/a960625__turn31_seg11.npy
britt_hume,files/segments/a960625__turn33_seg0.npy
britt_hume,files/segments/a960625__turn33_seg1.npy
britt_hume,files/segments/a960625__turn33_seg2.npy
britt_hume,files/segments/a960625__turn33_seg3.npy
britt_hume,files/segments/a960625__turn33_seg4.npy
britt_hume,files/segments/a960625__turn33_seg5.npy
britt_hume,files/segments/a960625__turn33_seg6.npy
britt_hume,files/segments/a960625__turn33_seg7.npy
britt_hume,files/segments/a960625__turn33_seg8.npy
britt_hume,files/segments/a960625__turn33_seg9.npy
britt_hume,files/segments/a960625__turn33_seg10.npy
britt_hume,files/segments/a960625__turn33_seg11.npy
britt_hume,files/segments/a960625__turn33_seg12.npy
britt_hume,files/segments/a960625__turn33_seg13.npy
britt_hume,files/segments/a960625__turn33_seg14.npy
britt_hume,files/segments/a960625__turn33_seg15.npy
britt_hume,files/segments/a960625__turn33_seg16.npy
britt_hume,files/segments/a960625__turn33_seg17.npy
britt_hume,files/segments/a960625__turn33_seg18.npy
britt_hume,files/segments/a960625__turn33_seg19.npy
ted_koppel,files/segments/a960625__turn34_seg0.npy
ted_koppel,files/segments/a960625__turn34_seg1.npy
ted_koppel,files/segments/a960625__turn34_seg2.npy
ted_koppel,files/segments/a960625__turn34_seg3.npy
britt_hume,files/segments/a960625__turn35_seg0.npy
britt_hume,files/segments/a960625__turn35_seg1.npy
britt_hume,files/segments/a960625__turn35_seg2.npy
britt_hume,files/segments/a960625__turn35_seg3.npy
britt_hume,files/segments/a960625__turn35_seg4.npy
britt_hume,files/segments/a960625__turn35_seg5.npy
britt_hume,files/segments/a960625__turn35_seg6.npy
britt_hume,files/segments/a960625__turn35_seg7.npy
britt_hume,files/segments/a960625__turn35_seg8.npy
britt_hume,files/segments/a960625__turn35_seg9.npy
britt_hume,files/segments/a960625__turn35_seg10.npy
britt_hume,files/segments/a960625__turn35_seg11.npy
britt_hume,files/segments/a960625__turn35_seg12.npy
britt_hume,files/segments/a960625__turn35_seg13.npy
ted_koppel,files/segments/a960625__turn37_seg0.npy
ted_koppel,files/segments/a960625__turn37_seg1.npy
ted_koppel,files/segments/a960625__turn37_seg2.npy
ted_koppel,files/segments/a960625__turn37_seg3.npy
a960625_m_us_002,files/segments/a960625__turn38_seg0.npy
a960625_m_us_002,files/segments/a960625__turn38_seg1.npy
a960625_m_us_002,files/segments/a960625__turn38_seg2.npy
ted_koppel,files/segments/a960625__turn39_seg0.npy
ted_koppel,files/segments/a960625__turn39_seg1.npy
ted_koppel,files/segments/a960625__turn39_seg2.npy
ted_koppel,files/segments/a960625__turn39_seg3.npy
ted_koppel,files/segments/a960625__turn39_seg4.npy
ted_koppel,files/segments/a960625__turn39_seg5.npy
ted_koppel,files/segments/a960625__turn39_seg6.npy
ted_koppel,files/segments/a960625__turn39_seg7.npy
ted_koppel,files/segments/a960625__turn39_seg8.npy
ted_koppel,files/segments/a960625__turn39_seg9.npy
ted_koppel,files/segments/a960625__turn39_seg10.npy
ted_koppel,files/segments/a960625__turn39_seg11.npy
phil_wilcox,files/segments/a960625__turn40_seg0.npy
phil_wilcox,files/segments/a960625__turn40_seg1.npy
phil_wilcox,files/segments/a960625__turn40_seg2.npy
