speaker,segfile
mark_mullen,files/segments/b960612__turn0_seg0.npy
mark_mullen,files/segments/b960612__turn0_seg1.npy
mark_mullen,files/segments/b960612__turn0_seg2.npy
mark_mullen,files/segments/b960612__turn0_seg3.npy
mark_mullen,files/segments/b960612__turn0_seg4.npy
mark_mullen,files/segments/b960612__turn0_seg5.npy
mark_mullen,files/segments/b960612__turn0_seg6.npy
mark_mullen,files/segments/b960612__turn0_seg7.npy
mark_mullen,files/segments/b960612__turn0_seg8.npy
mark_mullen,files/segments/b960612__turn0_seg9.npy
mark_mullen,files/segments/b960612__turn0_seg10.npy
mark_mullen,files/segments/b960612__turn0_seg11.npy
mark_mullen,files/segments/b960612__turn0_seg12.npy
mark_mullen,files/segments/b960612__turn0_seg13.npy
mark_mullen,files/segments/b960612__turn0_seg14.npy
mark_mullen,files/segments/b960612__turn0_seg15.npy
mark_mullen,files/segments/b960612__turn0_seg16.npy
mark_mullen,files/segments/b960612__turn0_seg17.npy
mark_mullen,files/segments/b960612__turn0_seg18.npy
mark_mullen,files/segments/b960612__turn0_seg19.npy
mark_mullen,files/segments/b960612__turn0_seg20.npy
bob_brown,files/segments/b960612__turn1_seg0.npy
bob_brown,files/segments/b960612__turn1_seg1.npy
bob_brown,files/segments/b960612__turn1_seg2.npy
bob_brown,files/segments/b960612__turn1_seg3.npy
bob_brown,files/segments/b960612__turn1_seg4.npy
bob_brown,files/segments/b960612__turn1_seg5.npy
bob_brown,files/segments/b960612__turn1_seg6.npy
bob_brown,files/segments/b960612__turn1_seg7.npy
bob_brown,files/segments/b960612__turn1_seg8.npy
bob_brown,files/segments/b960612__turn1_seg9.npy
bob_brown,files/segments/b960612__turn1_seg10.npy
bob_brown,files/segments/b960612__turn1_seg11.npy
bob_brown,files/segments/b960612__turn1_seg12.npy
bob_brown,files/segments/b960612__turn1_seg13.npy
bob_brown,files/segments/b960612__turn1_seg14.npy
bob_brown,files/segments/b960612__turn1_seg15.npy
bob_brown,files/segments/b960612__turn1_seg16.npy
bob_brown,files/segments/b960612__turn1_seg17.npy
bob_brown,files/segments/b960612__turn1_seg18.npy
bob_brown,files/segments/b960612__turn1_seg19.npy
bob_brown,files/segments/b960612__turn1_seg20.npy
bob_brown,files/segments/b960612__turn1_seg21.npy
bob_brown,files/segments/b960612__turn1_seg22.npy
bob_brown,files/segments/b960612__turn1_seg23.npy
bob_brown,files/segments/b960612__turn1_seg24.npy
bob_brown,files/segments/b960612__turn1_seg25.npy
bob_brown,files/segments/b960612__turn1_seg26.npy
bob_brown,files/segments/b960612__turn1_seg27.npy
bob_brown,files/segments/b960612__turn1_seg28.npy
bob_brown,files/segments/b960612__turn1_seg29.npy
bob_brown,files/segments/b960612__turn1_seg30.npy
bob_brown,files/segments/b960612__turn1_seg31.npy
bob_brown,files/segments/b960612__turn1_seg32.npy
bob_brown,files/segments/b960612__turn1_seg33.npy
bob_brown,files/segments/b960612__turn1_seg34.npy
bob_brown,files/segments/b960612__turn1_seg35.npy
bob_brown,files/segments/b960612__turn1_seg36.npy
bob_brown,files/segments/b960612__turn1_seg37.npy
bob_brown,files/segments/b960612__turn1_seg38.npy
bob_brown,files/segments/b960612__turn1_seg39.npy
scott_allen,files/segments/b960612__turn2_seg0.npy
scott_allen,files/segments/b960612__turn2_seg1.npy
scott_allen,files/segments/b960612__turn2_seg2.npy
scott_allen,files/segments/b960612__turn2_seg3.npy
bob_brown,files/segments/b960612__turn4_seg0.npy
bob_brown,files/segments/b960612__turn4_seg1.npy
bob_brown,files/segments/b960612__turn4_seg2.npy
jimmy_allen,files/segments/b960612__turn5_seg0.npy
jimmy_allen,files/segments/b960612__turn5_seg1.npy
jimmy_allen,files/segments/b960612__turn5_seg2.npy
jimmy_allen,files/segments/b960612__turn6_seg0.npy
jimmy_allen,files/segments/b960612__turn6_seg1.npy
jimmy_allen,files/segments/b960612__turn6_seg2.npy
jimmy_allen,files/segments/b960612__turn6_seg3.npy
jimmy_allen,files/segments/b960612__turn6_seg4.npy
jimmy_allen,files/segments/b960612__turn6_seg5.npy
