speaker,segfile
thalia_assuras,files/segments/b960619c_turn1_seg0.npy
thalia_assuras,files/segments/b960619c_turn1_seg1.npy
thalia_assuras,files/segments/b960619c_turn1_seg2.npy
thalia_assuras,files/segments/b960619c_turn1_seg3.npy
thalia_assuras,files/segments/b960619c_turn1_seg4.npy
thalia_assuras,files/segments/b960619c_turn1_seg5.npy
thalia_assuras,files/segments/b960619c_turn1_seg6.npy
thalia_assuras,files/segments/b960619c_turn1_seg7.npy
thalia_assuras,files/segments/b960619c_turn1_seg8.npy
thalia_assuras,files/segments/b960619c_turn1_seg9.npy
thalia_assuras,files/segments/b960619c_turn1_seg10.npy
mark_mullen,files/segments/b960619c_turn2_seg0.npy
mark_mullen,files/segments/b960619c_turn2_seg1.npy
mark_mullen,files/segments/b960619c_turn2_seg2.npy
mark_mullen,files/segments/b960619c_turn2_seg3.npy
mark_mullen,files/segments/b960619c_turn2_seg4.npy
mark_mullen,files/segments/b960619c_turn2_seg5.npy
mark_mullen,files/segments/b960619c_turn2_seg6.npy
mark_mullen,files/segments/b960619c_turn2_seg7.npy
mark_mullen,files/segments/b960619c_turn2_seg8.npy
mark_mullen,files/segments/b960619c_turn2_seg9.npy
joe_klaas,files/segments/b960619c_turn3_seg0.npy
joe_klaas,files/segments/b960619c_turn3_seg1.npy
joe_klaas,files/segments/b960619c_turn3_seg2.npy
joe_klaas,files/segments/b960619c_turn3_seg3.npy
joe_klaas,files/segments/b960619c_turn3_seg4.npy
joe_klaas,files/segments/b960619c_turn3_seg5.npy
joe_klaas,files/segments/b960619c_turn3_seg6.npy
mark_mullen,files/segments/b960619c_turn4_seg0.npy
mark_mullen,files/segments/b960619c_turn4_seg1.npy
mark_mullen,files/segments/b960619c_turn4_seg2.npy
mark_mullen,files/segments/b960619c_turn4_seg3.npy
thalia_assuras,files/segments/b960619c_turn5_seg0.npy
thalia_assuras,files/segments/b960619c_turn5_seg1.npy
thalia_assuras,files/segments/b960619c_turn5_seg2.npy
thalia_assuras,files/segments/b960619c_turn5_seg3.npy
thalia_assuras,files/segments/b960619c_turn5_seg4.npy
thalia_assuras,files/segments/b960619c_turn5_seg5.npy
thalia_assuras,files/segments/b960619c_turn5_seg6.npy
mark_brender,files/segments/b960619c_turn6_seg0.npy
mark_brender,files/segments/b960619c_turn6_seg1.npy
mark_brender,files/segments/b960619c_turn6_seg2.npy
mark_brender,files/segments/b960619c_turn6_seg3.npy
mark_brender,files/segments/b960619c_turn6_seg4.npy
mark_brender,files/segments/b960619c_turn6_seg5.npy
mark_brender,files/segments/b960619c_turn6_seg6.npy
mark_brender,files/segments/b960619c_turn6_seg7.npy
mark_brender,files/segments/b960619c_turn6_seg8.npy
mark_brender,files/segments/b960619c_turn6_seg9.npy
mark_brender,files/segments/b960619c_turn6_seg10.npy
mark_brender,files/segments/b960619c_turn6_seg11.npy
mark_brender,files/segments/b960619c_turn6_seg12.npy
mark_brender,files/segments/b960619c_turn6_seg13.npy
mark_brender,files/segments/b960619c_turn6_seg14.npy
mark_brender,files/segments/b960619c_turn6_seg15.npy
mark_brender,files/segments/b960619c_turn6_seg16.npy
mark_brender,files/segments/b960619c_turn6_seg17.npy
mark_brender,files/segments/b960619c_turn6_seg18.npy
mark_brender,files/segments/b960619c_turn6_seg19.npy
mark_brender,files/segments/b960619c_turn6_seg20.npy
mark_brender,files/segments/b960619c_turn6_seg21.npy
mark_brender,files/segments/b960619c_turn6_seg22.npy
thalia_assuras,files/segments/b960619c_turn7_seg0.npy
thalia_assuras,files/segments/b960619c_turn7_seg1.npy
thalia_assuras,files/segments/b960619c_turn7_seg2.npy
thalia_assuras,files/segments/b960619c_turn7_seg3.npy
thalia_assuras,files/segments/b960619c_turn7_seg4.npy
thalia_assuras,files/segments/b960619c_turn7_seg5.npy
thalia_assuras,files/segments/b960619c_turn7_seg6.npy
thalia_assuras,files/segments/b960619c_turn7_seg7.npy
thalia_assuras,files/segments/b960619c_turn7_seg8.npy
mark_mullen,files/segments/b960619c_turn8_seg0.npy
mark_mullen,files/segments/b960619c_turn8_seg1.npy
mark_mullen,files/segments/b960619c_turn8_seg2.npy
mark_mullen,files/segments/b960619c_turn8_seg3.npy
mark_mullen,files/segments/b960619c_turn8_seg4.npy
mark_mullen,files/segments/b960619c_turn8_seg5.npy
mark_mullen,files/segments/b960619c_turn8_seg6.npy
mark_mullen,files/segments/b960619c_turn8_seg7.npy
mark_mullen,files/segments/b960619c_turn8_seg8.npy
mark_mullen,files/segments/b960619c_turn8_seg9.npy
mark_mullen,files/segments/b960619c_turn8_seg10.npy
mark_mullen,files/segments/b960619c_turn8_seg11.npy
mark_mullen,files/segments/b960619c_turn8_seg12.npy
mark_mullen,files/segments/b960619c_turn8_seg13.npy
mark_mullen,files/segments/b960619c_turn8_seg14.npy
mark_mullen,files/segments/b960619c_turn8_seg15.npy
mark_mullen,files/segments/b960619c_turn8_seg16.npy
mark_mullen,files/segments/b960619c_turn8_seg17.npy
jackie_judd,files/segments/b960619c_turn9_seg0.npy
jackie_judd,files/segments/b960619c_turn9_seg1.npy
jackie_judd,files/segments/b960619c_turn9_seg2.npy
jackie_judd,files/segments/b960619c_turn9_seg3.npy
orrin_hatch,files/segments/b960619c_turn10_seg0.npy
orrin_hatch,files/segments/b960619c_turn10_seg1.npy
richard_shelby,files/segments/b960619c_turn11_seg0.npy
richard_shelby,files/segments/b960619c_turn11_seg1.npy
jackie_judd,files/segments/b960619c_turn12_seg0.npy
jackie_judd,files/segments/b960619c_turn12_seg1.npy
jackie_judd,files/segments/b960619c_turn12_seg2.npy
jackie_judd,files/segments/b960619c_turn12_seg3.npy
jackie_judd,files/segments/b960619c_turn12_seg4.npy
jackie_judd,files/segments/b960619c_turn12_seg5.npy
jackie_judd,files/segments/b960619c_turn12_seg6.npy
jackie_judd,files/segments/b960619c_turn12_seg7.npy
jackie_judd,files/segments/b960619c_turn12_seg8.npy
jackie_judd,files/segments/b960619c_turn12_seg9.npy
jackie_judd,files/segments/b960619c_turn12_seg10.npy
jackie_judd,files/segments/b960619c_turn12_seg11.npy
jackie_judd,files/segments/b960619c_turn12_seg12.npy
alfonse_damato,files/segments/b960619c_turn13_seg0.npy
alfonse_damato,files/segments/b960619c_turn13_seg1.npy
alfonse_damato,files/segments/b960619c_turn13_seg2.npy
alfonse_damato,files/segments/b960619c_turn13_seg3.npy
alfonse_damato,files/segments/b960619c_turn13_seg4.npy
jackie_judd,files/segments/b960619c_turn14_seg0.npy
jackie_judd,files/segments/b960619c_turn14_seg1.npy
jackie_judd,files/segments/b960619c_turn14_seg2.npy
jackie_judd,files/segments/b960619c_turn14_seg3.npy
jackie_judd,files/segments/b960619c_turn14_seg4.npy
jackie_judd,files/segments/b960619c_turn14_seg5.npy
jackie_judd,files/segments/b960619c_turn14_seg6.npy
jackie_judd,files/segments/b960619c_turn14_seg7.npy
jackie_judd,files/segments/b960619c_turn14_seg8.npy
christopher_dodd,files/segments/b960619c_turn15_seg0.npy
christopher_dodd,files/segments/b960619c_turn15_seg1.npy
christopher_dodd,files/segments/b960619c_turn15_seg2.npy
christopher_dodd,files/segments/b960619c_turn15_seg3.npy
christopher_dodd,files/segments/b960619c_turn15_seg4.npy
christopher_dodd,files/segments/b960619c_turn15_seg5.npy
jackie_judd,files/segments/b960619c_turn16_seg0.npy
jackie_judd,files/segments/b960619c_turn16_seg1.npy
jackie_judd,files/segments/b960619c_turn16_seg2.npy
jackie_judd,files/segments/b960619c_turn16_seg3.npy
jackie_judd,files/segments/b960619c_turn16_seg4.npy
jackie_judd,files/segments/b960619c_turn16_seg5.npy
jackie_judd,files/segments/b960619c_turn16_seg6.npy
jackie_judd,files/segments/b960619c_turn16_seg7.npy
paul_sarbanes,files/segments/b960619c_turn17_seg0.npy
paul_sarbanes,files/segments/b960619c_turn17_seg1.npy
paul_sarbanes,files/segments/b960619c_turn17_seg2.npy
paul_sarbanes,files/segments/b960619c_turn17_seg3.npy
jackie_judd,files/segments/b960619c_turn18_seg0.npy
jackie_judd,files/segments/b960619c_turn18_seg1.npy
christopher_dodd,files/segments/b960619c_turn19_seg0.npy
christopher_dodd,files/segments/b960619c_turn19_seg1.npy
christopher_dodd,files/segments/b960619c_turn19_seg2.npy
jackie_judd,files/segments/b960619c_turn20_seg0.npy
jackie_judd,files/segments/b960619c_turn20_seg1.npy
jackie_judd,files/segments/b960619c_turn20_seg2.npy
jackie_judd,files/segments/b960619c_turn20_seg3.npy
jackie_judd,files/segments/b960619c_turn20_seg4.npy
jackie_judd,files/segments/b960619c_turn20_seg5.npy
jackie_judd,files/segments/b960619c_turn20_seg6.npy
thalia_assuras,files/segments/b960619c_turn21_seg0.npy
thalia_assuras,files/segments/b960619c_turn21_seg1.npy
