speaker,segfile
peter_jennings,files/segments/c960523__turn1_seg0.npy
peter_jennings,files/segments/c960523__turn1_seg1.npy
peter_jennings,files/segments/c960523__turn1_seg2.npy
peter_jennings,files/segments/c960523__turn1_seg3.npy
peter_jennings,files/segments/c960523__turn1_seg4.npy
peter_jennings,files/segments/c960523__turn1_seg5.npy
peter_jennings,files/segments/c960523__turn1_seg6.npy
peter_jennings,files/segments/c960523__turn1_seg7.npy
peter_jennings,files/segments/c960523__turn1_seg8.npy
peter_jennings,files/segments/c960523__turn1_seg9.npy
peter_jennings,files/segments/c960523__turn1_seg10.npy
peter_jennings,files/segments/c960523__turn1_seg11.npy
peter_jennings,files/segments/c960523__turn1_seg12.npy
peter_jennings,files/segments/c960523__turn1_seg13.npy
peter_jennings,files/segments/c960523__turn1_seg14.npy
peter_jennings,files/segments/c960523__turn1_seg15.npy
jackie_judd,files/segments/c960523__turn2_seg0.npy
jackie_judd,files/segments/c960523__turn2_seg1.npy
jackie_judd,files/segments/c960523__turn2_seg2.npy
jackie_judd,files/segments/c960523__turn2_seg3.npy
jackie_judd,files/segments/c960523__turn2_seg4.npy
jackie_judd,files/segments/c960523__turn2_seg5.npy
jackie_judd,files/segments/c960523__turn2_seg6.npy
jackie_judd,files/segments/c960523__turn2_seg7.npy
jackie_judd,files/segments/c960523__turn2_seg8.npy
bill_hoffmann,files/segments/c960523__turn3_seg0.npy
bill_hoffmann,files/segments/c960523__turn3_seg1.npy
bill_hoffmann,files/segments/c960523__turn3_seg2.npy
bill_hoffmann,files/segments/c960523__turn3_seg3.npy
jackie_judd,files/segments/c960523__turn4_seg0.npy
jackie_judd,files/segments/c960523__turn4_seg1.npy
jackie_judd,files/segments/c960523__turn4_seg2.npy
jackie_judd,files/segments/c960523__turn4_seg3.npy
jackie_judd,files/segments/c960523__turn4_seg4.npy
jackie_judd,files/segments/c960523__turn4_seg5.npy
jackie_judd,files/segments/c960523__turn4_seg6.npy
jackie_judd,files/segments/c960523__turn4_seg7.npy
jackie_judd,files/segments/c960523__turn4_seg8.npy
jackie_judd,files/segments/c960523__turn4_seg9.npy
john_coale,files/segments/c960523__turn5_seg0.npy
john_coale,files/segments/c960523__turn5_seg1.npy
john_coale,files/segments/c960523__turn5_seg2.npy
john_coale,files/segments/c960523__turn5_seg3.npy
jackie_judd,files/segments/c960523__turn6_seg0.npy
jackie_judd,files/segments/c960523__turn6_seg1.npy
jackie_judd,files/segments/c960523__turn6_seg2.npy
jackie_judd,files/segments/c960523__turn6_seg3.npy
jackie_judd,files/segments/c960523__turn6_seg4.npy
jackie_judd,files/segments/c960523__turn6_seg5.npy
jackie_judd,files/segments/c960523__turn6_seg6.npy
peter_jennings,files/segments/c960523__turn7_seg0.npy
peter_jennings,files/segments/c960523__turn7_seg1.npy
peter_jennings,files/segments/c960523__turn7_seg2.npy
peter_jennings,files/segments/c960523__turn7_seg3.npy
peter_jennings,files/segments/c960523__turn7_seg4.npy
peter_jennings,files/segments/c960523__turn7_seg5.npy
peter_jennings,files/segments/c960523__turn7_seg6.npy
peter_jennings,files/segments/c960523__turn7_seg7.npy
barry_serafin,files/segments/c960523__turn8_seg0.npy
barry_serafin,files/segments/c960523__turn8_seg1.npy
barry_serafin,files/segments/c960523__turn8_seg2.npy
barry_serafin,files/segments/c960523__turn8_seg3.npy
barry_serafin,files/segments/c960523__turn8_seg4.npy
barry_serafin,files/segments/c960523__turn8_seg5.npy
barry_serafin,files/segments/c960523__turn8_seg6.npy
barry_serafin,files/segments/c960523__turn8_seg7.npy
barry_serafin,files/segments/c960523__turn8_seg8.npy
barry_serafin,files/segments/c960523__turn8_seg9.npy
barry_serafin,files/segments/c960523__turn8_seg10.npy
barry_serafin,files/segments/c960523__turn8_seg11.npy
barry_serafin,files/segments/c960523__turn8_seg12.npy
barry_serafin,files/segments/c960523__turn8_seg13.npy
barry_serafin,files/segments/c960523__turn8_seg14.npy
barry_serafin,files/segments/c960523__turn8_seg15.npy
barry_serafin,files/segments/c960523__turn8_seg16.npy
barry_serafin,files/segments/c960523__turn8_seg17.npy
barry_serafin,files/segments/c960523__turn8_seg18.npy
barry_serafin,files/segments/c960523__turn8_seg19.npy
michael_ciresi,files/segments/c960523__turn9_seg0.npy
michael_ciresi,files/segments/c960523__turn9_seg1.npy
michael_ciresi,files/segments/c960523__turn9_seg2.npy
michael_ciresi,files/segments/c960523__turn9_seg3.npy
michael_ciresi,files/segments/c960523__turn9_seg4.npy
