speaker,segfile
andrea_arsenault,files/segments/d960515__turn0_seg0.npy
andrea_arsenault,files/segments/d960515__turn0_seg1.npy
andrea_arsenault,files/segments/d960515__turn0_seg2.npy
bill_hemmer,files/segments/d960515__turn1_seg0.npy
bill_hemmer,files/segments/d960515__turn2_seg0.npy
bill_hemmer,files/segments/d960515__turn2_seg1.npy
bill_hemmer,files/segments/d960515__turn2_seg2.npy
bill_hemmer,files/segments/d960515__turn2_seg3.npy
bill_hemmer,files/segments/d960515__turn2_seg4.npy
bill_hemmer,files/segments/d960515__turn2_seg5.npy
bill_hemmer,files/segments/d960515__turn2_seg6.npy
bill_hemmer,files/segments/d960515__turn2_seg7.npy
bill_hemmer,files/segments/d960515__turn2_seg8.npy
bill_hemmer,files/segments/d960515__turn2_seg9.npy
bill_hemmer,files/segments/d960515__turn2_seg10.npy
bill_hemmer,files/segments/d960515__turn2_seg11.npy
bill_hemmer,files/segments/d960515__turn2_seg12.npy
bill_hemmer,files/segments/d960515__turn2_seg13.npy
bill_hemmer,files/segments/d960515__turn2_seg14.npy
bill_hemmer,files/segments/d960515__turn2_seg15.npy
bill_hemmer,files/segments/d960515__turn2_seg16.npy
bill_hemmer,files/segments/d960515__turn2_seg17.npy
bill_hemmer,files/segments/d960515__turn2_seg18.npy
d960515_m_us_023,files/segments/d960515__turn3_seg0.npy
d960515_m_us_023,files/segments/d960515__turn3_seg1.npy
d960515_m_us_023,files/segments/d960515__turn3_seg2.npy
d960515_m_us_023,files/segments/d960515__turn3_seg3.npy
d960515_m_us_023,files/segments/d960515__turn3_seg4.npy
d960515_m_us_023,files/segments/d960515__turn3_seg5.npy
d960515_m_us_023,files/segments/d960515__turn3_seg6.npy
d960515_m_us_023,files/segments/d960515__turn3_seg7.npy
d960515_m_us_023,files/segments/d960515__turn3_seg8.npy
d960515_m_us_023,files/segments/d960515__turn3_seg9.npy
bill_hemmer,files/segments/d960515__turn4_seg0.npy
bill_hemmer,files/segments/d960515__turn4_seg1.npy
bill_hemmer,files/segments/d960515__turn4_seg2.npy
bill_hemmer,files/segments/d960515__turn4_seg3.npy
bill_hemmer,files/segments/d960515__turn4_seg4.npy
bill_hemmer,files/segments/d960515__turn4_seg5.npy
andrea_arsenault,files/segments/d960515__turn5_seg0.npy
andrea_arsenault,files/segments/d960515__turn5_seg1.npy
andrea_arsenault,files/segments/d960515__turn5_seg2.npy
andrea_arsenault,files/segments/d960515__turn5_seg3.npy
martin_savage,files/segments/d960515__turn8_seg0.npy
martin_savage,files/segments/d960515__turn8_seg1.npy
martin_savage,files/segments/d960515__turn8_seg2.npy
martin_savage,files/segments/d960515__turn8_seg3.npy
martin_savage,files/segments/d960515__turn8_seg4.npy
martin_savage,files/segments/d960515__turn8_seg5.npy
martin_savage,files/segments/d960515__turn8_seg6.npy
martin_savage,files/segments/d960515__turn8_seg7.npy
martin_savage,files/segments/d960515__turn8_seg8.npy
martin_savage,files/segments/d960515__turn8_seg9.npy
martin_savage,files/segments/d960515__turn8_seg10.npy
martin_savage,files/segments/d960515__turn8_seg11.npy
martin_savage,files/segments/d960515__turn8_seg12.npy
martin_savage,files/segments/d960515__turn8_seg13.npy
martin_savage,files/segments/d960515__turn8_seg14.npy
martin_savage,files/segments/d960515__turn8_seg15.npy
martin_savage,files/segments/d960515__turn8_seg16.npy
andrea_arsenault,files/segments/d960515__turn9_seg0.npy
andrea_arsenault,files/segments/d960515__turn9_seg1.npy
andrea_arsenault,files/segments/d960515__turn9_seg2.npy
andrea_arsenault,files/segments/d960515__turn9_seg3.npy
bill_hemmer,files/segments/d960515__turn10_seg0.npy
bill_hemmer,files/segments/d960515__turn10_seg1.npy
bill_hemmer,files/segments/d960515__turn10_seg2.npy
bill_hemmer,files/segments/d960515__turn10_seg3.npy
bill_hemmer,files/segments/d960515__turn10_seg4.npy
bill_hemmer,files/segments/d960515__turn10_seg5.npy
bill_hemmer,files/segments/d960515__turn10_seg6.npy
bill_hemmer,files/segments/d960515__turn10_seg7.npy
bill_hemmer,files/segments/d960515__turn10_seg8.npy
bill_hemmer,files/segments/d960515__turn10_seg9.npy
bill_hemmer,files/segments/d960515__turn10_seg10.npy
bill_hemmer,files/segments/d960515__turn10_seg11.npy
bill_hemmer,files/segments/d960515__turn10_seg12.npy
bill_hemmer,files/segments/d960515__turn10_seg13.npy
bill_hemmer,files/segments/d960515__turn10_seg14.npy
bill_hemmer,files/segments/d960515__turn10_seg15.npy
bill_hemmer,files/segments/d960515__turn10_seg16.npy
bill_hemmer,files/segments/d960515__turn10_seg17.npy
andrea_arsenault,files/segments/d960515__turn11_seg0.npy
andrea_arsenault,files/segments/d960515__turn11_seg1.npy
andrea_arsenault,files/segments/d960515__turn11_seg2.npy
andrea_arsenault,files/segments/d960515__turn11_seg3.npy
andrea_arsenault,files/segments/d960515__turn11_seg4.npy
andrea_arsenault,files/segments/d960515__turn11_seg5.npy
andrea_arsenault,files/segments/d960515__turn11_seg6.npy
andrea_arsenault,files/segments/d960515__turn11_seg7.npy
andrea_arsenault,files/segments/d960515__turn12_seg0.npy
andrea_arsenault,files/segments/d960515__turn12_seg1.npy
andrea_arsenault,files/segments/d960515__turn12_seg2.npy
andrea_arsenault,files/segments/d960515__turn12_seg3.npy
andrea_arsenault,files/segments/d960515__turn12_seg4.npy
andrea_arsenault,files/segments/d960515__turn13_seg0.npy
andrea_arsenault,files/segments/d960515__turn13_seg1.npy
andrea_arsenault,files/segments/d960515__turn13_seg2.npy
andrea_arsenault,files/segments/d960515__turn13_seg3.npy
andrea_arsenault,files/segments/d960515__turn13_seg4.npy
andrea_arsenault,files/segments/d960515__turn13_seg5.npy
andrea_arsenault,files/segments/d960515__turn13_seg6.npy
andrea_arsenault,files/segments/d960515__turn13_seg7.npy
andrea_arsenault,files/segments/d960515__turn13_seg8.npy
andrea_arsenault,files/segments/d960515__turn13_seg9.npy
andrea_arsenault,files/segments/d960515__turn13_seg10.npy
d960515_m_us_025,files/segments/d960515__turn14_seg0.npy
d960515_m_us_025,files/segments/d960515__turn14_seg1.npy
d960515_m_us_025,files/segments/d960515__turn14_seg2.npy
d960515_m_us_025,files/segments/d960515__turn14_seg3.npy
d960515_m_us_025,files/segments/d960515__turn14_seg4.npy
d960515_m_us_025,files/segments/d960515__turn14_seg5.npy
d960515_m_us_025,files/segments/d960515__turn14_seg6.npy
d960515_m_us_025,files/segments/d960515__turn14_seg7.npy
d960515_m_us_025,files/segments/d960515__turn14_seg8.npy
andrea_arsenault,files/segments/d960515__turn15_seg0.npy
andrea_arsenault,files/segments/d960515__turn15_seg1.npy
andrea_arsenault,files/segments/d960515__turn15_seg2.npy
bill_hemmer,files/segments/d960515__turn16_seg0.npy
bill_hemmer,files/segments/d960515__turn16_seg1.npy
bill_hemmer,files/segments/d960515__turn16_seg2.npy
bill_hemmer,files/segments/d960515__turn16_seg3.npy
bill_hemmer,files/segments/d960515__turn16_seg4.npy
bill_hemmer,files/segments/d960515__turn16_seg5.npy
bill_hemmer,files/segments/d960515__turn16_seg6.npy
bill_hemmer,files/segments/d960515__turn16_seg7.npy
bill_hemmer,files/segments/d960515__turn16_seg8.npy
bill_hemmer,files/segments/d960515__turn16_seg9.npy
bill_hemmer,files/segments/d960515__turn16_seg10.npy
bill_hemmer,files/segments/d960515__turn16_seg11.npy
bill_hemmer,files/segments/d960515__turn16_seg12.npy
bill_hemmer,files/segments/d960515__turn16_seg13.npy
bill_hemmer,files/segments/d960515__turn16_seg14.npy
bill_hemmer,files/segments/d960515__turn16_seg15.npy
andrea_arsenault,files/segments/d960515__turn17_seg0.npy
andrea_arsenault,files/segments/d960515__turn17_seg1.npy
andrea_arsenault,files/segments/d960515__turn17_seg2.npy
andrea_arsenault,files/segments/d960515__turn17_seg3.npy
andrea_arsenault,files/segments/d960515__turn17_seg4.npy
andrea_arsenault,files/segments/d960515__turn17_seg5.npy
andrea_arsenault,files/segments/d960515__turn17_seg6.npy
andrea_arsenault,files/segments/d960515__turn17_seg7.npy
andrea_arsenault,files/segments/d960515__turn17_seg8.npy
andrea_arsenault,files/segments/d960515__turn17_seg9.npy
andrea_arsenault,files/segments/d960515__turn17_seg10.npy
andrea_arsenault,files/segments/d960515__turn17_seg11.npy
andrea_arsenault,files/segments/d960515__turn17_seg12.npy
andrea_arsenault,files/segments/d960515__turn17_seg13.npy
andrea_arsenault,files/segments/d960515__turn17_seg14.npy
andrea_arsenault,files/segments/d960515__turn17_seg15.npy
bill_hemmer,files/segments/d960515__turn18_seg0.npy
bill_hemmer,files/segments/d960515__turn18_seg1.npy
bill_hemmer,files/segments/d960515__turn18_seg2.npy
bill_hemmer,files/segments/d960515__turn18_seg3.npy
bill_hemmer,files/segments/d960515__turn18_seg4.npy
bill_hemmer,files/segments/d960515__turn18_seg5.npy
bill_hemmer,files/segments/d960515__turn18_seg6.npy
bill_hemmer,files/segments/d960515__turn18_seg7.npy
bill_hemmer,files/segments/d960515__turn18_seg8.npy
bill_hemmer,files/segments/d960515__turn18_seg9.npy
bill_hemmer,files/segments/d960515__turn18_seg10.npy
bill_hemmer,files/segments/d960515__turn18_seg11.npy
andrea_arsenault,files/segments/d960515__turn19_seg0.npy
andrea_arsenault,files/segments/d960515__turn19_seg1.npy
andrea_arsenault,files/segments/d960515__turn19_seg2.npy
bill_hemmer,files/segments/d960515__turn20_seg0.npy
bill_hemmer,files/segments/d960515__turn20_seg1.npy
andrea_arsenault,files/segments/d960515__turn22_seg0.npy
andrea_arsenault,files/segments/d960515__turn24_seg0.npy
valerie_voss,files/segments/d960515__turn26_seg0.npy
valerie_voss,files/segments/d960515__turn26_seg1.npy
valerie_voss,files/segments/d960515__turn28_seg0.npy
valerie_voss,files/segments/d960515__turn28_seg1.npy
valerie_voss,files/segments/d960515__turn29_seg0.npy
valerie_voss,files/segments/d960515__turn29_seg1.npy
valerie_voss,files/segments/d960515__turn29_seg2.npy
valerie_voss,files/segments/d960515__turn29_seg3.npy
valerie_voss,files/segments/d960515__turn29_seg4.npy
valerie_voss,files/segments/d960515__turn29_seg5.npy
valerie_voss,files/segments/d960515__turn29_seg6.npy
valerie_voss,files/segments/d960515__turn29_seg7.npy
valerie_voss,files/segments/d960515__turn29_seg8.npy
valerie_voss,files/segments/d960515__turn29_seg9.npy
valerie_voss,files/segments/d960515__turn29_seg10.npy
valerie_voss,files/segments/d960515__turn29_seg11.npy
valerie_voss,files/segments/d960515__turn29_seg12.npy
valerie_voss,files/segments/d960515__turn29_seg13.npy
valerie_voss,files/segments/d960515__turn29_seg14.npy
valerie_voss,files/segments/d960515__turn29_seg15.npy
valerie_voss,files/segments/d960515__turn29_seg16.npy
valerie_voss,files/segments/d960515__turn29_seg17.npy
andrea_arsenault,files/segments/d960515__turn30_seg0.npy
andrea_arsenault,files/segments/d960515__turn30_seg1.npy
andrea_arsenault,files/segments/d960515__turn30_seg2.npy
andrea_arsenault,files/segments/d960515__turn30_seg3.npy
andrea_arsenault,files/segments/d960515__turn30_seg4.npy
martin_savage,files/segments/d960515__turn31_seg0.npy
martin_savage,files/segments/d960515__turn31_seg1.npy
martin_savage,files/segments/d960515__turn31_seg2.npy
martin_savage,files/segments/d960515__turn31_seg3.npy
martin_savage,files/segments/d960515__turn31_seg4.npy
martin_savage,files/segments/d960515__turn31_seg5.npy
martin_savage,files/segments/d960515__turn31_seg6.npy
martin_savage,files/segments/d960515__turn31_seg7.npy
martin_savage,files/segments/d960515__turn31_seg8.npy
martin_savage,files/segments/d960515__turn31_seg9.npy
martin_savage,files/segments/d960515__turn31_seg10.npy
martin_savage,files/segments/d960515__turn31_seg11.npy
martin_savage,files/segments/d960515__turn31_seg12.npy
martin_savage,files/segments/d960515__turn31_seg13.npy
martin_savage,files/segments/d960515__turn31_seg14.npy
martin_savage,files/segments/d960515__turn31_seg15.npy
martin_savage,files/segments/d960515__turn31_seg16.npy
martin_savage,files/segments/d960515__turn31_seg17.npy
martin_savage,files/segments/d960515__turn31_seg18.npy
martin_savage,files/segments/d960515__turn31_seg19.npy
martin_savage,files/segments/d960515__turn31_seg20.npy
martin_savage,files/segments/d960515__turn31_seg21.npy
martin_savage,files/segments/d960515__turn31_seg22.npy
martin_savage,files/segments/d960515__turn31_seg23.npy
martin_savage,files/segments/d960515__turn31_seg24.npy
martin_savage,files/segments/d960515__turn31_seg25.npy
martin_savage,files/segments/d960515__turn31_seg26.npy
martin_savage,files/segments/d960515__turn31_seg27.npy
martin_savage,files/segments/d960515__turn31_seg28.npy
martin_savage,files/segments/d960515__turn31_seg29.npy
martin_savage,files/segments/d960515__turn31_seg30.npy
martin_savage,files/segments/d960515__turn31_seg31.npy
martin_savage,files/segments/d960515__turn31_seg32.npy
martin_savage,files/segments/d960515__turn31_seg33.npy
martin_savage,files/segments/d960515__turn31_seg34.npy
martin_savage,files/segments/d960515__turn31_seg35.npy
martin_savage,files/segments/d960515__turn31_seg36.npy
martin_savage,files/segments/d960515__turn31_seg37.npy
martin_savage,files/segments/d960515__turn31_seg38.npy
martin_savage,files/segments/d960515__turn31_seg39.npy
martin_savage,files/segments/d960515__turn31_seg40.npy
martin_savage,files/segments/d960515__turn31_seg41.npy
martin_savage,files/segments/d960515__turn31_seg42.npy
martin_savage,files/segments/d960515__turn31_seg43.npy
martin_savage,files/segments/d960515__turn31_seg44.npy
martin_savage,files/segments/d960515__turn31_seg45.npy
martin_savage,files/segments/d960515__turn31_seg46.npy
martin_savage,files/segments/d960515__turn31_seg47.npy
martin_savage,files/segments/d960515__turn31_seg48.npy
martin_savage,files/segments/d960515__turn31_seg49.npy
d960515_m_us_026,files/segments/d960515__turn32_seg0.npy
d960515_m_us_026,files/segments/d960515__turn32_seg1.npy
d960515_m_us_026,files/segments/d960515__turn32_seg2.npy
d960515_m_us_026,files/segments/d960515__turn32_seg3.npy
d960515_m_us_026,files/segments/d960515__turn32_seg4.npy
d960515_m_us_026,files/segments/d960515__turn32_seg5.npy
d960515_m_us_026,files/segments/d960515__turn32_seg6.npy
d960515_m_us_026,files/segments/d960515__turn32_seg7.npy
d960515_m_us_026,files/segments/d960515__turn32_seg8.npy
d960515_m_us_026,files/segments/d960515__turn32_seg9.npy
d960515_m_us_026,files/segments/d960515__turn32_seg10.npy
d960515_m_us_026,files/segments/d960515__turn32_seg11.npy
d960515_m_us_026,files/segments/d960515__turn32_seg12.npy
d960515_m_us_026,files/segments/d960515__turn32_seg13.npy
d960515_m_us_026,files/segments/d960515__turn32_seg14.npy
d960515_m_us_026,files/segments/d960515__turn32_seg15.npy
d960515_m_us_026,files/segments/d960515__turn32_seg16.npy
d960515_m_us_026,files/segments/d960515__turn32_seg17.npy
d960515_m_us_026,files/segments/d960515__turn32_seg18.npy
d960515_m_us_026,files/segments/d960515__turn32_seg19.npy
d960515_m_us_026,files/segments/d960515__turn32_seg20.npy
d960515_m_us_026,files/segments/d960515__turn32_seg21.npy
d960515_m_us_026,files/segments/d960515__turn32_seg22.npy
d960515_m_us_026,files/segments/d960515__turn32_seg23.npy
d960515_m_us_026,files/segments/d960515__turn32_seg24.npy
d960515_m_us_026,files/segments/d960515__turn32_seg25.npy
d960515_m_us_026,files/segments/d960515__turn32_seg26.npy
d960515_m_us_026,files/segments/d960515__turn32_seg27.npy
d960515_m_us_026,files/segments/d960515__turn32_seg28.npy
d960515_m_us_026,files/segments/d960515__turn32_seg29.npy
d960515_m_us_026,files/segments/d960515__turn32_seg30.npy
d960515_m_us_026,files/segments/d960515__turn32_seg31.npy
d960515_m_us_026,files/segments/d960515__turn32_seg32.npy
d960515_m_us_026,files/segments/d960515__turn32_seg33.npy
d960515_m_us_026,files/segments/d960515__turn32_seg34.npy
d960515_m_us_026,files/segments/d960515__turn32_seg35.npy
d960515_m_us_026,files/segments/d960515__turn32_seg36.npy
d960515_m_us_026,files/segments/d960515__turn32_seg37.npy
d960515_m_us_026,files/segments/d960515__turn32_seg38.npy
d960515_m_us_026,files/segments/d960515__turn32_seg39.npy
d960515_m_us_026,files/segments/d960515__turn32_seg40.npy
d960515_m_us_026,files/segments/d960515__turn32_seg41.npy
d960515_m_us_026,files/segments/d960515__turn32_seg42.npy
d960515_m_us_026,files/segments/d960515__turn32_seg43.npy
d960515_m_us_026,files/segments/d960515__turn32_seg44.npy
d960515_m_us_026,files/segments/d960515__turn32_seg45.npy
d960515_m_us_026,files/segments/d960515__turn32_seg46.npy
d960515_m_us_026,files/segments/d960515__turn32_seg47.npy
d960515_m_us_026,files/segments/d960515__turn32_seg48.npy
d960515_m_us_026,files/segments/d960515__turn32_seg49.npy
d960515_m_us_026,files/segments/d960515__turn32_seg50.npy
d960515_m_us_026,files/segments/d960515__turn32_seg51.npy
d960515_m_us_026,files/segments/d960515__turn32_seg52.npy
d960515_m_us_026,files/segments/d960515__turn32_seg53.npy
d960515_m_us_026,files/segments/d960515__turn32_seg54.npy
d960515_m_us_026,files/segments/d960515__turn32_seg55.npy
d960515_m_us_026,files/segments/d960515__turn32_seg56.npy
d960515_m_us_026,files/segments/d960515__turn32_seg57.npy
d960515_m_us_026,files/segments/d960515__turn32_seg58.npy
d960515_m_us_026,files/segments/d960515__turn32_seg59.npy
d960515_m_us_026,files/segments/d960515__turn32_seg60.npy
d960515_m_us_026,files/segments/d960515__turn32_seg61.npy
d960515_m_us_026,files/segments/d960515__turn32_seg62.npy
d960515_m_us_026,files/segments/d960515__turn32_seg63.npy
d960515_m_us_026,files/segments/d960515__turn32_seg64.npy
d960515_m_us_026,files/segments/d960515__turn32_seg65.npy
d960515_m_us_026,files/segments/d960515__turn32_seg66.npy
d960515_m_us_026,files/segments/d960515__turn32_seg67.npy
martin_savage,files/segments/d960515__turn33_seg0.npy
martin_savage,files/segments/d960515__turn33_seg1.npy
martin_savage,files/segments/d960515__turn33_seg2.npy
martin_savage,files/segments/d960515__turn33_seg3.npy
martin_savage,files/segments/d960515__turn33_seg4.npy
martin_savage,files/segments/d960515__turn33_seg5.npy
martin_savage,files/segments/d960515__turn33_seg6.npy
martin_savage,files/segments/d960515__turn33_seg7.npy
martin_savage,files/segments/d960515__turn33_seg8.npy
martin_savage,files/segments/d960515__turn33_seg9.npy
martin_savage,files/segments/d960515__turn33_seg10.npy
martin_savage,files/segments/d960515__turn33_seg11.npy
martin_savage,files/segments/d960515__turn33_seg12.npy
martin_savage,files/segments/d960515__turn33_seg13.npy
martin_savage,files/segments/d960515__turn33_seg14.npy
martin_savage,files/segments/d960515__turn33_seg15.npy
martin_savage,files/segments/d960515__turn33_seg16.npy
martin_savage,files/segments/d960515__turn33_seg17.npy
martin_savage,files/segments/d960515__turn33_seg18.npy
martin_savage,files/segments/d960515__turn33_seg19.npy
martin_savage,files/segments/d960515__turn33_seg20.npy
martin_savage,files/segments/d960515__turn33_seg21.npy
martin_savage,files/segments/d960515__turn33_seg22.npy
martin_savage,files/segments/d960515__turn33_seg23.npy
martin_savage,files/segments/d960515__turn33_seg24.npy
martin_savage,files/segments/d960515__turn33_seg25.npy
martin_savage,files/segments/d960515__turn33_seg26.npy
martin_savage,files/segments/d960515__turn33_seg27.npy
martin_savage,files/segments/d960515__turn33_seg28.npy
martin_savage,files/segments/d960515__turn33_seg29.npy
martin_savage,files/segments/d960515__turn33_seg30.npy
martin_savage,files/segments/d960515__turn33_seg31.npy
martin_savage,files/segments/d960515__turn33_seg32.npy
martin_savage,files/segments/d960515__turn33_seg33.npy
martin_savage,files/segments/d960515__turn33_seg34.npy
martin_savage,files/segments/d960515__turn33_seg35.npy
martin_savage,files/segments/d960515__turn33_seg36.npy
martin_savage,files/segments/d960515__turn33_seg37.npy
martin_savage,files/segments/d960515__turn33_seg38.npy
martin_savage,files/segments/d960515__turn33_seg39.npy
martin_savage,files/segments/d960515__turn33_seg40.npy
martin_savage,files/segments/d960515__turn33_seg41.npy
martin_savage,files/segments/d960515__turn33_seg42.npy
martin_savage,files/segments/d960515__turn33_seg43.npy
martin_savage,files/segments/d960515__turn33_seg44.npy
martin_savage,files/segments/d960515__turn33_seg45.npy
andrea_arsenault,files/segments/d960515__turn34_seg0.npy
andrea_arsenault,files/segments/d960515__turn34_seg1.npy
bill_hemmer,files/segments/d960515__turn35_seg0.npy
bill_hemmer,files/segments/d960515__turn35_seg1.npy
bill_hemmer,files/segments/d960515__turn35_seg2.npy
bill_hemmer,files/segments/d960515__turn35_seg3.npy
d960515_f_us_001,files/segments/d960515__turn36_seg0.npy
d960515_f_us_001,files/segments/d960515__turn36_seg1.npy
d960515_f_us_001,files/segments/d960515__turn36_seg2.npy
d960515_f_us_001,files/segments/d960515__turn36_seg3.npy
d960515_f_us_001,files/segments/d960515__turn36_seg4.npy
d960515_f_us_001,files/segments/d960515__turn36_seg5.npy
d960515_f_us_001,files/segments/d960515__turn36_seg6.npy
d960515_f_us_001,files/segments/d960515__turn36_seg7.npy
d960515_f_us_001,files/segments/d960515__turn36_seg8.npy
d960515_f_us_001,files/segments/d960515__turn36_seg9.npy
d960515_f_us_001,files/segments/d960515__turn36_seg10.npy
d960515_f_us_001,files/segments/d960515__turn36_seg11.npy
d960515_f_us_001,files/segments/d960515__turn36_seg12.npy
d960515_m_us_027,files/segments/d960515__turn37_seg0.npy
d960515_m_us_027,files/segments/d960515__turn37_seg1.npy
d960515_m_us_027,files/segments/d960515__turn37_seg2.npy
d960515_m_us_027,files/segments/d960515__turn37_seg3.npy
d960515_f_us_002,files/segments/d960515__turn40_seg0.npy
d960515_m_us_027,files/segments/d960515__turn41_seg0.npy
d960515_m_us_027,files/segments/d960515__turn41_seg1.npy
d960515_m_us_027,files/segments/d960515__turn41_seg2.npy
bill_hemmer,files/segments/d960515__turn43_seg0.npy
bill_hemmer,files/segments/d960515__turn43_seg1.npy
bill_hemmer,files/segments/d960515__turn43_seg2.npy
bill_hemmer,files/segments/d960515__turn43_seg3.npy
bill_hemmer,files/segments/d960515__turn43_seg4.npy
bill_hemmer,files/segments/d960515__turn44_seg0.npy
bill_hemmer,files/segments/d960515__turn44_seg1.npy
bill_hemmer,files/segments/d960515__turn44_seg2.npy
bill_hemmer,files/segments/d960515__turn44_seg3.npy
bill_hemmer,files/segments/d960515__turn44_seg4.npy
bill_hemmer,files/segments/d960515__turn44_seg5.npy
andrea_arsenault,files/segments/d960515__turn45_seg0.npy
andrea_arsenault,files/segments/d960515__turn45_seg1.npy
andrea_arsenault,files/segments/d960515__turn45_seg2.npy
andrea_arsenault,files/segments/d960515__turn45_seg3.npy
andrea_arsenault,files/segments/d960515__turn46_seg0.npy
andrea_arsenault,files/segments/d960515__turn46_seg1.npy
andrea_arsenault,files/segments/d960515__turn46_seg2.npy
andrea_arsenault,files/segments/d960515__turn46_seg3.npy
andrea_arsenault,files/segments/d960515__turn46_seg4.npy
andrea_arsenault,files/segments/d960515__turn46_seg5.npy
bruce_morton,files/segments/d960515__turn47_seg0.npy
bruce_morton,files/segments/d960515__turn47_seg1.npy
bruce_morton,files/segments/d960515__turn47_seg2.npy
colin_powell,files/segments/d960515__turn48_seg0.npy
colin_powell,files/segments/d960515__turn48_seg1.npy
colin_powell,files/segments/d960515__turn48_seg2.npy
colin_powell,files/segments/d960515__turn48_seg3.npy
colin_powell,files/segments/d960515__turn48_seg4.npy
colin_powell,files/segments/d960515__turn48_seg5.npy
colin_powell,files/segments/d960515__turn48_seg6.npy
colin_powell,files/segments/d960515__turn48_seg7.npy
colin_powell,files/segments/d960515__turn48_seg8.npy
colin_powell,files/segments/d960515__turn48_seg9.npy
colin_powell,files/segments/d960515__turn48_seg10.npy
colin_powell,files/segments/d960515__turn48_seg11.npy
bruce_morton,files/segments/d960515__turn49_seg0.npy
bruce_morton,files/segments/d960515__turn49_seg1.npy
colin_powell,files/segments/d960515__turn50_seg0.npy
colin_powell,files/segments/d960515__turn50_seg1.npy
colin_powell,files/segments/d960515__turn50_seg2.npy
colin_powell,files/segments/d960515__turn50_seg3.npy
colin_powell,files/segments/d960515__turn50_seg4.npy
colin_powell,files/segments/d960515__turn50_seg5.npy
colin_powell,files/segments/d960515__turn50_seg6.npy
bruce_morton,files/segments/d960515__turn51_seg0.npy
bruce_morton,files/segments/d960515__turn51_seg1.npy
bruce_morton,files/segments/d960515__turn51_seg2.npy
bruce_morton,files/segments/d960515__turn51_seg3.npy
bruce_morton,files/segments/d960515__turn51_seg4.npy
colin_powell,files/segments/d960515__turn52_seg0.npy
colin_powell,files/segments/d960515__turn52_seg1.npy
colin_powell,files/segments/d960515__turn52_seg2.npy
bruce_morton,files/segments/d960515__turn53_seg0.npy
colin_powell,files/segments/d960515__turn54_seg0.npy
colin_powell,files/segments/d960515__turn54_seg1.npy
colin_powell,files/segments/d960515__turn54_seg2.npy
colin_powell,files/segments/d960515__turn54_seg3.npy
colin_powell,files/segments/d960515__turn54_seg4.npy
colin_powell,files/segments/d960515__turn54_seg5.npy
colin_powell,files/segments/d960515__turn54_seg6.npy
colin_powell,files/segments/d960515__turn54_seg7.npy
colin_powell,files/segments/d960515__turn54_seg8.npy
colin_powell,files/segments/d960515__turn54_seg9.npy
colin_powell,files/segments/d960515__turn54_seg10.npy
colin_powell,files/segments/d960515__turn54_seg11.npy
bruce_morton,files/segments/d960515__turn55_seg0.npy
bruce_morton,files/segments/d960515__turn55_seg1.npy
bruce_morton,files/segments/d960515__turn55_seg2.npy
bruce_morton,files/segments/d960515__turn55_seg3.npy
bill_hemmer,files/segments/d960515__turn56_seg0.npy
bill_hemmer,files/segments/d960515__turn56_seg1.npy
bill_hemmer,files/segments/d960515__turn56_seg2.npy
bill_hemmer,files/segments/d960515__turn56_seg3.npy
claire_shipman,files/segments/d960515__turn57_seg0.npy
claire_shipman,files/segments/d960515__turn57_seg1.npy
claire_shipman,files/segments/d960515__turn57_seg2.npy
claire_shipman,files/segments/d960515__turn57_seg3.npy
claire_shipman,files/segments/d960515__turn57_seg4.npy
claire_shipman,files/segments/d960515__turn57_seg5.npy
claire_shipman,files/segments/d960515__turn57_seg6.npy
claire_shipman,files/segments/d960515__turn57_seg7.npy
claire_shipman,files/segments/d960515__turn57_seg8.npy
claire_shipman,files/segments/d960515__turn57_seg9.npy
claire_shipman,files/segments/d960515__turn57_seg10.npy
claire_shipman,files/segments/d960515__turn57_seg11.npy
