speaker,segfile
e960516__male_native1,files/segments/e960516__turn0_seg0.npy
e960516__male_native1,files/segments/e960516__turn0_seg1.npy
e960516__male_native1,files/segments/e960516__turn0_seg2.npy
e960516__male_native1,files/segments/e960516__turn0_seg3.npy
lou_waters,files/segments/e960516__turn1_seg0.npy
lou_waters,files/segments/e960516__turn1_seg1.npy
lou_waters,files/segments/e960516__turn1_seg2.npy
lou_waters,files/segments/e960516__turn1_seg3.npy
lou_waters,files/segments/e960516__turn1_seg4.npy
natalie_allen,files/segments/e960516__turn2_seg0.npy
natalie_allen,files/segments/e960516__turn2_seg1.npy
natalie_allen,files/segments/e960516__turn2_seg2.npy
natalie_allen,files/segments/e960516__turn2_seg3.npy
lou_waters,files/segments/e960516__turn3_seg0.npy
lou_waters,files/segments/e960516__turn3_seg1.npy
lou_waters,files/segments/e960516__turn3_seg2.npy
lou_waters,files/segments/e960516__turn3_seg3.npy
lou_waters,files/segments/e960516__turn4_seg0.npy
lou_waters,files/segments/e960516__turn6_seg0.npy
lou_waters,files/segments/e960516__turn6_seg1.npy
lou_waters,files/segments/e960516__turn6_seg2.npy
lou_waters,files/segments/e960516__turn6_seg3.npy
lou_waters,files/segments/e960516__turn6_seg4.npy
lou_waters,files/segments/e960516__turn6_seg5.npy
jamie_mcintyre,files/segments/e960516__turn7_seg0.npy
jamie_mcintyre,files/segments/e960516__turn7_seg1.npy
jamie_mcintyre,files/segments/e960516__turn7_seg2.npy
jamie_mcintyre,files/segments/e960516__turn7_seg3.npy
jamie_mcintyre,files/segments/e960516__turn7_seg4.npy
jamie_mcintyre,files/segments/e960516__turn7_seg5.npy
jamie_mcintyre,files/segments/e960516__turn7_seg6.npy
jamie_mcintyre,files/segments/e960516__turn7_seg7.npy
jamie_mcintyre,files/segments/e960516__turn7_seg8.npy
jamie_mcintyre,files/segments/e960516__turn7_seg9.npy
jamie_mcintyre,files/segments/e960516__turn7_seg10.npy
jamie_mcintyre,files/segments/e960516__turn7_seg11.npy
jamie_mcintyre,files/segments/e960516__turn7_seg12.npy
jamie_mcintyre,files/segments/e960516__turn7_seg13.npy
jamie_mcintyre,files/segments/e960516__turn7_seg14.npy
jamie_mcintyre,files/segments/e960516__turn7_seg15.npy
jamie_mcintyre,files/segments/e960516__turn7_seg16.npy
jamie_mcintyre,files/segments/e960516__turn7_seg17.npy
jamie_mcintyre,files/segments/e960516__turn7_seg18.npy
jamie_mcintyre,files/segments/e960516__turn7_seg19.npy
jamie_mcintyre,files/segments/e960516__turn7_seg20.npy
john_dalton,files/segments/e960516__turn8_seg0.npy
john_dalton,files/segments/e960516__turn8_seg1.npy
john_dalton,files/segments/e960516__turn8_seg2.npy
john_dalton,files/segments/e960516__turn8_seg3.npy
john_dalton,files/segments/e960516__turn8_seg4.npy
john_dalton,files/segments/e960516__turn8_seg5.npy
john_dalton,files/segments/e960516__turn8_seg6.npy
john_dalton,files/segments/e960516__turn8_seg7.npy
john_dalton,files/segments/e960516__turn8_seg8.npy
john_dalton,files/segments/e960516__turn8_seg9.npy
john_dalton,files/segments/e960516__turn8_seg10.npy
john_dalton,files/segments/e960516__turn8_seg11.npy
john_dalton,files/segments/e960516__turn8_seg12.npy
