speaker,segfile
joie_chen,files/segments/e960522a_turn0_seg0.npy
lou_waters,files/segments/e960522a_turn1_seg0.npy
lou_waters,files/segments/e960522a_turn1_seg1.npy
lou_waters,files/segments/e960522a_turn1_seg2.npy
lou_waters,files/segments/e960522a_turn1_seg3.npy
lou_waters,files/segments/e960522a_turn1_seg4.npy
lou_waters,files/segments/e960522a_turn1_seg5.npy
lou_waters,files/segments/e960522a_turn1_seg6.npy
lou_waters,files/segments/e960522a_turn1_seg7.npy
lou_waters,files/segments/e960522a_turn1_seg8.npy
louise_schiavone,files/segments/e960522a_turn2_seg0.npy
louise_schiavone,files/segments/e960522a_turn2_seg1.npy
louise_schiavone,files/segments/e960522a_turn2_seg2.npy
louise_schiavone,files/segments/e960522a_turn2_seg3.npy
louise_schiavone,files/segments/e960522a_turn2_seg4.npy
louise_schiavone,files/segments/e960522a_turn2_seg5.npy
louise_schiavone,files/segments/e960522a_turn2_seg6.npy
louise_schiavone,files/segments/e960522a_turn2_seg7.npy
louise_schiavone,files/segments/e960522a_turn2_seg8.npy
louise_schiavone,files/segments/e960522a_turn2_seg9.npy
louise_schiavone,files/segments/e960522a_turn2_seg10.npy
louise_schiavone,files/segments/e960522a_turn2_seg11.npy
louise_schiavone,files/segments/e960522a_turn2_seg12.npy
louise_schiavone,files/segments/e960522a_turn2_seg13.npy
louise_schiavone,files/segments/e960522a_turn2_seg14.npy
louise_schiavone,files/segments/e960522a_turn2_seg15.npy
louise_schiavone,files/segments/e960522a_turn2_seg16.npy
louise_schiavone,files/segments/e960522a_turn2_seg17.npy
e960522a_m_us_001,files/segments/e960522a_turn3_seg0.npy
e960522a_m_us_001,files/segments/e960522a_turn3_seg1.npy
e960522a_m_us_001,files/segments/e960522a_turn3_seg2.npy
e960522a_m_us_001,files/segments/e960522a_turn3_seg3.npy
e960522a_m_us_001,files/segments/e960522a_turn4_seg0.npy
e960522a_m_us_001,files/segments/e960522a_turn4_seg1.npy
e960522a_m_us_001,files/segments/e960522a_turn5_seg0.npy
e960522a_m_us_001,files/segments/e960522a_turn5_seg1.npy
e960522a_m_us_001,files/segments/e960522a_turn5_seg2.npy
e960522a_m_us_001,files/segments/e960522a_turn5_seg3.npy
e960522a_m_us_001,files/segments/e960522a_turn5_seg4.npy
e960522a_m_us_002,files/segments/e960522a_turn6_seg0.npy
e960522a_m_us_002,files/segments/e960522a_turn6_seg1.npy
e960522a_m_us_002,files/segments/e960522a_turn6_seg2.npy
e960522a_m_us_002,files/segments/e960522a_turn6_seg3.npy
louise_schiavone,files/segments/e960522a_turn7_seg0.npy
louise_schiavone,files/segments/e960522a_turn7_seg1.npy
louise_schiavone,files/segments/e960522a_turn7_seg2.npy
louise_schiavone,files/segments/e960522a_turn7_seg3.npy
louise_schiavone,files/segments/e960522a_turn7_seg4.npy
louise_schiavone,files/segments/e960522a_turn7_seg5.npy
louise_schiavone,files/segments/e960522a_turn7_seg6.npy
louise_schiavone,files/segments/e960522a_turn7_seg7.npy
louise_schiavone,files/segments/e960522a_turn7_seg8.npy
louise_schiavone,files/segments/e960522a_turn7_seg9.npy
louise_schiavone,files/segments/e960522a_turn7_seg10.npy
louise_schiavone,files/segments/e960522a_turn7_seg11.npy
louise_schiavone,files/segments/e960522a_turn7_seg12.npy
louise_schiavone,files/segments/e960522a_turn7_seg13.npy
e960522a_m_us_003,files/segments/e960522a_turn8_seg0.npy
e960522a_m_us_003,files/segments/e960522a_turn8_seg1.npy
e960522a_m_us_003,files/segments/e960522a_turn8_seg2.npy
e960522a_m_us_003,files/segments/e960522a_turn8_seg3.npy
e960522a_m_us_003,files/segments/e960522a_turn8_seg4.npy
e960522a_m_us_003,files/segments/e960522a_turn8_seg5.npy
e960522a_m_us_003,files/segments/e960522a_turn8_seg6.npy
e960522a_m_us_003,files/segments/e960522a_turn8_seg7.npy
e960522a_m_us_003,files/segments/e960522a_turn8_seg8.npy
e960522a_m_us_003,files/segments/e960522a_turn8_seg9.npy
e960522a_m_us_003,files/segments/e960522a_turn8_seg10.npy
e960522a_m_us_003,files/segments/e960522a_turn8_seg11.npy
e960522a_m_us_003,files/segments/e960522a_turn8_seg12.npy
louise_schiavone,files/segments/e960522a_turn9_seg0.npy
louise_schiavone,files/segments/e960522a_turn9_seg1.npy
louise_schiavone,files/segments/e960522a_turn9_seg2.npy
louise_schiavone,files/segments/e960522a_turn9_seg3.npy
louise_schiavone,files/segments/e960522a_turn9_seg4.npy
louise_schiavone,files/segments/e960522a_turn9_seg5.npy
louise_schiavone,files/segments/e960522a_turn9_seg6.npy
louise_schiavone,files/segments/e960522a_turn9_seg7.npy
lou_waters,files/segments/e960522a_turn10_seg0.npy
lou_waters,files/segments/e960522a_turn10_seg1.npy
lou_waters,files/segments/e960522a_turn10_seg2.npy
louise_schiavone,files/segments/e960522a_turn11_seg0.npy
louise_schiavone,files/segments/e960522a_turn11_seg1.npy
louise_schiavone,files/segments/e960522a_turn11_seg2.npy
louise_schiavone,files/segments/e960522a_turn11_seg3.npy
louise_schiavone,files/segments/e960522a_turn11_seg4.npy
louise_schiavone,files/segments/e960522a_turn11_seg5.npy
louise_schiavone,files/segments/e960522a_turn11_seg6.npy
louise_schiavone,files/segments/e960522a_turn11_seg7.npy
louise_schiavone,files/segments/e960522a_turn11_seg8.npy
louise_schiavone,files/segments/e960522a_turn11_seg9.npy
lou_waters,files/segments/e960522a_turn12_seg0.npy
joie_chen,files/segments/e960522a_turn13_seg0.npy
joie_chen,files/segments/e960522a_turn13_seg1.npy
joie_chen,files/segments/e960522a_turn13_seg2.npy
joie_chen,files/segments/e960522a_turn13_seg3.npy
joie_chen,files/segments/e960522a_turn13_seg4.npy
joie_chen,files/segments/e960522a_turn13_seg5.npy
joie_chen,files/segments/e960522a_turn13_seg6.npy
joie_chen,files/segments/e960522a_turn13_seg7.npy
joie_chen,files/segments/e960522a_turn13_seg8.npy
joie_chen,files/segments/e960522a_turn13_seg9.npy
joie_chen,files/segments/e960522a_turn13_seg10.npy
joie_chen,files/segments/e960522a_turn13_seg11.npy
e960522a_m_nus_004,files/segments/e960522a_turn14_seg0.npy
e960522a_m_nus_004,files/segments/e960522a_turn14_seg1.npy
e960522a_m_nus_004,files/segments/e960522a_turn14_seg2.npy
e960522a_m_nus_004,files/segments/e960522a_turn14_seg3.npy
e960522a_m_nus_004,files/segments/e960522a_turn14_seg4.npy
e960522a_m_nus_004,files/segments/e960522a_turn14_seg5.npy
e960522a_m_nus_004,files/segments/e960522a_turn14_seg6.npy
e960522a_m_nus_004,files/segments/e960522a_turn14_seg7.npy
e960522a_m_nus_004,files/segments/e960522a_turn14_seg8.npy
e960522a_m_nus_004,files/segments/e960522a_turn14_seg9.npy
e960522a_m_nus_004,files/segments/e960522a_turn14_seg10.npy
e960522a_m_nus_004,files/segments/e960522a_turn14_seg11.npy
e960522a_m_nus_004,files/segments/e960522a_turn14_seg12.npy
e960522a_m_nus_004,files/segments/e960522a_turn14_seg13.npy
e960522a_m_nus_004,files/segments/e960522a_turn14_seg14.npy
e960522a_m_nus_004,files/segments/e960522a_turn14_seg15.npy
e960522a_m_nus_004,files/segments/e960522a_turn14_seg16.npy
e960522a_m_nus_004,files/segments/e960522a_turn14_seg17.npy
e960522a_m_nus_004,files/segments/e960522a_turn14_seg18.npy
