speaker,segfile
kathleen_kennedy,files/segments/ee970812_turn0_seg0.npy
kathleen_kennedy,files/segments/ee970812_turn0_seg1.npy
kathleen_kennedy,files/segments/ee970812_turn0_seg2.npy
lou_waters,files/segments/ee970812_turn1_seg0.npy
lou_waters,files/segments/ee970812_turn1_seg1.npy
lou_waters,files/segments/ee970812_turn1_seg2.npy
stanley_rosenblatt,files/segments/ee970812_turn2_seg0.npy
stanley_rosenblatt,files/segments/ee970812_turn2_seg1.npy
stanley_rosenblatt,files/segments/ee970812_turn2_seg2.npy
kathleen_kennedy,files/segments/ee970812_turn3_seg0.npy
kathleen_kennedy,files/segments/ee970812_turn3_seg1.npy
kathleen_kennedy,files/segments/ee970812_turn3_seg2.npy
kathleen_kennedy,files/segments/ee970812_turn3_seg3.npy
kathleen_kennedy,files/segments/ee970812_turn3_seg4.npy
kathleen_kennedy,files/segments/ee970812_turn3_seg5.npy
kathleen_kennedy,files/segments/ee970812_turn3_seg6.npy
lou_waters,files/segments/ee970812_turn4_seg0.npy
lou_waters,files/segments/ee970812_turn4_seg1.npy
lou_waters,files/segments/ee970812_turn4_seg2.npy
lou_waters,files/segments/ee970812_turn4_seg3.npy
lou_waters,files/segments/ee970812_turn4_seg4.npy
lou_waters,files/segments/ee970812_turn4_seg5.npy
lou_waters,files/segments/ee970812_turn4_seg6.npy
lou_waters,files/segments/ee970812_turn4_seg7.npy
lou_waters,files/segments/ee970812_turn4_seg8.npy
lou_waters,files/segments/ee970812_turn4_seg9.npy
lou_waters,files/segments/ee970812_turn4_seg10.npy
gene_randall,files/segments/ee970812_turn5_seg0.npy
gene_randall,files/segments/ee970812_turn5_seg1.npy
gene_randall,files/segments/ee970812_turn5_seg2.npy
gene_randall,files/segments/ee970812_turn5_seg3.npy
gene_randall,files/segments/ee970812_turn5_seg4.npy
gene_randall,files/segments/ee970812_turn5_seg5.npy
gene_randall,files/segments/ee970812_turn5_seg6.npy
gene_randall,files/segments/ee970812_turn5_seg7.npy
gene_randall,files/segments/ee970812_turn5_seg8.npy
ee970812_spkr_1,files/segments/ee970812_turn6_seg0.npy
ee970812_spkr_1,files/segments/ee970812_turn6_seg1.npy
ee970812_spkr_1,files/segments/ee970812_turn6_seg2.npy
ee970812_spkr_1,files/segments/ee970812_turn6_seg3.npy
ee970812_spkr_1,files/segments/ee970812_turn6_seg4.npy
ee970812_spkr_1,files/segments/ee970812_turn6_seg5.npy
