speaker,segfile
louise_schiavone,files/segments/em970925_turn0_seg0.npy
louise_schiavone,files/segments/em970925_turn0_seg1.npy
louise_schiavone,files/segments/em970925_turn0_seg2.npy
louise_schiavone,files/segments/em970925_turn0_seg3.npy
louise_schiavone,files/segments/em970925_turn0_seg4.npy
em970925_spkr_1,files/segments/em970925_turn1_seg0.npy
em970925_spkr_1,files/segments/em970925_turn1_seg1.npy
em970925_spkr_1,files/segments/em970925_turn1_seg2.npy
em970925_spkr_1,files/segments/em970925_turn1_seg3.npy
em970925_spkr_1,files/segments/em970925_turn1_seg4.npy
em970925_spkr_1,files/segments/em970925_turn1_seg5.npy
em970925_spkr_2,files/segments/em970925_turn2_seg0.npy
em970925_spkr_2,files/segments/em970925_turn2_seg1.npy
em970925_spkr_2,files/segments/em970925_turn2_seg2.npy
em970925_spkr_2,files/segments/em970925_turn2_seg3.npy
em970925_spkr_2,files/segments/em970925_turn2_seg4.npy
em970925_spkr_2,files/segments/em970925_turn2_seg5.npy
louise_schiavone,files/segments/em970925_turn3_seg0.npy
louise_schiavone,files/segments/em970925_turn3_seg1.npy
michael_dolan,files/segments/em970925_turn4_seg0.npy
michael_dolan,files/segments/em970925_turn4_seg1.npy
louise_schiavone,files/segments/em970925_turn5_seg0.npy
louise_schiavone,files/segments/em970925_turn5_seg1.npy
louise_schiavone,files/segments/em970925_turn5_seg2.npy
louise_schiavone,files/segments/em970925_turn5_seg3.npy
louise_schiavone,files/segments/em970925_turn5_seg4.npy
louise_schiavone,files/segments/em970925_turn5_seg5.npy
michael_dolan,files/segments/em970925_turn6_seg0.npy
michael_dolan,files/segments/em970925_turn6_seg1.npy
michael_dolan,files/segments/em970925_turn6_seg2.npy
michael_dolan,files/segments/em970925_turn6_seg3.npy
michael_dolan,files/segments/em970925_turn6_seg4.npy
michael_dolan,files/segments/em970925_turn6_seg5.npy
michael_dolan,files/segments/em970925_turn6_seg6.npy
michael_dolan,files/segments/em970925_turn6_seg7.npy
louise_schiavone,files/segments/em970925_turn7_seg0.npy
louise_schiavone,files/segments/em970925_turn7_seg1.npy
louise_schiavone,files/segments/em970925_turn7_seg2.npy
louise_schiavone,files/segments/em970925_turn7_seg3.npy
louise_schiavone,files/segments/em970925_turn7_seg4.npy
louise_schiavone,files/segments/em970925_turn7_seg5.npy
leon_harris,files/segments/em970925_turn8_seg0.npy
leon_harris,files/segments/em970925_turn8_seg1.npy
leon_harris,files/segments/em970925_turn8_seg2.npy
leon_harris,files/segments/em970925_turn8_seg3.npy
joie_chen,files/segments/em970925_turn9_seg0.npy
joie_chen,files/segments/em970925_turn9_seg1.npy
joie_chen,files/segments/em970925_turn9_seg2.npy
joie_chen,files/segments/em970925_turn9_seg3.npy
joie_chen,files/segments/em970925_turn9_seg4.npy
joie_chen,files/segments/em970925_turn9_seg5.npy
joie_chen,files/segments/em970925_turn9_seg6.npy
joie_chen,files/segments/em970925_turn9_seg7.npy
joie_chen,files/segments/em970925_turn9_seg8.npy
joie_chen,files/segments/em970925_turn9_seg9.npy
joie_chen,files/segments/em970925_turn9_seg10.npy
joie_chen,files/segments/em970925_turn9_seg11.npy
joie_chen,files/segments/em970925_turn9_seg12.npy
joie_chen,files/segments/em970925_turn9_seg13.npy
joie_chen,files/segments/em970925_turn9_seg14.npy
bill_clinton,files/segments/em970925_turn10_seg0.npy
bill_clinton,files/segments/em970925_turn10_seg1.npy
bill_clinton,files/segments/em970925_turn10_seg2.npy
bill_clinton,files/segments/em970925_turn10_seg3.npy
bill_clinton,files/segments/em970925_turn10_seg4.npy
bill_clinton,files/segments/em970925_turn10_seg5.npy
bill_clinton,files/segments/em970925_turn10_seg6.npy
bill_clinton,files/segments/em970925_turn10_seg7.npy
bill_clinton,files/segments/em970925_turn10_seg8.npy
bill_clinton,files/segments/em970925_turn10_seg9.npy
bill_clinton,files/segments/em970925_turn10_seg10.npy
bill_clinton,files/segments/em970925_turn10_seg11.npy
bill_clinton,files/segments/em970925_turn10_seg12.npy
bill_clinton,files/segments/em970925_turn10_seg13.npy
bill_clinton,files/segments/em970925_turn10_seg14.npy
bill_clinton,files/segments/em970925_turn10_seg15.npy
bill_clinton,files/segments/em970925_turn10_seg16.npy
bill_clinton,files/segments/em970925_turn10_seg17.npy
bill_clinton,files/segments/em970925_turn10_seg18.npy
bill_clinton,files/segments/em970925_turn11_seg0.npy
bill_clinton,files/segments/em970925_turn11_seg1.npy
bill_clinton,files/segments/em970925_turn11_seg2.npy
bill_clinton,files/segments/em970925_turn11_seg3.npy
bill_clinton,files/segments/em970925_turn11_seg4.npy
bill_clinton,files/segments/em970925_turn11_seg5.npy
bill_clinton,files/segments/em970925_turn11_seg6.npy
bill_clinton,files/segments/em970925_turn11_seg7.npy
bill_clinton,files/segments/em970925_turn11_seg8.npy
bill_clinton,files/segments/em970925_turn11_seg9.npy
bill_clinton,files/segments/em970925_turn12_seg0.npy
bill_clinton,files/segments/em970925_turn12_seg1.npy
bill_clinton,files/segments/em970925_turn12_seg2.npy
bill_clinton,files/segments/em970925_turn12_seg3.npy
bill_clinton,files/segments/em970925_turn12_seg4.npy
bill_clinton,files/segments/em970925_turn12_seg5.npy
bill_clinton,files/segments/em970925_turn12_seg6.npy
bill_clinton,files/segments/em970925_turn12_seg7.npy
em970925_spkr_4,files/segments/em970925_turn13_seg0.npy
em970925_spkr_4,files/segments/em970925_turn13_seg1.npy
em970925_spkr_4,files/segments/em970925_turn13_seg2.npy
em970925_spkr_4,files/segments/em970925_turn13_seg3.npy
em970925_spkr_4,files/segments/em970925_turn13_seg4.npy
em970925_spkr_5,files/segments/em970925_turn14_seg0.npy
em970925_spkr_5,files/segments/em970925_turn14_seg1.npy
em970925_spkr_5,files/segments/em970925_turn14_seg2.npy
em970925_spkr_5,files/segments/em970925_turn14_seg3.npy
em970925_spkr_5,files/segments/em970925_turn14_seg4.npy
em970925_spkr_5,files/segments/em970925_turn14_seg5.npy
em970925_spkr_5,files/segments/em970925_turn14_seg6.npy
em970925_spkr_5,files/segments/em970925_turn14_seg7.npy
em970925_spkr_5,files/segments/em970925_turn14_seg8.npy
em970925_spkr_5,files/segments/em970925_turn14_seg9.npy
em970925_spkr_5,files/segments/em970925_turn14_seg10.npy
em970925_spkr_5,files/segments/em970925_turn14_seg11.npy
em970925_spkr_5,files/segments/em970925_turn14_seg12.npy
em970925_spkr_6,files/segments/em970925_turn15_seg0.npy
em970925_spkr_6,files/segments/em970925_turn15_seg1.npy
em970925_spkr_6,files/segments/em970925_turn15_seg2.npy
em970925_spkr_6,files/segments/em970925_turn15_seg3.npy
em970925_spkr_6,files/segments/em970925_turn15_seg4.npy
bill_clinton,files/segments/em970925_turn16_seg0.npy
bill_clinton,files/segments/em970925_turn16_seg1.npy
bill_clinton,files/segments/em970925_turn16_seg2.npy
bill_clinton,files/segments/em970925_turn16_seg3.npy
bill_clinton,files/segments/em970925_turn16_seg4.npy
bill_clinton,files/segments/em970925_turn16_seg5.npy
bill_clinton,files/segments/em970925_turn16_seg6.npy
bill_clinton,files/segments/em970925_turn16_seg7.npy
bill_clinton,files/segments/em970925_turn16_seg8.npy
bill_clinton,files/segments/em970925_turn16_seg9.npy
bill_clinton,files/segments/em970925_turn16_seg10.npy
bill_clinton,files/segments/em970925_turn16_seg11.npy
bill_clinton,files/segments/em970925_turn16_seg12.npy
bill_clinton,files/segments/em970925_turn16_seg13.npy
bill_clinton,files/segments/em970925_turn16_seg14.npy
bill_clinton,files/segments/em970925_turn16_seg15.npy
bill_clinton,files/segments/em970925_turn16_seg16.npy
joie_chen,files/segments/em970925_turn18_seg0.npy
joie_chen,files/segments/em970925_turn20_seg0.npy
joie_chen,files/segments/em970925_turn20_seg1.npy
leon_harris,files/segments/em970925_turn21_seg0.npy
leon_harris,files/segments/em970925_turn21_seg1.npy
leon_harris,files/segments/em970925_turn21_seg2.npy
leon_harris,files/segments/em970925_turn21_seg3.npy
joie_chen,files/segments/em970925_turn22_seg0.npy
joie_chen,files/segments/em970925_turn22_seg1.npy
leon_harris,files/segments/em970925_turn23_seg0.npy
leon_harris,files/segments/em970925_turn23_seg1.npy
leon_harris,files/segments/em970925_turn23_seg2.npy
leon_harris,files/segments/em970925_turn23_seg3.npy
