speaker,segfile
ep970728_spkr_1,files/segments/ep970728_turn0_seg0.npy
ep970728_spkr_1,files/segments/ep970728_turn0_seg1.npy
ep970728_spkr_1,files/segments/ep970728_turn0_seg2.npy
ep970728_spkr_1,files/segments/ep970728_turn0_seg3.npy
ep970728_spkr_1,files/segments/ep970728_turn0_seg4.npy
ep970728_spkr_1,files/segments/ep970728_turn0_seg5.npy
ep970728_spkr_1,files/segments/ep970728_turn0_seg6.npy
ep970728_spkr_1,files/segments/ep970728_turn0_seg7.npy
ep970728_spkr_1,files/segments/ep970728_turn0_seg8.npy
ep970728_spkr_1,files/segments/ep970728_turn0_seg9.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg0.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg1.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg2.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg3.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg4.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg5.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg6.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg7.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg8.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg9.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg10.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg11.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg12.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg13.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg14.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg15.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg16.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg17.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg18.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg19.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg20.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg21.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg22.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg23.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg24.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg25.npy
ep970728_spkr_2,files/segments/ep970728_turn1_seg26.npy
ep970728_spkr_3,files/segments/ep970728_turn2_seg0.npy
ep970728_spkr_3,files/segments/ep970728_turn2_seg1.npy
ep970728_spkr_3,files/segments/ep970728_turn2_seg2.npy
ep970728_spkr_3,files/segments/ep970728_turn2_seg3.npy
ep970728_spkr_2,files/segments/ep970728_turn3_seg0.npy
sam_gejdenson,files/segments/ep970728_turn4_seg0.npy
sam_gejdenson,files/segments/ep970728_turn4_seg1.npy
sam_gejdenson,files/segments/ep970728_turn4_seg2.npy
sam_gejdenson,files/segments/ep970728_turn4_seg3.npy
ep970728_spkr_2,files/segments/ep970728_turn5_seg0.npy
ep970728_spkr_2,files/segments/ep970728_turn5_seg1.npy
ep970728_spkr_2,files/segments/ep970728_turn5_seg2.npy
ep970728_spkr_2,files/segments/ep970728_turn5_seg3.npy
ep970728_spkr_2,files/segments/ep970728_turn5_seg4.npy
ep970728_spkr_2,files/segments/ep970728_turn5_seg5.npy
ep970728_spkr_2,files/segments/ep970728_turn5_seg6.npy
ep970728_spkr_2,files/segments/ep970728_turn5_seg7.npy
sam_gejdenson,files/segments/ep970728_turn6_seg0.npy
ep970728_spkr_2,files/segments/ep970728_turn7_seg0.npy
sam_gejdenson,files/segments/ep970728_turn8_seg0.npy
ep970728_spkr_2,files/segments/ep970728_turn9_seg0.npy
ep970728_spkr_2,files/segments/ep970728_turn9_seg1.npy
ep970728_spkr_3,files/segments/ep970728_turn10_seg0.npy
ep970728_spkr_3,files/segments/ep970728_turn10_seg1.npy
ep970728_spkr_3,files/segments/ep970728_turn10_seg2.npy
ep970728_spkr_3,files/segments/ep970728_turn10_seg3.npy
ep970728_spkr_3,files/segments/ep970728_turn10_seg4.npy
ep970728_spkr_3,files/segments/ep970728_turn10_seg5.npy
ep970728_spkr_3,files/segments/ep970728_turn10_seg6.npy
ep970728_spkr_3,files/segments/ep970728_turn10_seg7.npy
ep970728_spkr_3,files/segments/ep970728_turn10_seg8.npy
ep970728_spkr_3,files/segments/ep970728_turn10_seg9.npy
ep970728_spkr_2,files/segments/ep970728_turn11_seg0.npy
ep970728_spkr_4,files/segments/ep970728_turn12_seg0.npy
ep970728_spkr_4,files/segments/ep970728_turn12_seg1.npy
ep970728_spkr_4,files/segments/ep970728_turn12_seg2.npy
ep970728_spkr_4,files/segments/ep970728_turn12_seg3.npy
ep970728_spkr_2,files/segments/ep970728_turn13_seg0.npy
sam_gejdenson,files/segments/ep970728_turn14_seg0.npy
sam_gejdenson,files/segments/ep970728_turn14_seg1.npy
ep970728_spkr_2,files/segments/ep970728_turn15_seg0.npy
sam_gejdenson,files/segments/ep970728_turn16_seg0.npy
sam_gejdenson,files/segments/ep970728_turn16_seg1.npy
