speaker,segfile
ew970702_spkr_1,files/segments/ew970702_turn0_seg0.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg1.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg2.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg3.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg4.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg5.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg6.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg7.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg8.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg9.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg10.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg11.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg12.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg13.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg14.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg15.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg16.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg17.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg18.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg19.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg20.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg21.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg22.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg23.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg24.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg25.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg26.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg27.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg28.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg29.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg30.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg31.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg32.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg33.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg34.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg35.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg36.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg37.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg38.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg39.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg40.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg41.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg42.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg43.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg44.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg45.npy
ew970702_spkr_1,files/segments/ew970702_turn0_seg46.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg0.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg1.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg2.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg3.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg4.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg5.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg6.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg7.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg8.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg9.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg10.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg11.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg12.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg13.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg14.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg15.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg16.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg17.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg18.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg19.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg20.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg21.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg22.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg23.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg24.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg25.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg26.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg27.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg28.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg29.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg30.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg31.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg32.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg33.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg34.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg35.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg36.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg37.npy
ew970702_spkr_1,files/segments/ew970702_turn1_seg38.npy
