speaker,segfile
lynn_vaughan,files/segments/f960703__turn0_seg0.npy
lynn_vaughan,files/segments/f960703__turn0_seg1.npy
lynn_vaughan,files/segments/f960703__turn0_seg2.npy
lynn_vaughan,files/segments/f960703__turn0_seg3.npy
f960703__male_native1,files/segments/f960703__turn1_seg0.npy
f960703__male_native1,files/segments/f960703__turn1_seg1.npy
f960703__male_native1,files/segments/f960703__turn1_seg2.npy
lynn_vaughan,files/segments/f960703__turn2_seg0.npy
lynn_vaughan,files/segments/f960703__turn2_seg1.npy
lynn_vaughan,files/segments/f960703__turn2_seg2.npy
lynn_vaughan,files/segments/f960703__turn2_seg3.npy
lynn_vaughan,files/segments/f960703__turn2_seg4.npy
lynn_vaughan,files/segments/f960703__turn2_seg5.npy
lynn_vaughan,files/segments/f960703__turn2_seg6.npy
lynn_vaughan,files/segments/f960703__turn2_seg7.npy
lynn_vaughan,files/segments/f960703__turn2_seg8.npy
lynn_vaughan,files/segments/f960703__turn2_seg9.npy
lynn_vaughan,files/segments/f960703__turn2_seg10.npy
eileen_oconnor,files/segments/f960703__turn3_seg0.npy
eileen_oconnor,files/segments/f960703__turn3_seg1.npy
eileen_oconnor,files/segments/f960703__turn3_seg2.npy
eileen_oconnor,files/segments/f960703__turn3_seg3.npy
f960703_m_us_002,files/segments/f960703__turn4_seg0.npy
eileen_oconnor,files/segments/f960703__turn5_seg0.npy
eileen_oconnor,files/segments/f960703__turn5_seg1.npy
eileen_oconnor,files/segments/f960703__turn5_seg2.npy
eileen_oconnor,files/segments/f960703__turn5_seg3.npy
eileen_oconnor,files/segments/f960703__turn5_seg4.npy
eileen_oconnor,files/segments/f960703__turn5_seg5.npy
f960703_m_us_004,files/segments/f960703__turn6_seg0.npy
f960703_m_us_004,files/segments/f960703__turn6_seg1.npy
eileen_oconnor,files/segments/f960703__turn7_seg0.npy
eileen_oconnor,files/segments/f960703__turn7_seg1.npy
eileen_oconnor,files/segments/f960703__turn7_seg2.npy
eileen_oconnor,files/segments/f960703__turn7_seg3.npy
eileen_oconnor,files/segments/f960703__turn7_seg4.npy
eileen_oconnor,files/segments/f960703__turn7_seg5.npy
eileen_oconnor,files/segments/f960703__turn7_seg6.npy
eileen_oconnor,files/segments/f960703__turn7_seg7.npy
eileen_oconnor,files/segments/f960703__turn7_seg8.npy
f960703_m_us_006,files/segments/f960703__turn8_seg0.npy
f960703_m_us_006,files/segments/f960703__turn8_seg1.npy
f960703_m_us_006,files/segments/f960703__turn8_seg2.npy
f960703_m_us_006,files/segments/f960703__turn8_seg3.npy
f960703_m_us_006,files/segments/f960703__turn8_seg4.npy
f960703_m_us_006,files/segments/f960703__turn8_seg5.npy
f960703_m_us_006,files/segments/f960703__turn8_seg6.npy
f960703_m_us_006,files/segments/f960703__turn8_seg7.npy
f960703_m_us_006,files/segments/f960703__turn8_seg8.npy
f960703_m_us_006,files/segments/f960703__turn8_seg9.npy
f960703_m_us_006,files/segments/f960703__turn8_seg10.npy
f960703_m_us_002,files/segments/f960703__turn9_seg0.npy
f960703_m_us_002,files/segments/f960703__turn9_seg1.npy
f960703_m_us_002,files/segments/f960703__turn9_seg2.npy
eileen_oconnor,files/segments/f960703__turn10_seg0.npy
eileen_oconnor,files/segments/f960703__turn10_seg1.npy
eileen_oconnor,files/segments/f960703__turn10_seg2.npy
eileen_oconnor,files/segments/f960703__turn10_seg3.npy
eileen_oconnor,files/segments/f960703__turn10_seg4.npy
eileen_oconnor,files/segments/f960703__turn10_seg5.npy
eileen_oconnor,files/segments/f960703__turn10_seg6.npy
eileen_oconnor,files/segments/f960703__turn10_seg7.npy
eileen_oconnor,files/segments/f960703__turn10_seg8.npy
eileen_oconnor,files/segments/f960703__turn10_seg9.npy
eileen_oconnor,files/segments/f960703__turn10_seg10.npy
eileen_oconnor,files/segments/f960703__turn11_seg0.npy
eileen_oconnor,files/segments/f960703__turn11_seg1.npy
eileen_oconnor,files/segments/f960703__turn11_seg2.npy
eileen_oconnor,files/segments/f960703__turn11_seg3.npy
eileen_oconnor,files/segments/f960703__turn11_seg4.npy
eileen_oconnor,files/segments/f960703__turn11_seg5.npy
eileen_oconnor,files/segments/f960703__turn11_seg6.npy
eileen_oconnor,files/segments/f960703__turn11_seg7.npy
eileen_oconnor,files/segments/f960703__turn11_seg8.npy
eileen_oconnor,files/segments/f960703__turn11_seg9.npy
eileen_oconnor,files/segments/f960703__turn11_seg10.npy
eileen_oconnor,files/segments/f960703__turn11_seg11.npy
eileen_oconnor,files/segments/f960703__turn11_seg12.npy
eileen_oconnor,files/segments/f960703__turn12_seg0.npy
lynn_vaughan,files/segments/f960703__turn13_seg0.npy
lynn_vaughan,files/segments/f960703__turn13_seg1.npy
lynn_vaughan,files/segments/f960703__turn13_seg2.npy
lynn_vaughan,files/segments/f960703__turn13_seg3.npy
lynn_vaughan,files/segments/f960703__turn13_seg4.npy
lynn_vaughan,files/segments/f960703__turn13_seg5.npy
lynn_vaughan,files/segments/f960703__turn13_seg6.npy
lynn_vaughan,files/segments/f960703__turn13_seg7.npy
lynn_vaughan,files/segments/f960703__turn13_seg8.npy
lynn_vaughan,files/segments/f960703__turn13_seg9.npy
lynn_vaughan,files/segments/f960703__turn13_seg10.npy
f960703_m_us_001,files/segments/f960703__turn14_seg0.npy
f960703_m_us_001,files/segments/f960703__turn14_seg1.npy
f960703_m_us_001,files/segments/f960703__turn14_seg2.npy
f960703_m_us_001,files/segments/f960703__turn14_seg3.npy
f960703_m_us_001,files/segments/f960703__turn14_seg4.npy
f960703_m_us_001,files/segments/f960703__turn14_seg5.npy
f960703_m_us_001,files/segments/f960703__turn14_seg6.npy
f960703_m_us_001,files/segments/f960703__turn14_seg7.npy
f960703_m_us_001,files/segments/f960703__turn14_seg8.npy
f960703_m_us_001,files/segments/f960703__turn14_seg9.npy
lynn_vaughan,files/segments/f960703__turn15_seg0.npy
lynn_vaughan,files/segments/f960703__turn15_seg1.npy
lynn_vaughan,files/segments/f960703__turn15_seg2.npy
lynn_vaughan,files/segments/f960703__turn16_seg0.npy
lynn_vaughan,files/segments/f960703__turn16_seg1.npy
lynn_vaughan,files/segments/f960703__turn16_seg2.npy
lynn_vaughan,files/segments/f960703__turn16_seg3.npy
lynn_vaughan,files/segments/f960703__turn16_seg4.npy
lynn_vaughan,files/segments/f960703__turn16_seg5.npy
lynn_vaughan,files/segments/f960703__turn16_seg6.npy
lynn_vaughan,files/segments/f960703__turn16_seg7.npy
lynn_vaughan,files/segments/f960703__turn16_seg8.npy
lynn_vaughan,files/segments/f960703__turn16_seg9.npy
lynn_vaughan,files/segments/f960703__turn16_seg10.npy
lynn_vaughan,files/segments/f960703__turn16_seg11.npy
lynn_vaughan,files/segments/f960703__turn16_seg12.npy
lynn_vaughan,files/segments/f960703__turn16_seg13.npy
lynn_vaughan,files/segments/f960703__turn16_seg14.npy
lynn_vaughan,files/segments/f960703__turn16_seg15.npy
f960703_m_us_007,files/segments/f960703__turn17_seg0.npy
f960703_m_us_007,files/segments/f960703__turn17_seg1.npy
f960703_m_us_007,files/segments/f960703__turn17_seg2.npy
f960703_m_us_007,files/segments/f960703__turn17_seg3.npy
f960703_m_us_007,files/segments/f960703__turn17_seg4.npy
f960703_m_us_007,files/segments/f960703__turn17_seg5.npy
f960703_m_us_007,files/segments/f960703__turn17_seg6.npy
lynn_vaughan,files/segments/f960703__turn18_seg0.npy
lynn_vaughan,files/segments/f960703__turn18_seg1.npy
lynn_vaughan,files/segments/f960703__turn18_seg2.npy
lynn_vaughan,files/segments/f960703__turn18_seg3.npy
lynn_vaughan,files/segments/f960703__turn19_seg0.npy
lynn_vaughan,files/segments/f960703__turn19_seg1.npy
lynn_vaughan,files/segments/f960703__turn19_seg2.npy
