speaker,segfile
linden_soles,files/segments/g960521__turn0_seg0.npy
linden_soles,files/segments/g960521__turn0_seg1.npy
katherine_calloway,files/segments/g960521__turn1_seg0.npy
katherine_calloway,files/segments/g960521__turn1_seg1.npy
katherine_calloway,files/segments/g960521__turn1_seg2.npy
g960521_f_us_001,files/segments/g960521__turn2_seg0.npy
g960521_f_us_001,files/segments/g960521__turn2_seg1.npy
g960521_f_us_001,files/segments/g960521__turn2_seg2.npy
g960521_f_us_001,files/segments/g960521__turn2_seg3.npy
g960521_f_us_001,files/segments/g960521__turn2_seg4.npy
linden_soles,files/segments/g960521__turn3_seg0.npy
linden_soles,files/segments/g960521__turn3_seg1.npy
linden_soles,files/segments/g960521__turn3_seg2.npy
katherine_calloway,files/segments/g960521__turn4_seg0.npy
katherine_calloway,files/segments/g960521__turn4_seg1.npy
katherine_calloway,files/segments/g960521__turn4_seg2.npy
katherine_calloway,files/segments/g960521__turn4_seg3.npy
katherine_calloway,files/segments/g960521__turn4_seg4.npy
katherine_calloway,files/segments/g960521__turn4_seg5.npy
linden_soles,files/segments/g960521__turn5_seg0.npy
linden_soles,files/segments/g960521__turn6_seg0.npy
linden_soles,files/segments/g960521__turn6_seg1.npy
linden_soles,files/segments/g960521__turn6_seg2.npy
linden_soles,files/segments/g960521__turn6_seg3.npy
linden_soles,files/segments/g960521__turn6_seg4.npy
linden_soles,files/segments/g960521__turn6_seg5.npy
linden_soles,files/segments/g960521__turn6_seg6.npy
linden_soles,files/segments/g960521__turn6_seg7.npy
linden_soles,files/segments/g960521__turn6_seg8.npy
ed_garsten,files/segments/g960521__turn7_seg0.npy
ed_garsten,files/segments/g960521__turn7_seg1.npy
ed_garsten,files/segments/g960521__turn7_seg2.npy
ed_garsten,files/segments/g960521__turn7_seg3.npy
ed_garsten,files/segments/g960521__turn7_seg4.npy
ed_garsten,files/segments/g960521__turn7_seg5.npy
ed_garsten,files/segments/g960521__turn7_seg6.npy
ed_garsten,files/segments/g960521__turn7_seg7.npy
ed_garsten,files/segments/g960521__turn7_seg8.npy
ed_garsten,files/segments/g960521__turn7_seg9.npy
ed_garsten,files/segments/g960521__turn7_seg10.npy
ed_garsten,files/segments/g960521__turn7_seg11.npy
ed_garsten,files/segments/g960521__turn7_seg12.npy
ed_garsten,files/segments/g960521__turn7_seg13.npy
ed_garsten,files/segments/g960521__turn7_seg14.npy
ed_garsten,files/segments/g960521__turn7_seg15.npy
jennifer_ireland,files/segments/g960521__turn8_seg0.npy
jennifer_ireland,files/segments/g960521__turn8_seg1.npy
jennifer_ireland,files/segments/g960521__turn8_seg2.npy
jennifer_ireland,files/segments/g960521__turn8_seg3.npy
jennifer_ireland,files/segments/g960521__turn8_seg4.npy
ed_garsten,files/segments/g960521__turn9_seg0.npy
ed_garsten,files/segments/g960521__turn9_seg1.npy
ed_garsten,files/segments/g960521__turn9_seg2.npy
ed_garsten,files/segments/g960521__turn9_seg3.npy
ed_garsten,files/segments/g960521__turn9_seg4.npy
g960521_f_us_003,files/segments/g960521__turn10_seg0.npy
g960521_f_us_003,files/segments/g960521__turn10_seg1.npy
g960521_f_us_003,files/segments/g960521__turn10_seg2.npy
g960521_f_us_003,files/segments/g960521__turn10_seg3.npy
g960521_f_us_003,files/segments/g960521__turn10_seg4.npy
g960521_f_us_003,files/segments/g960521__turn10_seg5.npy
g960521_f_us_003,files/segments/g960521__turn10_seg6.npy
ed_garsten,files/segments/g960521__turn11_seg0.npy
ed_garsten,files/segments/g960521__turn11_seg1.npy
ed_garsten,files/segments/g960521__turn11_seg2.npy
ed_garsten,files/segments/g960521__turn11_seg3.npy
ed_garsten,files/segments/g960521__turn11_seg4.npy
ed_garsten,files/segments/g960521__turn11_seg5.npy
ed_garsten,files/segments/g960521__turn11_seg6.npy
ed_garsten,files/segments/g960521__turn11_seg7.npy
ed_garsten,files/segments/g960521__turn11_seg8.npy
ed_garsten,files/segments/g960521__turn11_seg9.npy
ed_garsten,files/segments/g960521__turn11_seg10.npy
jennifer_ireland,files/segments/g960521__turn12_seg0.npy
jennifer_ireland,files/segments/g960521__turn12_seg1.npy
jennifer_ireland,files/segments/g960521__turn12_seg2.npy
jennifer_ireland,files/segments/g960521__turn12_seg3.npy
jennifer_ireland,files/segments/g960521__turn12_seg4.npy
ed_garsten,files/segments/g960521__turn13_seg0.npy
ed_garsten,files/segments/g960521__turn13_seg1.npy
ed_garsten,files/segments/g960521__turn13_seg2.npy
ed_garsten,files/segments/g960521__turn13_seg3.npy
ed_garsten,files/segments/g960521__turn13_seg4.npy
ed_garsten,files/segments/g960521__turn13_seg5.npy
ed_garsten,files/segments/g960521__turn13_seg6.npy
ed_garsten,files/segments/g960521__turn13_seg7.npy
ed_garsten,files/segments/g960521__turn13_seg8.npy
ed_garsten,files/segments/g960521__turn13_seg9.npy
ed_garsten,files/segments/g960521__turn13_seg10.npy
katherine_calloway,files/segments/g960521__turn14_seg0.npy
katherine_calloway,files/segments/g960521__turn14_seg1.npy
katherine_calloway,files/segments/g960521__turn14_seg2.npy
katherine_calloway,files/segments/g960521__turn14_seg3.npy
katherine_calloway,files/segments/g960521__turn14_seg4.npy
katherine_calloway,files/segments/g960521__turn14_seg5.npy
katherine_calloway,files/segments/g960521__turn14_seg6.npy
g960521_m_us_022,files/segments/g960521__turn15_seg0.npy
g960521_m_us_022,files/segments/g960521__turn15_seg1.npy
g960521_m_us_022,files/segments/g960521__turn15_seg2.npy
g960521_m_us_022,files/segments/g960521__turn15_seg3.npy
g960521_m_us_022,files/segments/g960521__turn15_seg4.npy
g960521_m_us_022,files/segments/g960521__turn15_seg5.npy
g960521_m_us_022,files/segments/g960521__turn15_seg6.npy
g960521_m_us_022,files/segments/g960521__turn15_seg7.npy
g960521_m_us_022,files/segments/g960521__turn15_seg8.npy
g960521_m_us_022,files/segments/g960521__turn15_seg9.npy
g960521_m_us_022,files/segments/g960521__turn15_seg10.npy
g960521_m_us_022,files/segments/g960521__turn15_seg11.npy
g960521_m_us_022,files/segments/g960521__turn15_seg12.npy
g960521_m_us_022,files/segments/g960521__turn15_seg13.npy
g960521_m_us_022,files/segments/g960521__turn15_seg14.npy
g960521_m_us_022,files/segments/g960521__turn15_seg15.npy
g960521_m_us_022,files/segments/g960521__turn15_seg16.npy
g960521_m_us_022,files/segments/g960521__turn15_seg17.npy
g960521_m_us_022,files/segments/g960521__turn15_seg18.npy
g960521_m_us_022,files/segments/g960521__turn15_seg19.npy
g960521_m_us_022,files/segments/g960521__turn15_seg20.npy
g960521_m_us_022,files/segments/g960521__turn15_seg21.npy
g960521_m_us_022,files/segments/g960521__turn15_seg22.npy
g960521_m_us_022,files/segments/g960521__turn15_seg23.npy
g960521_m_us_022,files/segments/g960521__turn15_seg24.npy
g960521_m_us_022,files/segments/g960521__turn15_seg25.npy
g960521_m_us_022,files/segments/g960521__turn15_seg26.npy
g960521_m_us_022,files/segments/g960521__turn15_seg27.npy
g960521_m_us_022,files/segments/g960521__turn15_seg28.npy
g960521_m_us_022,files/segments/g960521__turn15_seg29.npy
g960521_m_us_022,files/segments/g960521__turn15_seg30.npy
g960521_m_us_022,files/segments/g960521__turn15_seg31.npy
g960521_m_us_022,files/segments/g960521__turn15_seg32.npy
g960521_m_us_022,files/segments/g960521__turn15_seg33.npy
g960521_m_us_022,files/segments/g960521__turn15_seg34.npy
g960521_m_us_022,files/segments/g960521__turn15_seg35.npy
g960521_m_us_022,files/segments/g960521__turn15_seg36.npy
g960521_m_us_022,files/segments/g960521__turn15_seg37.npy
g960521_m_us_022,files/segments/g960521__turn15_seg38.npy
g960521_m_us_022,files/segments/g960521__turn15_seg39.npy
g960521_m_us_022,files/segments/g960521__turn15_seg40.npy
g960521_m_us_022,files/segments/g960521__turn15_seg41.npy
g960521_m_us_022,files/segments/g960521__turn15_seg42.npy
g960521_m_us_022,files/segments/g960521__turn15_seg43.npy
susan_candiotti,files/segments/g960521__turn16_seg0.npy
g960521_m_us_004,files/segments/g960521__turn17_seg0.npy
susan_candiotti,files/segments/g960521__turn18_seg0.npy
susan_candiotti,files/segments/g960521__turn18_seg1.npy
susan_candiotti,files/segments/g960521__turn18_seg2.npy
g960521_m_us_005,files/segments/g960521__turn19_seg0.npy
g960521_m_us_005,files/segments/g960521__turn19_seg1.npy
g960521_m_us_005,files/segments/g960521__turn19_seg2.npy
g960521_m_us_005,files/segments/g960521__turn19_seg3.npy
g960521_m_us_005,files/segments/g960521__turn19_seg4.npy
g960521_m_us_005,files/segments/g960521__turn19_seg5.npy
g960521_m_us_005,files/segments/g960521__turn19_seg6.npy
g960521_m_us_005,files/segments/g960521__turn19_seg7.npy
susan_candiotti,files/segments/g960521__turn22_seg0.npy
susan_candiotti,files/segments/g960521__turn22_seg1.npy
susan_candiotti,files/segments/g960521__turn22_seg2.npy
susan_candiotti,files/segments/g960521__turn22_seg3.npy
susan_candiotti,files/segments/g960521__turn22_seg4.npy
susan_candiotti,files/segments/g960521__turn22_seg5.npy
g960521_m_us_007,files/segments/g960521__turn23_seg0.npy
g960521_m_us_007,files/segments/g960521__turn23_seg1.npy
susan_candiotti,files/segments/g960521__turn24_seg0.npy
susan_candiotti,files/segments/g960521__turn24_seg1.npy
susan_candiotti,files/segments/g960521__turn24_seg2.npy
susan_candiotti,files/segments/g960521__turn24_seg3.npy
susan_candiotti,files/segments/g960521__turn25_seg0.npy
ed_garsten,files/segments/g960521__turn26_seg0.npy
ed_garsten,files/segments/g960521__turn26_seg1.npy
ed_garsten,files/segments/g960521__turn26_seg2.npy
ed_garsten,files/segments/g960521__turn26_seg3.npy
ed_garsten,files/segments/g960521__turn26_seg4.npy
ed_garsten,files/segments/g960521__turn26_seg5.npy
ed_garsten,files/segments/g960521__turn26_seg6.npy
ed_garsten,files/segments/g960521__turn26_seg7.npy
ed_garsten,files/segments/g960521__turn26_seg8.npy
ed_garsten,files/segments/g960521__turn26_seg9.npy
ed_garsten,files/segments/g960521__turn26_seg10.npy
ed_garsten,files/segments/g960521__turn26_seg11.npy
ed_garsten,files/segments/g960521__turn26_seg12.npy
ed_garsten,files/segments/g960521__turn26_seg13.npy
ed_garsten,files/segments/g960521__turn26_seg14.npy
ed_garsten,files/segments/g960521__turn26_seg15.npy
ed_garsten,files/segments/g960521__turn26_seg16.npy
ed_garsten,files/segments/g960521__turn26_seg17.npy
ed_garsten,files/segments/g960521__turn26_seg18.npy
ed_garsten,files/segments/g960521__turn26_seg19.npy
ed_garsten,files/segments/g960521__turn26_seg20.npy
ed_garsten,files/segments/g960521__turn26_seg21.npy
ed_garsten,files/segments/g960521__turn26_seg22.npy
katherine_calloway,files/segments/g960521__turn27_seg0.npy
katherine_calloway,files/segments/g960521__turn27_seg1.npy
katherine_calloway,files/segments/g960521__turn27_seg2.npy
katherine_calloway,files/segments/g960521__turn27_seg3.npy
katherine_calloway,files/segments/g960521__turn27_seg4.npy
ed_garsten,files/segments/g960521__turn28_seg0.npy
ed_garsten,files/segments/g960521__turn28_seg1.npy
ed_garsten,files/segments/g960521__turn28_seg2.npy
ed_garsten,files/segments/g960521__turn28_seg3.npy
ed_garsten,files/segments/g960521__turn28_seg4.npy
ed_garsten,files/segments/g960521__turn28_seg5.npy
ed_garsten,files/segments/g960521__turn28_seg6.npy
ed_garsten,files/segments/g960521__turn28_seg7.npy
ed_garsten,files/segments/g960521__turn28_seg8.npy
ed_garsten,files/segments/g960521__turn28_seg9.npy
ed_garsten,files/segments/g960521__turn28_seg10.npy
ed_garsten,files/segments/g960521__turn28_seg11.npy
ed_garsten,files/segments/g960521__turn28_seg12.npy
ed_garsten,files/segments/g960521__turn28_seg13.npy
ed_garsten,files/segments/g960521__turn28_seg14.npy
ed_garsten,files/segments/g960521__turn28_seg15.npy
ed_garsten,files/segments/g960521__turn28_seg16.npy
ed_garsten,files/segments/g960521__turn28_seg17.npy
ed_garsten,files/segments/g960521__turn28_seg18.npy
ed_garsten,files/segments/g960521__turn28_seg19.npy
ed_garsten,files/segments/g960521__turn28_seg20.npy
katherine_calloway,files/segments/g960521__turn29_seg0.npy
katherine_calloway,files/segments/g960521__turn29_seg1.npy
linden_soles,files/segments/g960521__turn30_seg0.npy
linden_soles,files/segments/g960521__turn30_seg1.npy
linden_soles,files/segments/g960521__turn30_seg2.npy
linden_soles,files/segments/g960521__turn30_seg3.npy
linden_soles,files/segments/g960521__turn30_seg4.npy
linden_soles,files/segments/g960521__turn30_seg5.npy
linden_soles,files/segments/g960521__turn30_seg6.npy
linden_soles,files/segments/g960521__turn30_seg7.npy
linden_soles,files/segments/g960521__turn30_seg8.npy
linden_soles,files/segments/g960521__turn30_seg9.npy
g960521_m_us_008,files/segments/g960521__turn31_seg0.npy
g960521_m_us_008,files/segments/g960521__turn31_seg1.npy
g960521_m_us_008,files/segments/g960521__turn31_seg2.npy
g960521_m_us_008,files/segments/g960521__turn31_seg3.npy
g960521_m_us_008,files/segments/g960521__turn31_seg4.npy
g960521_m_us_008,files/segments/g960521__turn31_seg5.npy
g960521_m_us_008,files/segments/g960521__turn31_seg6.npy
g960521_m_us_008,files/segments/g960521__turn31_seg7.npy
g960521_m_us_008,files/segments/g960521__turn31_seg8.npy
g960521_m_us_008,files/segments/g960521__turn31_seg9.npy
g960521_m_us_008,files/segments/g960521__turn31_seg10.npy
g960521_m_us_008,files/segments/g960521__turn31_seg11.npy
g960521_m_us_008,files/segments/g960521__turn31_seg12.npy
g960521_m_us_008,files/segments/g960521__turn31_seg13.npy
g960521_m_us_008,files/segments/g960521__turn31_seg14.npy
g960521_m_us_008,files/segments/g960521__turn31_seg15.npy
g960521_m_us_008,files/segments/g960521__turn31_seg16.npy
g960521_m_us_008,files/segments/g960521__turn31_seg17.npy
g960521_m_us_008,files/segments/g960521__turn31_seg18.npy
g960521_m_us_008,files/segments/g960521__turn31_seg19.npy
g960521_m_us_008,files/segments/g960521__turn31_seg20.npy
