speaker,segfile
kathleen_kennedy,files/segments/h960517__turn0_seg0.npy
linden_soles,files/segments/h960517__turn2_seg0.npy
linden_soles,files/segments/h960517__turn2_seg1.npy
linden_soles,files/segments/h960517__turn3_seg0.npy
linden_soles,files/segments/h960517__turn3_seg1.npy
linden_soles,files/segments/h960517__turn3_seg2.npy
linden_soles,files/segments/h960517__turn3_seg3.npy
linden_soles,files/segments/h960517__turn3_seg4.npy
linden_soles,files/segments/h960517__turn3_seg5.npy
linden_soles,files/segments/h960517__turn3_seg6.npy
linden_soles,files/segments/h960517__turn3_seg7.npy
linden_soles,files/segments/h960517__turn3_seg8.npy
linden_soles,files/segments/h960517__turn3_seg9.npy
al_hinman,files/segments/h960517__turn4_seg0.npy
al_hinman,files/segments/h960517__turn4_seg1.npy
al_hinman,files/segments/h960517__turn4_seg2.npy
al_hinman,files/segments/h960517__turn4_seg3.npy
al_hinman,files/segments/h960517__turn4_seg4.npy
al_hinman,files/segments/h960517__turn4_seg5.npy
al_hinman,files/segments/h960517__turn4_seg6.npy
al_hinman,files/segments/h960517__turn4_seg7.npy
al_hinman,files/segments/h960517__turn4_seg8.npy
al_hinman,files/segments/h960517__turn4_seg9.npy
al_hinman,files/segments/h960517__turn4_seg10.npy
al_hinman,files/segments/h960517__turn4_seg11.npy
al_hinman,files/segments/h960517__turn4_seg12.npy
al_hinman,files/segments/h960517__turn4_seg13.npy
al_hinman,files/segments/h960517__turn4_seg14.npy
al_hinman,files/segments/h960517__turn4_seg15.npy
al_hinman,files/segments/h960517__turn4_seg16.npy
al_hinman,files/segments/h960517__turn4_seg17.npy
al_hinman,files/segments/h960517__turn4_seg18.npy
al_hinman,files/segments/h960517__turn4_seg19.npy
al_hinman,files/segments/h960517__turn4_seg20.npy
al_hinman,files/segments/h960517__turn4_seg21.npy
al_hinman,files/segments/h960517__turn4_seg22.npy
al_hinman,files/segments/h960517__turn4_seg23.npy
al_hinman,files/segments/h960517__turn4_seg24.npy
al_hinman,files/segments/h960517__turn4_seg25.npy
al_hinman,files/segments/h960517__turn4_seg26.npy
al_hinman,files/segments/h960517__turn4_seg27.npy
al_hinman,files/segments/h960517__turn4_seg28.npy
louis_jordan,files/segments/h960517__turn5_seg0.npy
