speaker,segfile
csp_waj_susan,files/segments/i960611__turn0_seg0.npy
csp_waj_susan,files/segments/i960611__turn0_seg1.npy
csp_waj_susan,files/segments/i960611__turn0_seg2.npy
csp_waj_susan,files/segments/i960611__turn0_seg3.npy
csp_waj_susan,files/segments/i960611__turn0_seg4.npy
csp_waj_susan,files/segments/i960611__turn0_seg5.npy
csp_waj_susan,files/segments/i960611__turn0_seg6.npy
csp_waj_susan,files/segments/i960611__turn0_seg7.npy
csp_waj_susan,files/segments/i960611__turn0_seg8.npy
csp_waj_susan,files/segments/i960611__turn0_seg9.npy
csp_waj_susan,files/segments/i960611__turn0_seg10.npy
csp_waj_susan,files/segments/i960611__turn0_seg11.npy
csp_waj_susan,files/segments/i960611__turn0_seg12.npy
csp_waj_susan,files/segments/i960611__turn0_seg13.npy
csp_waj_susan,files/segments/i960611__turn0_seg14.npy
csp_waj_susan,files/segments/i960611__turn0_seg15.npy
csp_waj_susan,files/segments/i960611__turn0_seg16.npy
csp_waj_susan,files/segments/i960611__turn0_seg17.npy
csp_waj_susan,files/segments/i960611__turn0_seg18.npy
csp_waj_susan,files/segments/i960611__turn0_seg19.npy
csp_waj_susan,files/segments/i960611__turn0_seg20.npy
csp_waj_susan,files/segments/i960611__turn0_seg21.npy
csp_waj_susan,files/segments/i960611__turn0_seg22.npy
csp_waj_susan,files/segments/i960611__turn0_seg23.npy
csp_waj_susan,files/segments/i960611__turn0_seg24.npy
csp_waj_susan,files/segments/i960611__turn0_seg25.npy
csp_waj_susan,files/segments/i960611__turn0_seg26.npy
csp_waj_susan,files/segments/i960611__turn0_seg27.npy
csp_waj_susan,files/segments/i960611__turn0_seg28.npy
csp_waj_susan,files/segments/i960611__turn0_seg29.npy
csp_waj_susan,files/segments/i960611__turn0_seg30.npy
csp_waj_susan,files/segments/i960611__turn0_seg31.npy
csp_waj_susan,files/segments/i960611__turn0_seg32.npy
csp_waj_susan,files/segments/i960611__turn0_seg33.npy
csp_waj_susan,files/segments/i960611__turn0_seg34.npy
csp_waj_susan,files/segments/i960611__turn0_seg35.npy
csp_waj_susan,files/segments/i960611__turn0_seg36.npy
csp_waj_susan,files/segments/i960611__turn0_seg37.npy
csp_waj_susan,files/segments/i960611__turn0_seg38.npy
csp_waj_susan,files/segments/i960611__turn0_seg39.npy
csp_waj_susan,files/segments/i960611__turn0_seg40.npy
csp_waj_susan,files/segments/i960611__turn0_seg41.npy
csp_waj_susan,files/segments/i960611__turn0_seg42.npy
csp_waj_susan,files/segments/i960611__turn0_seg43.npy
csp_waj_susan,files/segments/i960611__turn0_seg44.npy
csp_waj_susan,files/segments/i960611__turn0_seg45.npy
csp_waj_susan,files/segments/i960611__turn0_seg46.npy
csp_waj_susan,files/segments/i960611__turn0_seg47.npy
csp_waj_susan,files/segments/i960611__turn0_seg48.npy
csp_waj_susan,files/segments/i960611__turn0_seg49.npy
csp_waj_susan,files/segments/i960611__turn0_seg50.npy
csp_waj_susan,files/segments/i960611__turn0_seg51.npy
csp_waj_susan,files/segments/i960611__turn0_seg52.npy
csp_waj_susan,files/segments/i960611__turn0_seg53.npy
csp_waj_susan,files/segments/i960611__turn0_seg54.npy
csp_waj_susan,files/segments/i960611__turn0_seg55.npy
csp_waj_susan,files/segments/i960611__turn0_seg56.npy
csp_waj_susan,files/segments/i960611__turn0_seg57.npy
csp_waj_susan,files/segments/i960611__turn0_seg58.npy
