speaker,segfile
i960711p_anchor2,files/segments/i960711p_turn0_seg0.npy
i960711p_anchor2,files/segments/i960711p_turn0_seg1.npy
i960711p_anchor2,files/segments/i960711p_turn0_seg2.npy
i960711p_anchor2,files/segments/i960711p_turn0_seg3.npy
i960711p_anchor2,files/segments/i960711p_turn0_seg4.npy
i960711p_anchor2,files/segments/i960711p_turn0_seg5.npy
i960711p_anchor2,files/segments/i960711p_turn0_seg6.npy
i960711p_anchor2,files/segments/i960711p_turn0_seg7.npy
i960711p_anchor2,files/segments/i960711p_turn0_seg8.npy
i960711p_anchor2,files/segments/i960711p_turn0_seg9.npy
i960711p_anchor2,files/segments/i960711p_turn0_seg10.npy
i960711p_anchor2,files/segments/i960711p_turn0_seg11.npy
i960711p_anchor2,files/segments/i960711p_turn0_seg12.npy
i960711p_anchor2,files/segments/i960711p_turn0_seg13.npy
i960711p_anchor2,files/segments/i960711p_turn0_seg14.npy
i960711p_anchor2,files/segments/i960711p_turn0_seg15.npy
i960711p_anchor2,files/segments/i960711p_turn1_seg0.npy
i960711p_anchor2,files/segments/i960711p_turn1_seg1.npy
i960711p_anchor2,files/segments/i960711p_turn1_seg2.npy
i960711p_anchor2,files/segments/i960711p_turn1_seg3.npy
i960711p_anchor2,files/segments/i960711p_turn1_seg4.npy
i960711p_anchor2,files/segments/i960711p_turn1_seg5.npy
i960711p_anchor2,files/segments/i960711p_turn1_seg6.npy
i960711p_anchor2,files/segments/i960711p_turn3_seg0.npy
i960711p_anchor2,files/segments/i960711p_turn3_seg1.npy
i960711p_anchor2,files/segments/i960711p_turn3_seg2.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg0.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg1.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg2.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg3.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg4.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg5.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg6.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg7.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg8.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg9.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg10.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg11.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg12.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg13.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg14.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg15.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg16.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg17.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg18.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg19.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg20.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg21.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg22.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg23.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg24.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg25.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg26.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg27.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg28.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg29.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg30.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg31.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg32.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg33.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg34.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg35.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg36.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg37.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg38.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg39.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg40.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg41.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg42.npy
i960711p_johndoe001,files/segments/i960711p_turn5_seg43.npy
i960711p_anchor2,files/segments/i960711p_turn6_seg0.npy
i960711p_anchor2,files/segments/i960711p_turn6_seg1.npy
i960711p_anchor2,files/segments/i960711p_turn7_seg0.npy
i960711p_anchor2,files/segments/i960711p_turn7_seg1.npy
i960711p_anchor2,files/segments/i960711p_turn7_seg2.npy
i960711p_anchor2,files/segments/i960711p_turn7_seg3.npy
i960711p_anchor2,files/segments/i960711p_turn7_seg4.npy
i960711p_anchor2,files/segments/i960711p_turn7_seg5.npy
i960711p_anchor2,files/segments/i960711p_turn8_seg0.npy
i960711p_anchor2,files/segments/i960711p_turn8_seg1.npy
i960711p_johndoe001,files/segments/i960711p_turn9_seg0.npy
i960711p_johndoe001,files/segments/i960711p_turn9_seg1.npy
i960711p_johndoe001,files/segments/i960711p_turn9_seg2.npy
i960711p_johndoe001,files/segments/i960711p_turn9_seg3.npy
i960711p_johndoe001,files/segments/i960711p_turn9_seg4.npy
i960711p_johndoe001,files/segments/i960711p_turn9_seg5.npy
i960711p_johndoe001,files/segments/i960711p_turn9_seg6.npy
