speaker,segfile
korva_coleman,files/segments/j960510__turn0_seg0.npy
korva_coleman,files/segments/j960510__turn1_seg0.npy
korva_coleman,files/segments/j960510__turn1_seg1.npy
korva_coleman,files/segments/j960510__turn1_seg2.npy
korva_coleman,files/segments/j960510__turn1_seg3.npy
korva_coleman,files/segments/j960510__turn1_seg4.npy
korva_coleman,files/segments/j960510__turn1_seg5.npy
ailene_leblanc,files/segments/j960510__turn2_seg0.npy
ailene_leblanc,files/segments/j960510__turn2_seg1.npy
ailene_leblanc,files/segments/j960510__turn2_seg2.npy
ailene_leblanc,files/segments/j960510__turn2_seg3.npy
ailene_leblanc,files/segments/j960510__turn2_seg4.npy
ailene_leblanc,files/segments/j960510__turn2_seg5.npy
ailene_leblanc,files/segments/j960510__turn2_seg6.npy
ailene_leblanc,files/segments/j960510__turn2_seg7.npy
ailene_leblanc,files/segments/j960510__turn2_seg8.npy
ailene_leblanc,files/segments/j960510__turn2_seg9.npy
ailene_leblanc,files/segments/j960510__turn2_seg10.npy
lt_upton,files/segments/j960510__turn3_seg0.npy
lt_upton,files/segments/j960510__turn3_seg1.npy
lt_upton,files/segments/j960510__turn3_seg2.npy
lt_upton,files/segments/j960510__turn3_seg3.npy
lt_upton,files/segments/j960510__turn3_seg4.npy
ailene_leblanc,files/segments/j960510__turn4_seg0.npy
ailene_leblanc,files/segments/j960510__turn4_seg1.npy
ailene_leblanc,files/segments/j960510__turn4_seg2.npy
ailene_leblanc,files/segments/j960510__turn4_seg3.npy
korva_coleman,files/segments/j960510__turn5_seg0.npy
korva_coleman,files/segments/j960510__turn6_seg0.npy
korva_coleman,files/segments/j960510__turn6_seg1.npy
korva_coleman,files/segments/j960510__turn6_seg2.npy
korva_coleman,files/segments/j960510__turn6_seg3.npy
korva_coleman,files/segments/j960510__turn6_seg4.npy
korva_coleman,files/segments/j960510__turn6_seg5.npy
korva_coleman,files/segments/j960510__turn6_seg6.npy
korva_coleman,files/segments/j960510__turn7_seg0.npy
korva_coleman,files/segments/j960510__turn7_seg1.npy
korva_coleman,files/segments/j960510__turn7_seg2.npy
korva_coleman,files/segments/j960510__turn7_seg3.npy
neal_conan,files/segments/j960510__turn8_seg0.npy
neal_conan,files/segments/j960510__turn8_seg1.npy
neal_conan,files/segments/j960510__turn8_seg2.npy
neal_conan,files/segments/j960510__turn8_seg3.npy
neal_conan,files/segments/j960510__turn8_seg4.npy
neal_conan,files/segments/j960510__turn8_seg5.npy
neal_conan,files/segments/j960510__turn8_seg6.npy
neal_conan,files/segments/j960510__turn8_seg7.npy
neal_conan,files/segments/j960510__turn8_seg8.npy
neal_conan,files/segments/j960510__turn8_seg9.npy
neal_conan,files/segments/j960510__turn8_seg10.npy
neal_conan,files/segments/j960510__turn8_seg11.npy
neal_conan,files/segments/j960510__turn8_seg12.npy
neal_conan,files/segments/j960510__turn8_seg13.npy
neal_conan,files/segments/j960510__turn8_seg14.npy
neal_conan,files/segments/j960510__turn8_seg15.npy
neal_conan,files/segments/j960510__turn8_seg16.npy
neal_conan,files/segments/j960510__turn8_seg17.npy
neal_conan,files/segments/j960510__turn8_seg18.npy
neal_conan,files/segments/j960510__turn8_seg19.npy
neal_conan,files/segments/j960510__turn8_seg20.npy
neal_conan,files/segments/j960510__turn8_seg21.npy
korva_coleman,files/segments/j960510__turn10_seg0.npy
korva_coleman,files/segments/j960510__turn10_seg1.npy
korva_coleman,files/segments/j960510__turn10_seg2.npy
korva_coleman,files/segments/j960510__turn10_seg3.npy
korva_coleman,files/segments/j960510__turn10_seg4.npy
korva_coleman,files/segments/j960510__turn10_seg5.npy
korva_coleman,files/segments/j960510__turn10_seg6.npy
korva_coleman,files/segments/j960510__turn10_seg7.npy
korva_coleman,files/segments/j960510__turn10_seg8.npy
korva_coleman,files/segments/j960510__turn10_seg9.npy
korva_coleman,files/segments/j960510__turn10_seg10.npy
korva_coleman,files/segments/j960510__turn10_seg11.npy
korva_coleman,files/segments/j960510__turn10_seg12.npy
korva_coleman,files/segments/j960510__turn10_seg13.npy
korva_coleman,files/segments/j960510__turn10_seg14.npy
korva_coleman,files/segments/j960510__turn10_seg15.npy
korva_coleman,files/segments/j960510__turn10_seg16.npy
korva_coleman,files/segments/j960510__turn11_seg0.npy
korva_coleman,files/segments/j960510__turn11_seg1.npy
korva_coleman,files/segments/j960510__turn11_seg2.npy
korva_coleman,files/segments/j960510__turn11_seg3.npy
korva_coleman,files/segments/j960510__turn11_seg4.npy
robbie_harris,files/segments/j960510__turn12_seg0.npy
robbie_harris,files/segments/j960510__turn12_seg1.npy
robbie_harris,files/segments/j960510__turn12_seg2.npy
robbie_harris,files/segments/j960510__turn12_seg3.npy
robbie_harris,files/segments/j960510__turn13_seg0.npy
robbie_harris,files/segments/j960510__turn13_seg1.npy
robbie_harris,files/segments/j960510__turn13_seg2.npy
robbie_harris,files/segments/j960510__turn13_seg3.npy
robbie_harris,files/segments/j960510__turn13_seg4.npy
robbie_harris,files/segments/j960510__turn13_seg5.npy
robbie_harris,files/segments/j960510__turn13_seg6.npy
robbie_harris,files/segments/j960510__turn13_seg7.npy
robbie_harris,files/segments/j960510__turn13_seg8.npy
robbie_harris,files/segments/j960510__turn13_seg9.npy
robbie_harris,files/segments/j960510__turn13_seg10.npy
robbie_harris,files/segments/j960510__turn13_seg11.npy
robbie_harris,files/segments/j960510__turn13_seg12.npy
