speaker,segfile
robert_siegel,files/segments/j960613b_turn0_seg0.npy
noah_adams,files/segments/j960613b_turn1_seg0.npy
noah_adams,files/segments/j960613b_turn1_seg1.npy
noah_adams,files/segments/j960613b_turn1_seg2.npy
noah_adams,files/segments/j960613b_turn1_seg3.npy
noah_adams,files/segments/j960613b_turn1_seg4.npy
robert_siegel,files/segments/j960613b_turn2_seg0.npy
robert_siegel,files/segments/j960613b_turn2_seg1.npy
craig_wintom,files/segments/j960613b_turn4_seg0.npy
craig_wintom,files/segments/j960613b_turn4_seg1.npy
craig_wintom,files/segments/j960613b_turn4_seg2.npy
craig_wintom,files/segments/j960613b_turn4_seg3.npy
craig_wintom,files/segments/j960613b_turn4_seg4.npy
craig_wintom,files/segments/j960613b_turn4_seg5.npy
craig_wintom,files/segments/j960613b_turn4_seg6.npy
craig_wintom,files/segments/j960613b_turn4_seg7.npy
craig_wintom,files/segments/j960613b_turn4_seg8.npy
craig_wintom,files/segments/j960613b_turn4_seg9.npy
craig_wintom,files/segments/j960613b_turn4_seg10.npy
craig_wintom,files/segments/j960613b_turn4_seg11.npy
craig_wintom,files/segments/j960613b_turn4_seg12.npy
craig_wintom,files/segments/j960613b_turn5_seg0.npy
craig_wintom,files/segments/j960613b_turn5_seg1.npy
craig_wintom,files/segments/j960613b_turn5_seg2.npy
craig_wintom,files/segments/j960613b_turn5_seg3.npy
craig_wintom,files/segments/j960613b_turn5_seg4.npy
craig_wintom,files/segments/j960613b_turn5_seg5.npy
craig_wintom,files/segments/j960613b_turn5_seg6.npy
craig_wintom,files/segments/j960613b_turn6_seg0.npy
craig_wintom,files/segments/j960613b_turn6_seg1.npy
craig_wintom,files/segments/j960613b_turn6_seg2.npy
craig_wintom,files/segments/j960613b_turn6_seg3.npy
craig_wintom,files/segments/j960613b_turn6_seg4.npy
craig_wintom,files/segments/j960613b_turn6_seg5.npy
peter_kenyon,files/segments/j960613b_turn7_seg0.npy
peter_kenyon,files/segments/j960613b_turn7_seg1.npy
peter_kenyon,files/segments/j960613b_turn7_seg2.npy
peter_kenyon,files/segments/j960613b_turn7_seg3.npy
peter_kenyon,files/segments/j960613b_turn7_seg4.npy
peter_kenyon,files/segments/j960613b_turn7_seg5.npy
peter_kenyon,files/segments/j960613b_turn7_seg6.npy
peter_kenyon,files/segments/j960613b_turn7_seg7.npy
peter_kenyon,files/segments/j960613b_turn7_seg8.npy
peter_kenyon,files/segments/j960613b_turn7_seg9.npy
peter_kenyon,files/segments/j960613b_turn7_seg10.npy
peter_kenyon,files/segments/j960613b_turn7_seg11.npy
pette_domenici,files/segments/j960613b_turn8_seg0.npy
peter_kenyon,files/segments/j960613b_turn9_seg0.npy
james_exon,files/segments/j960613b_turn10_seg0.npy
james_exon,files/segments/j960613b_turn10_seg1.npy
james_exon,files/segments/j960613b_turn11_seg0.npy
peter_kenyon,files/segments/j960613b_turn12_seg0.npy
peter_kenyon,files/segments/j960613b_turn12_seg1.npy
peter_kenyon,files/segments/j960613b_turn12_seg2.npy
craig_wintom,files/segments/j960613b_turn13_seg0.npy
craig_wintom,files/segments/j960613b_turn13_seg1.npy
craig_wintom,files/segments/j960613b_turn13_seg2.npy
craig_wintom,files/segments/j960613b_turn13_seg3.npy
craig_wintom,files/segments/j960613b_turn13_seg4.npy
craig_wintom,files/segments/j960613b_turn13_seg5.npy
craig_wintom,files/segments/j960613b_turn13_seg6.npy
craig_wintom,files/segments/j960613b_turn13_seg7.npy
craig_wintom,files/segments/j960613b_turn13_seg8.npy
debbie_elliot,files/segments/j960613b_turn14_seg0.npy
debbie_elliot,files/segments/j960613b_turn14_seg1.npy
debbie_elliot,files/segments/j960613b_turn14_seg2.npy
debbie_elliot,files/segments/j960613b_turn14_seg3.npy
debbie_elliot,files/segments/j960613b_turn14_seg4.npy
debbie_elliot,files/segments/j960613b_turn14_seg5.npy
debbie_elliot,files/segments/j960613b_turn14_seg6.npy
debbie_elliot,files/segments/j960613b_turn14_seg7.npy
debbie_elliot,files/segments/j960613b_turn14_seg8.npy
debbie_elliot,files/segments/j960613b_turn14_seg9.npy
debbie_elliot,files/segments/j960613b_turn14_seg10.npy
debbie_elliot,files/segments/j960613b_turn14_seg11.npy
debbie_elliot,files/segments/j960613b_turn14_seg12.npy
debbie_elliot,files/segments/j960613b_turn14_seg13.npy
debbie_elliot,files/segments/j960613b_turn14_seg14.npy
debbie_elliot,files/segments/j960613b_turn14_seg15.npy
debbie_elliot,files/segments/j960613b_turn14_seg16.npy
debbie_elliot,files/segments/j960613b_turn14_seg17.npy
debbie_elliot,files/segments/j960613b_turn14_seg18.npy
debbie_elliot,files/segments/j960613b_turn14_seg19.npy
debbie_elliot,files/segments/j960613b_turn14_seg20.npy
debbie_elliot,files/segments/j960613b_turn14_seg21.npy
debbie_elliot,files/segments/j960613b_turn14_seg22.npy
craig_wintom,files/segments/j960613b_turn15_seg0.npy
craig_wintom,files/segments/j960613b_turn15_seg1.npy
craig_wintom,files/segments/j960613b_turn15_seg2.npy
craig_wintom,files/segments/j960613b_turn15_seg3.npy
craig_wintom,files/segments/j960613b_turn15_seg4.npy
craig_wintom,files/segments/j960613b_turn15_seg5.npy
neil_tickner,files/segments/j960613b_turn16_seg0.npy
neil_tickner,files/segments/j960613b_turn17_seg0.npy
neil_tickner,files/segments/j960613b_turn17_seg1.npy
neil_tickner,files/segments/j960613b_turn17_seg2.npy
neil_tickner,files/segments/j960613b_turn17_seg3.npy
neil_tickner,files/segments/j960613b_turn17_seg4.npy
neil_tickner,files/segments/j960613b_turn17_seg5.npy
neil_tickner,files/segments/j960613b_turn17_seg6.npy
neil_tickner,files/segments/j960613b_turn17_seg7.npy
neil_tickner,files/segments/j960613b_turn17_seg8.npy
neil_tickner,files/segments/j960613b_turn17_seg9.npy
neil_tickner,files/segments/j960613b_turn17_seg10.npy
neil_tickner,files/segments/j960613b_turn17_seg11.npy
neil_tickner,files/segments/j960613b_turn17_seg12.npy
neil_tickner,files/segments/j960613b_turn17_seg13.npy
neil_tickner,files/segments/j960613b_turn17_seg14.npy
neil_tickner,files/segments/j960613b_turn17_seg15.npy
neil_tickner,files/segments/j960613b_turn17_seg16.npy
neil_tickner,files/segments/j960613b_turn17_seg17.npy
neil_tickner,files/segments/j960613b_turn17_seg18.npy
patricia_dubois,files/segments/j960613b_turn20_seg0.npy
patricia_dubois,files/segments/j960613b_turn20_seg1.npy
neil_tickner,files/segments/j960613b_turn21_seg0.npy
patricia_dubois,files/segments/j960613b_turn22_seg0.npy
neil_tickner,files/segments/j960613b_turn23_seg0.npy
neil_tickner,files/segments/j960613b_turn23_seg1.npy
patricia_dubois,files/segments/j960613b_turn24_seg0.npy
patricia_dubois,files/segments/j960613b_turn24_seg1.npy
patricia_dubois,files/segments/j960613b_turn24_seg2.npy
patricia_dubois,files/segments/j960613b_turn24_seg3.npy
patricia_dubois,files/segments/j960613b_turn24_seg4.npy
patricia_dubois,files/segments/j960613b_turn24_seg5.npy
patricia_dubois,files/segments/j960613b_turn24_seg6.npy
patricia_dubois,files/segments/j960613b_turn24_seg7.npy
patricia_dubois,files/segments/j960613b_turn24_seg8.npy
neil_tickner,files/segments/j960613b_turn25_seg0.npy
neil_tickner,files/segments/j960613b_turn25_seg1.npy
patricia_dubois,files/segments/j960613b_turn26_seg0.npy
patricia_dubois,files/segments/j960613b_turn26_seg1.npy
patricia_dubois,files/segments/j960613b_turn26_seg2.npy
patricia_dubois,files/segments/j960613b_turn26_seg3.npy
patricia_dubois,files/segments/j960613b_turn26_seg4.npy
patricia_dubois,files/segments/j960613b_turn26_seg5.npy
neil_tickner,files/segments/j960613b_turn27_seg0.npy
neil_tickner,files/segments/j960613b_turn29_seg0.npy
neil_tickner,files/segments/j960613b_turn30_seg0.npy
neil_tickner,files/segments/j960613b_turn30_seg1.npy
neil_tickner,files/segments/j960613b_turn30_seg2.npy
neil_tickner,files/segments/j960613b_turn30_seg3.npy
neil_tickner,files/segments/j960613b_turn30_seg4.npy
neil_tickner,files/segments/j960613b_turn30_seg5.npy
neil_tickner,files/segments/j960613b_turn30_seg6.npy
neil_tickner,files/segments/j960613b_turn30_seg7.npy
neil_tickner,files/segments/j960613b_turn30_seg8.npy
neil_tickner,files/segments/j960613b_turn31_seg0.npy
neil_tickner,files/segments/j960613b_turn31_seg1.npy
neil_tickner,files/segments/j960613b_turn31_seg2.npy
neil_tickner,files/segments/j960613b_turn31_seg3.npy
neil_tickner,files/segments/j960613b_turn31_seg4.npy
neil_tickner,files/segments/j960613b_turn31_seg5.npy
neil_tickner,files/segments/j960613b_turn31_seg6.npy
