speaker,segfile
noah_adams,files/segments/j960614d_turn0_seg0.npy
noah_adams,files/segments/j960614d_turn0_seg1.npy
noah_adams,files/segments/j960614d_turn0_seg2.npy
noah_adams,files/segments/j960614d_turn0_seg3.npy
noah_adams,files/segments/j960614d_turn0_seg4.npy
noah_adams,files/segments/j960614d_turn0_seg5.npy
noah_adams,files/segments/j960614d_turn0_seg6.npy
noah_adams,files/segments/j960614d_turn0_seg7.npy
noah_adams,files/segments/j960614d_turn0_seg8.npy
noah_adams,files/segments/j960614d_turn0_seg9.npy
frank_stasio,files/segments/j960614d_turn1_seg0.npy
frank_stasio,files/segments/j960614d_turn1_seg1.npy
frank_stasio,files/segments/j960614d_turn1_seg2.npy
frank_stasio,files/segments/j960614d_turn1_seg3.npy
frank_stasio,files/segments/j960614d_turn1_seg4.npy
frank_stasio,files/segments/j960614d_turn1_seg5.npy
frank_stasio,files/segments/j960614d_turn1_seg6.npy
frank_stasio,files/segments/j960614d_turn1_seg7.npy
frank_stasio,files/segments/j960614d_turn1_seg8.npy
frank_stasio,files/segments/j960614d_turn1_seg9.npy
frank_stasio,files/segments/j960614d_turn1_seg10.npy
frank_stasio,files/segments/j960614d_turn1_seg11.npy
frank_stasio,files/segments/j960614d_turn1_seg12.npy
frank_stasio,files/segments/j960614d_turn1_seg13.npy
frank_stasio,files/segments/j960614d_turn1_seg14.npy
frank_stasio,files/segments/j960614d_turn1_seg15.npy
frank_stasio,files/segments/j960614d_turn1_seg16.npy
frank_stasio,files/segments/j960614d_turn1_seg17.npy
frank_stasio,files/segments/j960614d_turn2_seg0.npy
frank_stasio,files/segments/j960614d_turn2_seg1.npy
frank_stasio,files/segments/j960614d_turn2_seg2.npy
frank_stasio,files/segments/j960614d_turn2_seg3.npy
frank_stasio,files/segments/j960614d_turn2_seg4.npy
frank_stasio,files/segments/j960614d_turn2_seg5.npy
sylvia_poggioli,files/segments/j960614d_turn3_seg0.npy
sylvia_poggioli,files/segments/j960614d_turn3_seg1.npy
sylvia_poggioli,files/segments/j960614d_turn3_seg2.npy
sylvia_poggioli,files/segments/j960614d_turn3_seg3.npy
sylvia_poggioli,files/segments/j960614d_turn3_seg4.npy
sylvia_poggioli,files/segments/j960614d_turn3_seg5.npy
sylvia_poggioli,files/segments/j960614d_turn3_seg6.npy
sylvia_poggioli,files/segments/j960614d_turn3_seg7.npy
sylvia_poggioli,files/segments/j960614d_turn3_seg8.npy
sylvia_poggioli,files/segments/j960614d_turn3_seg9.npy
sylvia_poggioli,files/segments/j960614d_turn3_seg10.npy
sylvia_poggioli,files/segments/j960614d_turn3_seg11.npy
sylvia_poggioli,files/segments/j960614d_turn3_seg12.npy
sylvia_poggioli,files/segments/j960614d_turn3_seg13.npy
sylvia_poggioli,files/segments/j960614d_turn3_seg14.npy
sylvia_poggioli,files/segments/j960614d_turn3_seg15.npy
sylvia_poggioli,files/segments/j960614d_turn3_seg16.npy
sylvia_poggioli,files/segments/j960614d_turn3_seg17.npy
sylvia_poggioli,files/segments/j960614d_turn3_seg18.npy
sylvia_poggioli,files/segments/j960614d_turn3_seg19.npy
sylvia_poggioli,files/segments/j960614d_turn3_seg20.npy
sylvia_poggioli,files/segments/j960614d_turn3_seg21.npy
frank_stasio,files/segments/j960614d_turn4_seg0.npy
frank_stasio,files/segments/j960614d_turn4_seg1.npy
frank_stasio,files/segments/j960614d_turn4_seg2.npy
frank_stasio,files/segments/j960614d_turn4_seg3.npy
julie_mccarthy,files/segments/j960614d_turn5_seg0.npy
julie_mccarthy,files/segments/j960614d_turn5_seg1.npy
julie_mccarthy,files/segments/j960614d_turn5_seg2.npy
julie_mccarthy,files/segments/j960614d_turn5_seg3.npy
julie_mccarthy,files/segments/j960614d_turn5_seg4.npy
julie_mccarthy,files/segments/j960614d_turn5_seg5.npy
julie_mccarthy,files/segments/j960614d_turn5_seg6.npy
julie_mccarthy,files/segments/j960614d_turn5_seg7.npy
julie_mccarthy,files/segments/j960614d_turn5_seg8.npy
julie_mccarthy,files/segments/j960614d_turn5_seg9.npy
julie_mccarthy,files/segments/j960614d_turn5_seg10.npy
julie_mccarthy,files/segments/j960614d_turn5_seg11.npy
julie_mccarthy,files/segments/j960614d_turn5_seg12.npy
julie_mccarthy,files/segments/j960614d_turn5_seg13.npy
julie_mccarthy,files/segments/j960614d_turn5_seg14.npy
julie_mccarthy,files/segments/j960614d_turn5_seg15.npy
julie_mccarthy,files/segments/j960614d_turn5_seg16.npy
julie_mccarthy,files/segments/j960614d_turn5_seg17.npy
julie_mccarthy,files/segments/j960614d_turn5_seg18.npy
julie_mccarthy,files/segments/j960614d_turn5_seg19.npy
julie_mccarthy,files/segments/j960614d_turn5_seg20.npy
julie_mccarthy,files/segments/j960614d_turn5_seg21.npy
julie_mccarthy,files/segments/j960614d_turn5_seg22.npy
julie_mccarthy,files/segments/j960614d_turn5_seg23.npy
frank_stasio,files/segments/j960614d_turn6_seg0.npy
frank_stasio,files/segments/j960614d_turn6_seg1.npy
frank_stasio,files/segments/j960614d_turn6_seg2.npy
frank_stasio,files/segments/j960614d_turn6_seg3.npy
frank_stasio,files/segments/j960614d_turn6_seg4.npy
frank_stasio,files/segments/j960614d_turn7_seg0.npy
frank_stasio,files/segments/j960614d_turn7_seg1.npy
frank_stasio,files/segments/j960614d_turn7_seg2.npy
frank_stasio,files/segments/j960614d_turn7_seg3.npy
frank_stasio,files/segments/j960614d_turn7_seg4.npy
frank_stasio,files/segments/j960614d_turn7_seg5.npy
frank_stasio,files/segments/j960614d_turn7_seg6.npy
neil_tickner,files/segments/j960614d_turn8_seg0.npy
neil_tickner,files/segments/j960614d_turn8_seg1.npy
neil_tickner,files/segments/j960614d_turn8_seg2.npy
neil_tickner,files/segments/j960614d_turn8_seg3.npy
neil_tickner,files/segments/j960614d_turn8_seg4.npy
neil_tickner,files/segments/j960614d_turn8_seg5.npy
neil_tickner,files/segments/j960614d_turn8_seg6.npy
neil_tickner,files/segments/j960614d_turn8_seg7.npy
neil_tickner,files/segments/j960614d_turn8_seg8.npy
neil_tickner,files/segments/j960614d_turn8_seg9.npy
neil_tickner,files/segments/j960614d_turn8_seg10.npy
neil_tickner,files/segments/j960614d_turn8_seg11.npy
harold_vanass,files/segments/j960614d_turn11_seg0.npy
harold_vanass,files/segments/j960614d_turn11_seg1.npy
harold_vanass,files/segments/j960614d_turn11_seg2.npy
harold_vanass,files/segments/j960614d_turn11_seg3.npy
harold_vanass,files/segments/j960614d_turn11_seg4.npy
harold_vanass,files/segments/j960614d_turn11_seg5.npy
harold_vanass,files/segments/j960614d_turn11_seg6.npy
harold_vanass,files/segments/j960614d_turn11_seg7.npy
harold_vanass,files/segments/j960614d_turn11_seg8.npy
harold_vanass,files/segments/j960614d_turn11_seg9.npy
harold_vanass,files/segments/j960614d_turn11_seg10.npy
harold_vanass,files/segments/j960614d_turn11_seg11.npy
harold_vanass,files/segments/j960614d_turn11_seg12.npy
harold_vanass,files/segments/j960614d_turn11_seg13.npy
harold_vanass,files/segments/j960614d_turn11_seg14.npy
harold_vanass,files/segments/j960614d_turn11_seg15.npy
harold_vanass,files/segments/j960614d_turn11_seg16.npy
harold_vanass,files/segments/j960614d_turn11_seg17.npy
harold_vanass,files/segments/j960614d_turn11_seg18.npy
harold_vanass,files/segments/j960614d_turn11_seg19.npy
harold_vanass,files/segments/j960614d_turn11_seg20.npy
harold_vanass,files/segments/j960614d_turn11_seg21.npy
harold_vanass,files/segments/j960614d_turn11_seg22.npy
harold_vanass,files/segments/j960614d_turn11_seg23.npy
harold_vanass,files/segments/j960614d_turn11_seg24.npy
harold_vanass,files/segments/j960614d_turn11_seg25.npy
harold_vanass,files/segments/j960614d_turn11_seg26.npy
neil_tickner,files/segments/j960614d_turn12_seg0.npy
neil_tickner,files/segments/j960614d_turn13_seg0.npy
neil_tickner,files/segments/j960614d_turn13_seg1.npy
neil_tickner,files/segments/j960614d_turn13_seg2.npy
neil_tickner,files/segments/j960614d_turn13_seg3.npy
neil_tickner,files/segments/j960614d_turn13_seg4.npy
neil_tickner,files/segments/j960614d_turn13_seg5.npy
neil_tickner,files/segments/j960614d_turn13_seg6.npy
neil_tickner,files/segments/j960614d_turn13_seg7.npy
neil_tickner,files/segments/j960614d_turn14_seg0.npy
neil_tickner,files/segments/j960614d_turn14_seg1.npy
neil_tickner,files/segments/j960614d_turn14_seg2.npy
neil_tickner,files/segments/j960614d_turn14_seg3.npy
neil_tickner,files/segments/j960614d_turn14_seg4.npy
neil_tickner,files/segments/j960614d_turn14_seg5.npy
neil_tickner,files/segments/j960614d_turn14_seg6.npy
neil_tickner,files/segments/j960614d_turn15_seg0.npy
neil_tickner,files/segments/j960614d_turn15_seg1.npy
neil_tickner,files/segments/j960614d_turn15_seg2.npy
neil_tickner,files/segments/j960614d_turn15_seg3.npy
neil_tickner,files/segments/j960614d_turn15_seg4.npy
neil_tickner,files/segments/j960614d_turn15_seg5.npy
neil_tickner,files/segments/j960614d_turn16_seg0.npy
