speaker,segfile
rod_gramms,files/segments/j960618c_turn0_seg0.npy
rod_gramms,files/segments/j960618c_turn0_seg1.npy
rod_gramms,files/segments/j960618c_turn0_seg2.npy
rod_gramms,files/segments/j960618c_turn0_seg3.npy
robert_siegel,files/segments/j960618c_turn1_seg0.npy
noah_adams,files/segments/j960618c_turn2_seg0.npy
noah_adams,files/segments/j960618c_turn2_seg1.npy
robert_siegel,files/segments/j960618c_turn3_seg0.npy
robert_siegel,files/segments/j960618c_turn3_seg1.npy
noah_adams,files/segments/j960618c_turn4_seg0.npy
robert_siegel,files/segments/j960618c_turn5_seg0.npy
robert_siegel,files/segments/j960618c_turn5_seg1.npy
noah_adams,files/segments/j960618c_turn6_seg0.npy
robert_siegel,files/segments/j960618c_turn7_seg0.npy
noah_adams,files/segments/j960618c_turn9_seg0.npy
corey_flintoff,files/segments/j960618c_turn11_seg0.npy
corey_flintoff,files/segments/j960618c_turn11_seg1.npy
corey_flintoff,files/segments/j960618c_turn12_seg0.npy
corey_flintoff,files/segments/j960618c_turn12_seg1.npy
corey_flintoff,files/segments/j960618c_turn12_seg2.npy
corey_flintoff,files/segments/j960618c_turn12_seg3.npy
corey_flintoff,files/segments/j960618c_turn12_seg4.npy
debbie_elliot,files/segments/j960618c_turn13_seg0.npy
debbie_elliot,files/segments/j960618c_turn13_seg1.npy
debbie_elliot,files/segments/j960618c_turn13_seg2.npy
debbie_elliot,files/segments/j960618c_turn13_seg3.npy
debbie_elliot,files/segments/j960618c_turn13_seg4.npy
debbie_elliot,files/segments/j960618c_turn13_seg5.npy
debbie_elliot,files/segments/j960618c_turn13_seg6.npy
debbie_elliot,files/segments/j960618c_turn13_seg7.npy
debbie_elliot,files/segments/j960618c_turn13_seg8.npy
debbie_elliot,files/segments/j960618c_turn13_seg9.npy
debbie_elliot,files/segments/j960618c_turn13_seg10.npy
debbie_elliot,files/segments/j960618c_turn13_seg11.npy
debbie_elliot,files/segments/j960618c_turn13_seg12.npy
debbie_elliot,files/segments/j960618c_turn13_seg13.npy
debbie_elliot,files/segments/j960618c_turn13_seg14.npy
debbie_elliot,files/segments/j960618c_turn13_seg15.npy
debbie_elliot,files/segments/j960618c_turn13_seg16.npy
debbie_elliot,files/segments/j960618c_turn13_seg17.npy
debbie_elliot,files/segments/j960618c_turn13_seg18.npy
debbie_elliot,files/segments/j960618c_turn13_seg19.npy
debbie_elliot,files/segments/j960618c_turn13_seg20.npy
debbie_elliot,files/segments/j960618c_turn13_seg21.npy
debbie_elliot,files/segments/j960618c_turn13_seg22.npy
debbie_elliot,files/segments/j960618c_turn13_seg23.npy
debbie_elliot,files/segments/j960618c_turn13_seg24.npy
corey_flintoff,files/segments/j960618c_turn14_seg0.npy
corey_flintoff,files/segments/j960618c_turn14_seg1.npy
corey_flintoff,files/segments/j960618c_turn14_seg2.npy
corey_flintoff,files/segments/j960618c_turn14_seg3.npy
corey_flintoff,files/segments/j960618c_turn14_seg4.npy
corey_flintoff,files/segments/j960618c_turn14_seg5.npy
corey_flintoff,files/segments/j960618c_turn14_seg6.npy
corey_flintoff,files/segments/j960618c_turn14_seg7.npy
npr_atc_jackrep1,files/segments/j960618c_turn15_seg0.npy
npr_atc_jackrep1,files/segments/j960618c_turn15_seg1.npy
npr_atc_jackrep1,files/segments/j960618c_turn15_seg2.npy
npr_atc_jackrep1,files/segments/j960618c_turn15_seg3.npy
npr_atc_jackrep1,files/segments/j960618c_turn15_seg4.npy
npr_atc_jackrep1,files/segments/j960618c_turn15_seg5.npy
npr_atc_jackrep1,files/segments/j960618c_turn15_seg6.npy
elizabeth_arnold,files/segments/j960618c_turn16_seg0.npy
elizabeth_arnold,files/segments/j960618c_turn16_seg1.npy
elizabeth_arnold,files/segments/j960618c_turn16_seg2.npy
elizabeth_arnold,files/segments/j960618c_turn16_seg3.npy
elizabeth_arnold,files/segments/j960618c_turn16_seg4.npy
elizabeth_arnold,files/segments/j960618c_turn16_seg5.npy
elizabeth_arnold,files/segments/j960618c_turn16_seg6.npy
bob_dole,files/segments/j960618c_turn17_seg0.npy
bob_dole,files/segments/j960618c_turn17_seg1.npy
bob_dole,files/segments/j960618c_turn17_seg2.npy
bob_dole,files/segments/j960618c_turn17_seg3.npy
bob_dole,files/segments/j960618c_turn17_seg4.npy
bob_dole,files/segments/j960618c_turn17_seg5.npy
elizabeth_arnold,files/segments/j960618c_turn18_seg0.npy
elizabeth_arnold,files/segments/j960618c_turn18_seg1.npy
elizabeth_arnold,files/segments/j960618c_turn18_seg2.npy
elizabeth_arnold,files/segments/j960618c_turn18_seg3.npy
elizabeth_arnold,files/segments/j960618c_turn18_seg4.npy
elizabeth_arnold,files/segments/j960618c_turn18_seg5.npy
elizabeth_arnold,files/segments/j960618c_turn18_seg6.npy
elizabeth_arnold,files/segments/j960618c_turn18_seg7.npy
elizabeth_arnold,files/segments/j960618c_turn18_seg8.npy
elizabeth_arnold,files/segments/j960618c_turn18_seg9.npy
corey_flintoff,files/segments/j960618c_turn19_seg0.npy
corey_flintoff,files/segments/j960618c_turn19_seg1.npy
corey_flintoff,files/segments/j960618c_turn19_seg2.npy
corey_flintoff,files/segments/j960618c_turn19_seg3.npy
corey_flintoff,files/segments/j960618c_turn19_seg4.npy
corey_flintoff,files/segments/j960618c_turn19_seg5.npy
corey_flintoff,files/segments/j960618c_turn19_seg6.npy
corey_flintoff,files/segments/j960618c_turn19_seg7.npy
corey_flintoff,files/segments/j960618c_turn19_seg8.npy
corey_flintoff,files/segments/j960618c_turn19_seg9.npy
corey_flintoff,files/segments/j960618c_turn19_seg10.npy
corey_flintoff,files/segments/j960618c_turn19_seg11.npy
corey_flintoff,files/segments/j960618c_turn20_seg0.npy
corey_flintoff,files/segments/j960618c_turn20_seg1.npy
corey_flintoff,files/segments/j960618c_turn20_seg2.npy
vincent_thompson,files/segments/j960618c_turn21_seg0.npy
vincent_thompson,files/segments/j960618c_turn22_seg0.npy
vincent_thompson,files/segments/j960618c_turn22_seg1.npy
vincent_thompson,files/segments/j960618c_turn22_seg2.npy
vincent_thompson,files/segments/j960618c_turn22_seg3.npy
vincent_thompson,files/segments/j960618c_turn22_seg4.npy
vincent_thompson,files/segments/j960618c_turn22_seg5.npy
vincent_thompson,files/segments/j960618c_turn22_seg6.npy
vincent_thompson,files/segments/j960618c_turn22_seg7.npy
vincent_thompson,files/segments/j960618c_turn22_seg8.npy
vincent_thompson,files/segments/j960618c_turn22_seg9.npy
vincent_thompson,files/segments/j960618c_turn22_seg10.npy
vincent_thompson,files/segments/j960618c_turn22_seg11.npy
vincent_thompson,files/segments/j960618c_turn22_seg12.npy
vincent_thompson,files/segments/j960618c_turn22_seg13.npy
vincent_thompson,files/segments/j960618c_turn22_seg14.npy
vincent_thompson,files/segments/j960618c_turn22_seg15.npy
vincent_thompson,files/segments/j960618c_turn22_seg16.npy
vincent_thompson,files/segments/j960618c_turn22_seg17.npy
vincent_thompson,files/segments/j960618c_turn22_seg18.npy
vincent_thompson,files/segments/j960618c_turn22_seg19.npy
vincent_thompson,files/segments/j960618c_turn22_seg20.npy
vincent_thompson,files/segments/j960618c_turn22_seg21.npy
vincent_thompson,files/segments/j960618c_turn22_seg22.npy
vincent_thompson,files/segments/j960618c_turn22_seg23.npy
vincent_thompson,files/segments/j960618c_turn22_seg24.npy
vincent_thompson,files/segments/j960618c_turn22_seg25.npy
vincent_thompson,files/segments/j960618c_turn22_seg26.npy
vincent_thompson,files/segments/j960618c_turn22_seg27.npy
vincent_thompson,files/segments/j960618c_turn22_seg28.npy
vincent_thompson,files/segments/j960618c_turn22_seg29.npy
vincent_thompson,files/segments/j960618c_turn22_seg30.npy
vincent_thompson,files/segments/j960618c_turn22_seg31.npy
vincent_thompson,files/segments/j960618c_turn22_seg32.npy
vincent_thompson,files/segments/j960618c_turn23_seg0.npy
vincent_thompson,files/segments/j960618c_turn23_seg1.npy
vincent_thompson,files/segments/j960618c_turn23_seg2.npy
vincent_thompson,files/segments/j960618c_turn23_seg3.npy
vincent_thompson,files/segments/j960618c_turn23_seg4.npy
vincent_thompson,files/segments/j960618c_turn23_seg5.npy
vincent_thompson,files/segments/j960618c_turn23_seg6.npy
vincent_thompson,files/segments/j960618c_turn23_seg7.npy
brad_zuber,files/segments/j960618c_turn24_seg0.npy
brad_zuber,files/segments/j960618c_turn24_seg1.npy
brad_zuber,files/segments/j960618c_turn24_seg2.npy
brad_zuber,files/segments/j960618c_turn24_seg3.npy
brad_zuber,files/segments/j960618c_turn24_seg4.npy
brad_zuber,files/segments/j960618c_turn24_seg5.npy
brad_zuber,files/segments/j960618c_turn24_seg6.npy
brad_zuber,files/segments/j960618c_turn24_seg7.npy
brad_zuber,files/segments/j960618c_turn24_seg8.npy
brad_zuber,files/segments/j960618c_turn24_seg9.npy
brad_zuber,files/segments/j960618c_turn24_seg10.npy
brad_zuber,files/segments/j960618c_turn24_seg11.npy
vincent_thompson,files/segments/j960618c_turn25_seg0.npy
vincent_thompson,files/segments/j960618c_turn25_seg1.npy
vincent_thompson,files/segments/j960618c_turn25_seg2.npy
vincent_thompson,files/segments/j960618c_turn25_seg3.npy
vincent_thompson,files/segments/j960618c_turn26_seg0.npy
vincent_thompson,files/segments/j960618c_turn26_seg1.npy
vincent_thompson,files/segments/j960618c_turn26_seg2.npy
vincent_thompson,files/segments/j960618c_turn26_seg3.npy
