speaker,segfile
david_brancaccio,files/segments/k960610__turn1_seg0.npy
david_brancaccio,files/segments/k960610__turn1_seg1.npy
david_brancaccio,files/segments/k960610__turn1_seg2.npy
david_brancaccio,files/segments/k960610__turn1_seg3.npy
david_brancaccio,files/segments/k960610__turn1_seg4.npy
warren_bennis,files/segments/k960610__turn2_seg0.npy
warren_bennis,files/segments/k960610__turn2_seg1.npy
warren_bennis,files/segments/k960610__turn2_seg2.npy
warren_bennis,files/segments/k960610__turn2_seg3.npy
warren_bennis,files/segments/k960610__turn2_seg4.npy
warren_bennis,files/segments/k960610__turn2_seg5.npy
david_brancaccio,files/segments/k960610__turn4_seg0.npy
david_brancaccio,files/segments/k960610__turn4_seg1.npy
david_brancaccio,files/segments/k960610__turn4_seg2.npy
david_brancaccio,files/segments/k960610__turn4_seg3.npy
david_brancaccio,files/segments/k960610__turn4_seg4.npy
david_brancaccio,files/segments/k960610__turn4_seg5.npy
david_brancaccio,files/segments/k960610__turn4_seg6.npy
david_brancaccio,files/segments/k960610__turn4_seg7.npy
david_brancaccio,files/segments/k960610__turn4_seg8.npy
david_brancaccio,files/segments/k960610__turn4_seg9.npy
david_brancaccio,files/segments/k960610__turn4_seg10.npy
stephen_beard,files/segments/k960610__turn5_seg0.npy
stephen_beard,files/segments/k960610__turn5_seg1.npy
stephen_beard,files/segments/k960610__turn5_seg2.npy
stephen_beard,files/segments/k960610__turn5_seg3.npy
stephen_beard,files/segments/k960610__turn5_seg4.npy
stephen_beard,files/segments/k960610__turn5_seg5.npy
stephen_beard,files/segments/k960610__turn5_seg6.npy
stephen_beard,files/segments/k960610__turn5_seg7.npy
stephen_beard,files/segments/k960610__turn5_seg8.npy
stephen_beard,files/segments/k960610__turn5_seg9.npy
stephen_beard,files/segments/k960610__turn5_seg10.npy
stephen_beard,files/segments/k960610__turn5_seg11.npy
stephen_beard,files/segments/k960610__turn5_seg12.npy
stephen_beard,files/segments/k960610__turn5_seg13.npy
stephen_beard,files/segments/k960610__turn5_seg14.npy
stephen_beard,files/segments/k960610__turn5_seg15.npy
stephen_beard,files/segments/k960610__turn5_seg16.npy
