speaker,segfile
david_brancaccio,files/segments/k960712_turn1_seg0.npy
david_brancaccio,files/segments/k960712_turn1_seg1.npy
david_brancaccio,files/segments/k960712_turn1_seg2.npy
david_brancaccio,files/segments/k960712_turn1_seg3.npy
david_brancaccio,files/segments/k960712_turn1_seg4.npy
david_brancaccio,files/segments/k960712_turn1_seg5.npy
k960712_johndoe001,files/segments/k960712_turn2_seg0.npy
k960712_johndoe001,files/segments/k960712_turn2_seg1.npy
k960712_johndoe001,files/segments/k960712_turn2_seg2.npy
k960712_johndoe001,files/segments/k960712_turn2_seg3.npy
k960712_johndoe001,files/segments/k960712_turn2_seg4.npy
david_brancaccio,files/segments/k960712_turn4_seg0.npy
david_brancaccio,files/segments/k960712_turn4_seg1.npy
david_brancaccio,files/segments/k960712_turn4_seg2.npy
david_brancaccio,files/segments/k960712_turn4_seg3.npy
david_brancaccio,files/segments/k960712_turn4_seg4.npy
david_brancaccio,files/segments/k960712_turn4_seg5.npy
david_brancaccio,files/segments/k960712_turn4_seg6.npy
david_brancaccio,files/segments/k960712_turn4_seg7.npy
david_brancaccio,files/segments/k960712_turn4_seg8.npy
david_brancaccio,files/segments/k960712_turn4_seg9.npy
david_brancaccio,files/segments/k960712_turn4_seg10.npy
david_brancaccio,files/segments/k960712_turn4_seg11.npy
david_brancaccio,files/segments/k960712_turn4_seg12.npy
david_brancaccio,files/segments/k960712_turn4_seg13.npy
david_brancaccio,files/segments/k960712_turn4_seg14.npy
david_brancaccio,files/segments/k960712_turn4_seg15.npy
david_brancaccio,files/segments/k960712_turn4_seg16.npy
david_brancaccio,files/segments/k960712_turn4_seg17.npy
david_brancaccio,files/segments/k960712_turn4_seg18.npy
david_brancaccio,files/segments/k960712_turn4_seg19.npy
david_brancaccio,files/segments/k960712_turn4_seg20.npy
dianne_tumee,files/segments/k960712_turn5_seg0.npy
dianne_tumee,files/segments/k960712_turn5_seg1.npy
dianne_tumee,files/segments/k960712_turn5_seg2.npy
dianne_tumee,files/segments/k960712_turn5_seg3.npy
dianne_tumee,files/segments/k960712_turn5_seg4.npy
dianne_tumee,files/segments/k960712_turn5_seg5.npy
shinni_shah,files/segments/k960712_turn6_seg0.npy
dianne_tumee,files/segments/k960712_turn7_seg0.npy
dianne_tumee,files/segments/k960712_turn7_seg1.npy
dianne_tumee,files/segments/k960712_turn7_seg2.npy
dianne_tumee,files/segments/k960712_turn7_seg3.npy
dianne_tumee,files/segments/k960712_turn7_seg4.npy
dianne_tumee,files/segments/k960712_turn7_seg5.npy
dianne_tumee,files/segments/k960712_turn7_seg6.npy
shinni_shah,files/segments/k960712_turn8_seg0.npy
shinni_shah,files/segments/k960712_turn8_seg1.npy
shinni_shah,files/segments/k960712_turn8_seg2.npy
dianne_tumee,files/segments/k960712_turn9_seg0.npy
dianne_tumee,files/segments/k960712_turn9_seg1.npy
dianne_tumee,files/segments/k960712_turn9_seg2.npy
dianne_tumee,files/segments/k960712_turn9_seg3.npy
dianne_tumee,files/segments/k960712_turn9_seg4.npy
dianne_tumee,files/segments/k960712_turn9_seg5.npy
thomas_buckly,files/segments/k960712_turn10_seg0.npy
dianne_tumee,files/segments/k960712_turn11_seg0.npy
dianne_tumee,files/segments/k960712_turn11_seg1.npy
dianne_tumee,files/segments/k960712_turn11_seg2.npy
dianne_tumee,files/segments/k960712_turn11_seg3.npy
dianne_tumee,files/segments/k960712_turn11_seg4.npy
dianne_tumee,files/segments/k960712_turn11_seg5.npy
dianne_tumee,files/segments/k960712_turn11_seg6.npy
dianne_tumee,files/segments/k960712_turn11_seg7.npy
betsy_keefer,files/segments/k960712_turn12_seg0.npy
dianne_tumee,files/segments/k960712_turn13_seg0.npy
dianne_tumee,files/segments/k960712_turn13_seg1.npy
dianne_tumee,files/segments/k960712_turn13_seg2.npy
dianne_tumee,files/segments/k960712_turn13_seg3.npy
dianne_tumee,files/segments/k960712_turn13_seg4.npy
dianne_tumee,files/segments/k960712_turn13_seg5.npy
dianne_tumee,files/segments/k960712_turn13_seg6.npy
dianne_tumee,files/segments/k960712_turn13_seg7.npy
dianne_tumee,files/segments/k960712_turn13_seg8.npy
david_brancaccio,files/segments/k960712_turn14_seg0.npy
david_brancaccio,files/segments/k960712_turn14_seg1.npy
david_brancaccio,files/segments/k960712_turn14_seg2.npy
david_brancaccio,files/segments/k960712_turn14_seg3.npy
david_brancaccio,files/segments/k960712_turn14_seg4.npy
david_brancaccio,files/segments/k960712_turn14_seg5.npy
david_brancaccio,files/segments/k960712_turn14_seg6.npy
david_brancaccio,files/segments/k960712_turn14_seg7.npy
david_brancaccio,files/segments/k960712_turn14_seg8.npy
david_brancaccio,files/segments/k960712_turn14_seg9.npy
cynthia_engle,files/segments/k960712_turn15_seg0.npy
cynthia_engle,files/segments/k960712_turn15_seg1.npy
cynthia_engle,files/segments/k960712_turn15_seg2.npy
cynthia_engle,files/segments/k960712_turn15_seg3.npy
david_funderberk,files/segments/k960712_turn16_seg0.npy
david_funderberk,files/segments/k960712_turn16_seg1.npy
david_funderberk,files/segments/k960712_turn16_seg2.npy
david_funderberk,files/segments/k960712_turn16_seg3.npy
david_funderberk,files/segments/k960712_turn16_seg4.npy
david_funderberk,files/segments/k960712_turn16_seg5.npy
david_funderberk,files/segments/k960712_turn16_seg6.npy
david_funderberk,files/segments/k960712_turn16_seg7.npy
cynthia_engle,files/segments/k960712_turn17_seg0.npy
cynthia_engle,files/segments/k960712_turn17_seg1.npy
cynthia_engle,files/segments/k960712_turn17_seg2.npy
cynthia_engle,files/segments/k960712_turn17_seg3.npy
cynthia_engle,files/segments/k960712_turn17_seg4.npy
cynthia_engle,files/segments/k960712_turn17_seg5.npy
