speaker,segfile
sam_donaldson,files/segments/l960710_turn1_seg0.npy
sam_donaldson,files/segments/l960710_turn1_seg1.npy
sam_donaldson,files/segments/l960710_turn1_seg2.npy
l960710_j_doe001,files/segments/l960710_turn2_seg0.npy
l960710_j_doe001,files/segments/l960710_turn2_seg1.npy
sam_donaldson,files/segments/l960710_turn3_seg0.npy
sam_donaldson,files/segments/l960710_turn3_seg1.npy
sam_donaldson,files/segments/l960710_turn3_seg2.npy
sam_donaldson,files/segments/l960710_turn3_seg3.npy
l960710_j_doe002,files/segments/l960710_turn4_seg0.npy
sam_donaldson,files/segments/l960710_turn5_seg0.npy
sam_donaldson,files/segments/l960710_turn5_seg1.npy
sam_donaldson,files/segments/l960710_turn6_seg0.npy
sam_donaldson,files/segments/l960710_turn6_seg1.npy
diane_sawyer,files/segments/l960710_turn7_seg0.npy
l960710_j_doe003,files/segments/l960710_turn8_seg0.npy
l960710_j_doe003,files/segments/l960710_turn8_seg1.npy
diane_sawyer,files/segments/l960710_turn9_seg0.npy
diane_sawyer,files/segments/l960710_turn9_seg1.npy
diane_sawyer,files/segments/l960710_turn10_seg0.npy
diane_sawyer,files/segments/l960710_turn10_seg1.npy
diane_sawyer,files/segments/l960710_turn10_seg2.npy
diane_sawyer,files/segments/l960710_turn10_seg3.npy
diane_sawyer,files/segments/l960710_turn10_seg4.npy
l960710_j_doe004,files/segments/l960710_turn11_seg0.npy
l960710_j_doe004,files/segments/l960710_turn11_seg1.npy
l960710_j_doe004,files/segments/l960710_turn11_seg2.npy
l960710_j_doe005,files/segments/l960710_turn12_seg0.npy
sam_donaldson,files/segments/l960710_turn13_seg0.npy
sam_donaldson,files/segments/l960710_turn13_seg1.npy
sam_donaldson,files/segments/l960710_turn13_seg2.npy
sam_donaldson,files/segments/l960710_turn13_seg3.npy
sam_donaldson,files/segments/l960710_turn13_seg4.npy
sam_donaldson,files/segments/l960710_turn16_seg0.npy
sam_donaldson,files/segments/l960710_turn16_seg1.npy
sam_donaldson,files/segments/l960710_turn16_seg2.npy
sam_donaldson,files/segments/l960710_turn19_seg0.npy
sam_donaldson,files/segments/l960710_turn19_seg1.npy
sam_donaldson,files/segments/l960710_turn19_seg2.npy
sam_donaldson,files/segments/l960710_turn19_seg3.npy
sam_donaldson,files/segments/l960710_turn19_seg4.npy
sam_donaldson,files/segments/l960710_turn19_seg5.npy
sam_donaldson,files/segments/l960710_turn19_seg6.npy
sam_donaldson,files/segments/l960710_turn19_seg7.npy
sam_donaldson,files/segments/l960710_turn19_seg8.npy
sam_donaldson,files/segments/l960710_turn19_seg9.npy
sam_donaldson,files/segments/l960710_turn19_seg10.npy
sam_donaldson,files/segments/l960710_turn19_seg11.npy
sam_donaldson,files/segments/l960710_turn19_seg12.npy
sam_donaldson,files/segments/l960710_turn19_seg13.npy
sam_donaldson,files/segments/l960710_turn19_seg14.npy
sam_donaldson,files/segments/l960710_turn19_seg15.npy
sam_donaldson,files/segments/l960710_turn19_seg16.npy
l960710_j_doe008,files/segments/l960710_turn21_seg0.npy
l960710_j_doe008,files/segments/l960710_turn21_seg1.npy
sam_donaldson,files/segments/l960710_turn23_seg0.npy
sam_donaldson,files/segments/l960710_turn24_seg0.npy
