speaker,segfile
n960715p_j_doe001,files/segments/n960715p_turn0_seg0.npy
fiona_foster,files/segments/n960715p_turn1_seg0.npy
fiona_foster,files/segments/n960715p_turn1_seg1.npy
fiona_foster,files/segments/n960715p_turn1_seg2.npy
fiona_foster,files/segments/n960715p_turn1_seg3.npy
bernard_shaw,files/segments/n960715p_turn2_seg0.npy
bernard_shaw,files/segments/n960715p_turn2_seg1.npy
bernard_shaw,files/segments/n960715p_turn2_seg2.npy
judy_woodruff,files/segments/n960715p_turn3_seg0.npy
judy_woodruff,files/segments/n960715p_turn3_seg1.npy
judy_woodruff,files/segments/n960715p_turn3_seg2.npy
judy_woodruff,files/segments/n960715p_turn3_seg3.npy
judy_woodruff,files/segments/n960715p_turn3_seg4.npy
n960715p_j_doe001,files/segments/n960715p_turn4_seg0.npy
n960715p_j_doe001,files/segments/n960715p_turn4_seg1.npy
n960715p_j_doe001,files/segments/n960715p_turn4_seg2.npy
n960715p_j_doe001,files/segments/n960715p_turn4_seg3.npy
n960715p_j_doe001,files/segments/n960715p_turn4_seg4.npy
n960715p_j_doe001,files/segments/n960715p_turn4_seg5.npy
n960715p_j_doe001,files/segments/n960715p_turn4_seg6.npy
fiona_foster,files/segments/n960715p_turn5_seg0.npy
fiona_foster,files/segments/n960715p_turn5_seg1.npy
fiona_foster,files/segments/n960715p_turn5_seg2.npy
fiona_foster,files/segments/n960715p_turn5_seg3.npy
fiona_foster,files/segments/n960715p_turn5_seg4.npy
fiona_foster,files/segments/n960715p_turn5_seg5.npy
fiona_foster,files/segments/n960715p_turn5_seg6.npy
fiona_foster,files/segments/n960715p_turn5_seg7.npy
fiona_foster,files/segments/n960715p_turn5_seg8.npy
fiona_foster,files/segments/n960715p_turn5_seg9.npy
fiona_foster,files/segments/n960715p_turn5_seg10.npy
fiona_foster,files/segments/n960715p_turn5_seg11.npy
fiona_foster,files/segments/n960715p_turn5_seg12.npy
fiona_foster,files/segments/n960715p_turn5_seg13.npy
fiona_foster,files/segments/n960715p_turn5_seg14.npy
fiona_foster,files/segments/n960715p_turn5_seg15.npy
bernard_shaw,files/segments/n960715p_turn6_seg0.npy
bernard_shaw,files/segments/n960715p_turn6_seg1.npy
bernard_shaw,files/segments/n960715p_turn6_seg2.npy
bernard_shaw,files/segments/n960715p_turn6_seg3.npy
bernard_shaw,files/segments/n960715p_turn6_seg4.npy
bernard_shaw,files/segments/n960715p_turn6_seg5.npy
bernard_shaw,files/segments/n960715p_turn6_seg6.npy
bernard_shaw,files/segments/n960715p_turn6_seg7.npy
al_gore,files/segments/n960715p_turn7_seg0.npy
al_gore,files/segments/n960715p_turn7_seg1.npy
al_gore,files/segments/n960715p_turn7_seg2.npy
al_gore,files/segments/n960715p_turn7_seg3.npy
al_gore,files/segments/n960715p_turn7_seg4.npy
al_gore,files/segments/n960715p_turn7_seg5.npy
al_gore,files/segments/n960715p_turn7_seg6.npy
al_gore,files/segments/n960715p_turn7_seg7.npy
al_gore,files/segments/n960715p_turn7_seg8.npy
al_gore,files/segments/n960715p_turn7_seg9.npy
al_gore,files/segments/n960715p_turn7_seg10.npy
al_gore,files/segments/n960715p_turn7_seg11.npy
al_gore,files/segments/n960715p_turn7_seg12.npy
al_gore,files/segments/n960715p_turn7_seg13.npy
al_gore,files/segments/n960715p_turn7_seg14.npy
al_gore,files/segments/n960715p_turn7_seg15.npy
bernard_shaw,files/segments/n960715p_turn8_seg0.npy
bernard_shaw,files/segments/n960715p_turn8_seg1.npy
bernard_shaw,files/segments/n960715p_turn8_seg2.npy
bernard_shaw,files/segments/n960715p_turn8_seg3.npy
bernard_shaw,files/segments/n960715p_turn8_seg4.npy
bernard_shaw,files/segments/n960715p_turn8_seg5.npy
eileen_o'conner,files/segments/n960715p_turn9_seg0.npy
eileen_o'conner,files/segments/n960715p_turn9_seg1.npy
eileen_o'conner,files/segments/n960715p_turn9_seg2.npy
eileen_o'conner,files/segments/n960715p_turn9_seg3.npy
eileen_o'conner,files/segments/n960715p_turn9_seg4.npy
eileen_o'conner,files/segments/n960715p_turn9_seg5.npy
eileen_o'conner,files/segments/n960715p_turn9_seg6.npy
eileen_o'conner,files/segments/n960715p_turn9_seg7.npy
eileen_o'conner,files/segments/n960715p_turn10_seg0.npy
eileen_o'conner,files/segments/n960715p_turn10_seg1.npy
eileen_o'conner,files/segments/n960715p_turn10_seg2.npy
eileen_o'conner,files/segments/n960715p_turn10_seg3.npy
al_gore,files/segments/n960715p_turn11_seg0.npy
al_gore,files/segments/n960715p_turn11_seg1.npy
al_gore,files/segments/n960715p_turn11_seg2.npy
eileen_o'conner,files/segments/n960715p_turn12_seg0.npy
eileen_o'conner,files/segments/n960715p_turn12_seg1.npy
eileen_o'conner,files/segments/n960715p_turn12_seg2.npy
n960715p_j_doe002,files/segments/n960715p_turn13_seg0.npy
n960715p_j_doe002,files/segments/n960715p_turn13_seg1.npy
n960715p_j_doe002,files/segments/n960715p_turn13_seg2.npy
n960715p_j_doe002,files/segments/n960715p_turn13_seg3.npy
n960715p_j_doe002,files/segments/n960715p_turn13_seg4.npy
eileen_o'conner,files/segments/n960715p_turn14_seg0.npy
eileen_o'conner,files/segments/n960715p_turn14_seg1.npy
n960715p_j_doe002,files/segments/n960715p_turn15_seg0.npy
n960715p_j_doe002,files/segments/n960715p_turn15_seg1.npy
n960715p_j_doe002,files/segments/n960715p_turn15_seg2.npy
n960715p_j_doe002,files/segments/n960715p_turn15_seg3.npy
n960715p_j_doe002,files/segments/n960715p_turn15_seg4.npy
n960715p_j_doe002,files/segments/n960715p_turn15_seg5.npy
n960715p_j_doe002,files/segments/n960715p_turn15_seg6.npy
eileen_o'conner,files/segments/n960715p_turn16_seg0.npy
eileen_o'conner,files/segments/n960715p_turn16_seg1.npy
eileen_o'conner,files/segments/n960715p_turn16_seg2.npy
eileen_o'conner,files/segments/n960715p_turn16_seg3.npy
eileen_o'conner,files/segments/n960715p_turn16_seg4.npy
eileen_o'conner,files/segments/n960715p_turn16_seg5.npy
eileen_o'conner,files/segments/n960715p_turn16_seg6.npy
