speaker,segfile
bob_edwards,files/segments/o960710p_turn0_seg0.npy
bob_edwards,files/segments/o960710p_turn0_seg1.npy
bob_edwards,files/segments/o960710p_turn0_seg2.npy
bob_edwards,files/segments/o960710p_turn0_seg3.npy
bob_edwards,files/segments/o960710p_turn0_seg4.npy
bob_edwards,files/segments/o960710p_turn0_seg5.npy
bob_edwards,files/segments/o960710p_turn0_seg6.npy
bob_edwards,files/segments/o960710p_turn0_seg7.npy
bob_edwards,files/segments/o960710p_turn0_seg8.npy
bob_edwards,files/segments/o960710p_turn0_seg9.npy
bob_edwards,files/segments/o960710p_turn0_seg10.npy
bob_edwards,files/segments/o960710p_turn0_seg11.npy
o960710p_janedoe001,files/segments/o960710p_turn1_seg0.npy
o960710p_janedoe001,files/segments/o960710p_turn1_seg1.npy
o960710p_janedoe001,files/segments/o960710p_turn1_seg2.npy
o960710p_janedoe001,files/segments/o960710p_turn1_seg3.npy
o960710p_janedoe001,files/segments/o960710p_turn1_seg4.npy
o960710p_janedoe001,files/segments/o960710p_turn1_seg5.npy
o960710p_janedoe001,files/segments/o960710p_turn1_seg6.npy
o960710p_janedoe001,files/segments/o960710p_turn1_seg7.npy
o960710p_janedoe001,files/segments/o960710p_turn1_seg8.npy
o960710p_janedoe001,files/segments/o960710p_turn1_seg9.npy
o960710p_janedoe001,files/segments/o960710p_turn1_seg10.npy
o960710p_janedoe001,files/segments/o960710p_turn1_seg11.npy
o960710p_johndoe001,files/segments/o960710p_turn2_seg0.npy
o960710p_johndoe001,files/segments/o960710p_turn2_seg1.npy
o960710p_johndoe001,files/segments/o960710p_turn2_seg2.npy
o960710p_johndoe001,files/segments/o960710p_turn2_seg3.npy
o960710p_johndoe001,files/segments/o960710p_turn2_seg4.npy
o960710p_johndoe001,files/segments/o960710p_turn2_seg5.npy
o960710p_johndoe001,files/segments/o960710p_turn2_seg6.npy
o960710p_johndoe001,files/segments/o960710p_turn2_seg7.npy
o960710p_johndoe001,files/segments/o960710p_turn2_seg8.npy
o960710p_johndoe001,files/segments/o960710p_turn2_seg9.npy
o960710p_janedoe001,files/segments/o960710p_turn3_seg0.npy
o960710p_janedoe001,files/segments/o960710p_turn3_seg1.npy
o960710p_janedoe001,files/segments/o960710p_turn3_seg2.npy
o960710p_janedoe001,files/segments/o960710p_turn3_seg3.npy
o960710p_janedoe001,files/segments/o960710p_turn3_seg4.npy
o960710p_janedoe001,files/segments/o960710p_turn3_seg5.npy
o960710p_janedoe001,files/segments/o960710p_turn3_seg6.npy
o960710p_janedoe001,files/segments/o960710p_turn3_seg7.npy
o960710p_janedoe001,files/segments/o960710p_turn3_seg8.npy
o960710p_janedoe001,files/segments/o960710p_turn3_seg9.npy
o960710p_janedoe001,files/segments/o960710p_turn3_seg10.npy
o960710p_janedoe001,files/segments/o960710p_turn3_seg11.npy
o960710p_janedoe001,files/segments/o960710p_turn3_seg12.npy
o960710p_janedoe001,files/segments/o960710p_turn3_seg13.npy
