speaker,segfile
mary_ambrose,files/segments/p960712_turn0_seg0.npy
mary_ambrose,files/segments/p960712_turn0_seg1.npy
mary_ambrose,files/segments/p960712_turn0_seg2.npy
mary_ambrose,files/segments/p960712_turn0_seg3.npy
mary_ambrose,files/segments/p960712_turn0_seg4.npy
mary_ambrose,files/segments/p960712_turn0_seg5.npy
mary_ambrose,files/segments/p960712_turn0_seg6.npy
mary_ambrose,files/segments/p960712_turn0_seg7.npy
mary_ambrose,files/segments/p960712_turn0_seg8.npy
mary_ambrose,files/segments/p960712_turn0_seg9.npy
mary_ambrose,files/segments/p960712_turn0_seg10.npy
mary_ambrose,files/segments/p960712_turn0_seg11.npy
mary_ambrose,files/segments/p960712_turn0_seg12.npy
mary_ambrose,files/segments/p960712_turn0_seg13.npy
mary_ambrose,files/segments/p960712_turn0_seg14.npy
mary_ambrose,files/segments/p960712_turn0_seg15.npy
mary_ambrose,files/segments/p960712_turn0_seg16.npy
mary_ambrose,files/segments/p960712_turn0_seg17.npy
mary_ambrose,files/segments/p960712_turn0_seg18.npy
nenet_shevek,files/segments/p960712_turn1_seg0.npy
nenet_shevek,files/segments/p960712_turn1_seg1.npy
nenet_shevek,files/segments/p960712_turn1_seg2.npy
nenet_shevek,files/segments/p960712_turn1_seg3.npy
nenet_shevek,files/segments/p960712_turn1_seg4.npy
nenet_shevek,files/segments/p960712_turn1_seg5.npy
nenet_shevek,files/segments/p960712_turn1_seg6.npy
nenet_shevek,files/segments/p960712_turn1_seg7.npy
nenet_shevek,files/segments/p960712_turn1_seg8.npy
nenet_shevek,files/segments/p960712_turn1_seg9.npy
p960712_johndoe001,files/segments/p960712_turn2_seg0.npy
p960712_johndoe001,files/segments/p960712_turn2_seg1.npy
p960712_johndoe001,files/segments/p960712_turn2_seg2.npy
p960712_johndoe001,files/segments/p960712_turn2_seg3.npy
p960712_johndoe001,files/segments/p960712_turn2_seg4.npy
p960712_johndoe001,files/segments/p960712_turn2_seg5.npy
p960712_johndoe001,files/segments/p960712_turn2_seg6.npy
nenet_shevek,files/segments/p960712_turn3_seg0.npy
nenet_shevek,files/segments/p960712_turn3_seg1.npy
nenet_shevek,files/segments/p960712_turn3_seg2.npy
nenet_shevek,files/segments/p960712_turn3_seg3.npy
nenet_shevek,files/segments/p960712_turn3_seg4.npy
p960712_johndoe001,files/segments/p960712_turn4_seg0.npy
p960712_johndoe001,files/segments/p960712_turn4_seg1.npy
p960712_johndoe001,files/segments/p960712_turn4_seg2.npy
p960712_johndoe001,files/segments/p960712_turn4_seg3.npy
p960712_johndoe001,files/segments/p960712_turn4_seg4.npy
p960712_johndoe001,files/segments/p960712_turn4_seg5.npy
p960712_johndoe001,files/segments/p960712_turn4_seg6.npy
p960712_johndoe001,files/segments/p960712_turn4_seg7.npy
p960712_johndoe001,files/segments/p960712_turn4_seg8.npy
nenet_shevek,files/segments/p960712_turn5_seg0.npy
nenet_shevek,files/segments/p960712_turn5_seg1.npy
nenet_shevek,files/segments/p960712_turn5_seg2.npy
nenet_shevek,files/segments/p960712_turn5_seg3.npy
nenet_shevek,files/segments/p960712_turn5_seg4.npy
nenet_shevek,files/segments/p960712_turn5_seg5.npy
nenet_shevek,files/segments/p960712_turn5_seg6.npy
nenet_shevek,files/segments/p960712_turn5_seg7.npy
nenet_shevek,files/segments/p960712_turn5_seg8.npy
nenet_shevek,files/segments/p960712_turn5_seg9.npy
p960712_johndoe002,files/segments/p960712_turn6_seg0.npy
p960712_johndoe002,files/segments/p960712_turn6_seg1.npy
p960712_johndoe002,files/segments/p960712_turn6_seg2.npy
p960712_johndoe002,files/segments/p960712_turn6_seg3.npy
p960712_johndoe002,files/segments/p960712_turn6_seg4.npy
p960712_johndoe002,files/segments/p960712_turn6_seg5.npy
nenet_shevek,files/segments/p960712_turn7_seg0.npy
nenet_shevek,files/segments/p960712_turn7_seg1.npy
nenet_shevek,files/segments/p960712_turn7_seg2.npy
nenet_shevek,files/segments/p960712_turn7_seg3.npy
nenet_shevek,files/segments/p960712_turn7_seg4.npy
nenet_shevek,files/segments/p960712_turn7_seg5.npy
nenet_shevek,files/segments/p960712_turn7_seg6.npy
nenet_shevek,files/segments/p960712_turn7_seg7.npy
nenet_shevek,files/segments/p960712_turn7_seg8.npy
nenet_shevek,files/segments/p960712_turn7_seg9.npy
nenet_shevek,files/segments/p960712_turn7_seg10.npy
nenet_shevek,files/segments/p960712_turn7_seg11.npy
p960712_janedoe001,files/segments/p960712_turn8_seg0.npy
p960712_janedoe001,files/segments/p960712_turn8_seg1.npy
p960712_janedoe001,files/segments/p960712_turn8_seg2.npy
p960712_janedoe001,files/segments/p960712_turn8_seg3.npy
p960712_janedoe001,files/segments/p960712_turn8_seg4.npy
p960712_janedoe001,files/segments/p960712_turn8_seg5.npy
p960712_janedoe001,files/segments/p960712_turn8_seg6.npy
p960712_janedoe001,files/segments/p960712_turn8_seg7.npy
p960712_janedoe001,files/segments/p960712_turn8_seg8.npy
p960712_janedoe001,files/segments/p960712_turn8_seg9.npy
p960712_janedoe001,files/segments/p960712_turn8_seg10.npy
p960712_janedoe001,files/segments/p960712_turn8_seg11.npy
p960712_janedoe001,files/segments/p960712_turn8_seg12.npy
p960712_janedoe001,files/segments/p960712_turn8_seg13.npy
p960712_janedoe001,files/segments/p960712_turn8_seg14.npy
p960712_janedoe001,files/segments/p960712_turn8_seg15.npy
p960712_janedoe001,files/segments/p960712_turn8_seg16.npy
p960712_janedoe001,files/segments/p960712_turn8_seg17.npy
p960712_janedoe001,files/segments/p960712_turn8_seg18.npy
p960712_janedoe001,files/segments/p960712_turn8_seg19.npy
p960712_janedoe001,files/segments/p960712_turn8_seg20.npy
p960712_janedoe001,files/segments/p960712_turn8_seg21.npy
p960712_janedoe001,files/segments/p960712_turn8_seg22.npy
p960712_janedoe001,files/segments/p960712_turn8_seg23.npy
nenet_shevek,files/segments/p960712_turn9_seg0.npy
nenet_shevek,files/segments/p960712_turn9_seg1.npy
nenet_shevek,files/segments/p960712_turn9_seg2.npy
nenet_shevek,files/segments/p960712_turn9_seg3.npy
nenet_shevek,files/segments/p960712_turn9_seg4.npy
nenet_shevek,files/segments/p960712_turn9_seg5.npy
nenet_shevek,files/segments/p960712_turn9_seg6.npy
nenet_shevek,files/segments/p960712_turn9_seg7.npy
nenet_shevek,files/segments/p960712_turn9_seg8.npy
nenet_shevek,files/segments/p960712_turn9_seg9.npy
nenet_shevek,files/segments/p960712_turn9_seg10.npy
mary_ambrose,files/segments/p960712_turn10_seg0.npy
mary_ambrose,files/segments/p960712_turn10_seg1.npy
mary_ambrose,files/segments/p960712_turn10_seg2.npy
mary_ambrose,files/segments/p960712_turn10_seg3.npy
mary_ambrose,files/segments/p960712_turn10_seg4.npy
mary_ambrose,files/segments/p960712_turn10_seg5.npy
mary_ambrose,files/segments/p960712_turn10_seg6.npy
mary_ambrose,files/segments/p960712_turn10_seg7.npy
mary_ambrose,files/segments/p960712_turn10_seg8.npy
mary_ambrose,files/segments/p960712_turn10_seg9.npy
mary_ambrose,files/segments/p960712_turn10_seg10.npy
mary_ambrose,files/segments/p960712_turn10_seg11.npy
